delta_id,name_ko,prev_necessity,new_necessity,prev_conc,new_conc,change_kind,reason,evidence_type,evidence_ref,confidence
DL-011,아스코르브산 (비타민 C) (MD-018 → MD4-018),선택,조건부,기본배지 내장,50 µg/mL (유리형) 또는 0.2–1 mM (2-인산 안정형),필수도 변경,"이번 전제의 핵심 변경이다. ① 기본배지를 DMEM/F-12로 바꾸는 순간 ""어드밴스드 제형에 내장되어 있으므로 선택""이라는 ECMX-003의 논거가 사라진다 — DMEM/F-12에는 아스코르브산이 없다. ② 재조합 인간 콜라겐 지지체는 텔로펩타이드 결손으로 천연형 원섬유 조립이 제한되므로 세포가 스스로 얹는 기질의 몫이 커진다. ③ 아스코르브산은 콜라겐 프롤릴-4-하이드록실라제가 여러 번 회전하도록 Fe를 환원하는 보조인자이고, 이 효소를 침묵시키거나 저해하면 3차원 배양에서 I형·IV형 콜라겐 침착이 실제로 감소한다. ④ 오가노이드 배지에 실제로 들어간 1차 근거 2건(췌장 50 µg/mL, 담관 0.2 mM)을 확보했다. 다만 오가노이드에서 아스코르브산 자체를 뺀 대조 실험은 없으므로 필수가 아니라 조건부다.",OMIT;REVIEW,PMC3880410 [전문 확인]; PMC13377042 [전문 확인]; PMC7779788 [전문 확인]; PMC7736890 [전문 확인]; PMC10966780 [전문 확인]; PMC12938472 [전문 확인],중
DL-012,L-아스코르브산 2-인산 세스퀴마그네슘염 (MD4-072),해당 없음(신규),조건부,해당 없음,1 mM (기질생산 배지) / 50 µg/mL (연골·골),신규 추가,"유리 아스코르브산은 수용액에서 빠르게 산화되어 과산화수소를 만들므로, 완성배지를 4 °C에 1개월 두는 조제 방식과 맞지 않는다. 안정형 2-인산 유도체가 기질 생산을 의도하는 3차원 배양(각막 실질세포 1 mM, 연골분화 50 µg/mL, 탈세포 기질 젤)의 표준이다. 이번 전제에서 아스코르브산을 넣기로 한 이상 형태는 안정형이어야 한다.",REVIEW;VENDOR,"PMC10966780 [전문 확인, Sigma A8960 1 mM]; PMC13019076 [전문 확인]; PMC13501466 [전문 확인]; Sigma A8960 제품정보 (2026-09-16 확인)",중
DL-013,2-포스포-L-아스코르브산 삼나트륨염 (MD4-073),해당 없음(신규),조건부,해당 없음,0.2 mM,신규 추가,본 근거자료 370편 전체에서 오가노이드 배지에 안정형 아스코르브산이 정량으로 들어간 유일한 사례다. 사람 간외·간내 담관 오가노이드의 간세포 방향 분화 2단계 배지에 0.2 mM으로 들어간다. 마그네슘염과 달리 배지 Mg²⁺에 기여하지 않는다.,REVIEW,PMC7736890 (10.1038/s41598-020-79082-8) [전문 확인],중
DL-014,아스코르브산 무첨가 맞춤 기본배지 (MD4-066),해당 없음(신규),선택,해당 없음,1×,신규 추가,"아스코르브산을 조건부로 올린 이상, 자사 라인에서 그 필수 여부를 직접 판정할 대조배지가 필요하다. 아스코르브산만 뺀 맞춤 기본배지가 상용으로 존재함을 전문에서 확인했다(재조합 콜라겐 젤 위 골모세포 배양). 다만 DMEM/F-12는 원래 아스코르브산을 담지 않으므로 맞춤 주문 없이도 같은 대조를 얻을 수 있다.",REVIEW;VENDOR,"PMC9544300 (10.1002/jbm.a.37427) [전문 확인, Gibco Custom A1049001]",중
DL-015,상피성장인자 (EGF) (MD-019 → MD4-019),필수,필수,50 ng/mL,50 ng/mL 유지,변경 없음 — 재확인,"제거 실험이 3건으로 늘었다 — 고등급 장액성 난소암 15검체 조합 스크린(유일하게 없어서는 안 되는 측분비 인자), 자궁내막암 P0, 그리고 이번에 확인한 사람 침샘 화학정의배지. 필수 판정을 유지한다. 이종 관점에서는 캐리어 BSA 포함 제형을 동물유래 무함유·캐리어 무함유 제품으로 바꾼다(Qkine Qk011, 1 mg $285.00).",OMIT;VENDOR,PMC7073464 [전문 확인]; PMC5627540 [전문 확인]; PMC12923968 [전문 확인]; Qkine Qk011 (2026-09-16 확인),상
DL-016,노긴 (재조합) (MD-020 → MD4-020),조건부,조건부,100 ng/mL,100 ng/mL 유지,변경 없음 — 재확인,"방향이 정반대인 제거 실험 2건이 확정되었다 — 난소암에서는 15검체 중 13검체가 Noggin 제거를 배양 성립의 전제조건으로 요구했고, 사람 침샘 화학정의배지에서는 Noggin 제거가 형성효율을 유의하게 낮췄다. 조직 의존성이 실험으로 확정된 상태이므로 조건부 유지. 원가상 100 mL당 $43.70을 차지하므로 조직별 제거 시험이 가장 수익성 높은 실험이다.",OMIT;VENDOR,"PMC7073464 [전문 확인]; PMC12923968 [전문 확인]; Qkine Qk034 (2026-09-16 확인, 1 mg $4,370.00)",상
DL-017,노긴 조건배지 (MD-021 → MD4-021),조건부,선택,2% v/v,미사용 권고,필수도 변경,조건배지는 DMEM+10% FBS 상등액이므로 2% v/v만 써도 완성배지에 소 혈청이 약 0.2% v/v 유입된다(추정치 = 2 mL × 10% FBS ÷ 100 mL). 재조합 Noggin 100 ng/mL만으로 완전 화학정의·이종물질 없는 오가노이드 계가 장기 확장에 성공한 것이 전문으로 확인되었으므로 조건부→선택.,OMIT,PMC12923968 [전문 확인],상
DL-018,R-스폰딘-1 (재조합) (MD-022 → MD4-022),필수,필수,500 ng/mL,100–500 ng/mL,농도 변경,"필수 판정은 유지한다(마우스 장 제거 실험 + 침샘 제거 실험). 화학정의 침샘 배지가 100 ng/mL로 장기 확장에 성공했다는 1차 근거가 확보되어 표준 농도 범위를 낮춘다. 원가 효과가 크다 — 추정치(절감액) = (500 − 100) ng/mL × 100 mL ÷ 1,000 ng/µg × $2.865/µg = $114.60 / 100 mL.",OMIT;DOSE;VENDOR,"PMC9626719 [전문 확인]; PMC12923968 [전문 확인]; Qkine Qk006 REPROCELL 가격표 (2026-09-16 확인, 1 mg $2,865.00)",상
DL-019,R-스폰딘-1 조건배지 (MD-023 → MD4-023),조건부,선택,20% v/v,미사용 권고,필수도 변경,20% v/v는 완성배지에 소 혈청 약 2% v/v를 들여온다(추정치 = 20 mL × 10% FBS ÷ 100 mL). 재조합 R-스폰딘-1 100 ng/mL로 정의된 계가 성립하므로 조건부→선택.,OMIT,PMC12923968 [전문 확인],상
DL-020,Wnt3a (재조합 정제단백질) (MD-024 → MD4-024),조건부,조건부,100 ng/mL,100–500 ng/mL,대체재 변경,공급원을 바꾼다. R&D 5036-WN은 캐리어형에 BSA가 들어간다. HumanKine HZ-1296은 HEK293(사람 세포주) 발현이고 제조사가 동물성분 무함유를 명시한다 — 다만 제형이 1× PBS + 1% CHAPS라 계면활성제는 여전히 배지로 들어온다. 그리고 침샘 화학정의배지가 재조합 Wnt-3a 500 ng/mL로 작동한 것이 확인되어 농도 범위를 넓힌다. 가격은 확보 실패: Proteintech 페이지가 공개 가격을 표시하지 않음(2026-09-16).,OMIT;VENDOR,PMC12923968 [전문 확인]; Proteintech HZ-1296 제품페이지 (2026-09-16 확인),중
DL-021,Wnt3a 조건배지 (MD-025 → MD4-025),조건부,선택,50% v/v,미사용 권고,필수도 변경,"50% v/v는 완성배지 부피의 절반을 DMEM+10% FBS 상등액으로 채우고 소 혈청 약 5% v/v를 들여온다(추정치 = 50 mL × 10% FBS ÷ 100 mL). 정의된 계와 양립할 수 없다. ECMX-003은 원가를 근거로 조건배지를 권했으나, 이번 전제에서는 그 권고가 성립하지 않는다.",OMIT,PMC12923968 [전문 확인],상
DL-022,L-WRN 조건배지 (MD-026 → MD4-026),조건부,선택,50% v/v,미사용 권고,필수도 변경,마우스 L세포 상등액이므로 이종 원천이 소 혈청과 마우스 세포 두 겹이다. 여기에 더해 13로트 교차시험에서 Wnt 리포터 유도는 정상인데 스페로이드 성장은 전혀 지지하지 못한 로트가 나왔다 — 정의성뿐 아니라 로트 검정 가능성 자체가 문제다. 조건부→선택.,SUBST,PMC6579736 [전문 확인]; PMC12923968 [전문 확인],상
DL-023,Wnt 대체물 (Wnt surrogate-Fc) (MD-028 → MD4-028),조건부,조건부,0.5 nM,0.1–0.5 nM 유지,변경 없음 — 재확인,"이번 전제에서 Wnt 공급의 1순위가 된다. 계면활성제도 알부민도 없는 정의된 완충액(25 mM Tris·500 mM NaCl pH 8.2, 무방부제)에 들어 있고 HEK293에서 생산되어 이종 성분이 없다. 스탠퍼드대 독점 실시권에 따라 전 세계 공급자가 1곳뿐이라는 단일공급 위험이 새로 식별되었다. 단가는 분자량 미표시로 계산 불가(확보 실패).",VENDOR;SUBST,MBL/AVS Bio U-N001-05 제품페이지 (2026-09-16 확인); ImmunoPrecise/U-Protein Express 공지 (2026-09-16 확인),상
DL-024,아파민-Wnt3a 복합체 (MD-027 → MD4-027),선택,선택,확보 실패,확보 실패,변경 없음 — 재확인,아파민은 혈청 당단백질이지만 원 논문이 알부민 상과 4종을 각각 재조합 생산해 비교했으므로 원리상 이종물질 없는 계로 옮길 수 있다. 그러나 2026-09-16 기준 상용 공급사·품번·오가노이드용 농도가 모두 확보 실패인 상태가 그대로다. 선택 유지.,DOSE;SUBST,PMC4775226 [전문 확인],상
DL-025,FGF10 (MD-029 → MD4-029),조건부,조건부,100 ng/mL,100 ng/mL 유지,변경 없음 — 재확인,"사람 침샘 화학정의배지의 제거 실험이 OMIT 근거를 한 건 더 보탰다. 저자들은 FGF10·R-스폰딘-1·NAC를 SOX9+/SOX10+ 상피 정체성을 함께 지탱하는 세 인자로 지목했다. 조건부 유지(조직 특이). AOF 대체품 확보(Qkine Qk003, 1 mg $2,110.00).",OMIT;VENDOR,PMC12923968 [전문 확인]; Qkine Qk003 REPROCELL 가격표 (2026-09-16 확인),상
DL-026,FGF7 (KGF) (MD-030 → MD4-030),조건부,조건부,10 ng/mL,10 ng/mL 유지,대체재 변경,"ECMX-003에서 공급사·품번 확보 실패였던 행이다. 동물유래 무함유·캐리어 무함유 공급원을 확정했다(Qkine Qk046, E. coli, >98%, <0.05 EU/µg, MCF-7 EC50 1.75 ng/mL, 1 mg £3,960.00).",VENDOR,Qkine Qk046 제품페이지 (2026-09-16 확인),중
DL-027,A83-01 (MD-042 → MD4-042),조건부,조건부,500 nM,100–500 nM,농도 변경,"사람 침샘 화학정의배지가 A83-01을 100 nM으로 쓰며, 제거 시 오가노이드 수 감소·형태 이상과 형성효율 유의 감소를 보였다. Clevers 장 배지의 500 nM보다 5배 낮은 농도에서 작동한다는 1차 근거이므로 범위를 넓힌다.",OMIT,PMC12923968 [전문 확인],상
DL-028,덱사메타손 (MD-054 → MD4-054),조건부,조건부,1 µM (간세포) / 250 nM (지방분화),1 µM,변경 없음 — 재확인,처음으로 OMIT 근거를 얻었다 — 침샘 화학정의배지에서 덱사메타손 1 µM 제거 시 변화는 경미했으나 형성효율은 유의하게 감소했다. 침샘 계열 두 편(화학정의배지·PIC 젤 배지)이 모두 정확히 1 µM으로 일치한다.,OMIT;REVIEW,PMC12923968 [전문 확인]; PMC9932530 [전문 확인],상
DL-029,Y-27632 (ROCK 저해제) (MD-041 → MD4-041),조건부,조건부,10 µM,10 µM (정의된 매트릭스에서는 배양 전 기간 유지),농도 변경,"접착 보조에 대한 답이다. 매트리젤이 아닌 정의된 합성 매트릭스(RGD 결합 PIC 젤)에서 침샘 오가노이드를 배양한 전문 사례가 Y-27632 10 µM을 계대 직후뿐 아니라 배양 전 기간의 확장배지에 상시 포함시킨다. 반면 라미닌-511 E8 코팅 위 iPSC 배양은 파종 시점에만 쓰고 다음 날 뺀다 — 즉 매트릭스가 강한 인테그린 리간드를 제시하면 짧게, 아니면 길게라는 대비가 성립한다. 다만 기간을 비교한 실험은 없으므로 농도는 그대로 두고 사용 기간만 조건화한다.",REVIEW,PMC9932530 [전문 확인]; PMC3884228 [전문 확인],중
DL-030,이소프로테레놀 (MD4-075),해당 없음(신규),조건부,해당 없음,1 µM,신규 추가,"""지지체가 바뀌면 배지도 바꿔야 한다""의 가장 직접적인 실험 근거다. 매트리젤을 RGD 결합 합성 젤로 바꾸자 침샘 오가노이드가 조기 분화하고 즉시초기유전자 발현이 떨어져 자가재생이 4계대까지만 유지되었다. 배지에 β-아드레날린 작용제 1 µM을 넣어 그 축을 켜자 오가노이드 형성효율이 무처리 대비 최대 5% 유의하게 증가했다(p = 0.0156). 10 µM은 무효, 100 µM은 독성으로 3점 농도-반응이 확보되어 있다.",DOSE,PMC9932530 (10.3389/fmolb.2023.1100541) [전문 확인],중
DL-031,GM6001 등 MMP 저해제 (MD4-076),해당 없음(신규),선택 — 첨가 금지 권고,해당 없음,넣지 않는다,신규 추가,"기질 리모델링에 대한 답이다. 재조합 콜라겐 젤의 수명을 늘리려고 배지에 MMP 저해제를 넣는 설계는 세포 쪽을 먼저 망가뜨린다. ① I형 콜라겐 젤 위 평활근세포에 GM6001 1–2 µM을 넣자 테네이신-C 합성이 억제되고 세포가 둥글어지며 수가 유의하게 감소했다(세포독성 아님을 별도 확인, 외인성 테네이신-C 보충으로 회복). ② 사람 각질형성세포의 I형 콜라겐 위 이동이 펩타이드 하이드록사메이트·재조합 TIMP-1·항-MMP-1 항혈청 모두에서 완전히 차단되었고, 콜라게나아제 절단부위가 없는 변이 콜라겐 위에서도 이동하지 못했다. 세포는 콜라겐을 잘라야 그 위에서 움직인다.",OMIT,PMC2139818 (10.1083/jcb.139.1.279) [전문 확인]; PMC2132537 (10.1083/jcb.137.6.1445) [전문 확인],상
DL-032,"1,4-DPCA (P4H 저해제) (MD4-077)",해당 없음(신규),선택 — 첨가 금지 권고,해당 없음,넣지 않는다(음성 대조 전용),신규 추가,"아스코르브산 판정의 반대편 증거다. P4HA2를 shRNA로 침묵시키거나 1,4-DPCA로 저해하면 3차원 배양에서 I형·IV형 콜라겐 침착이 감소하고, P4HA1 저해는 유방상피세포의 콜라겐 분비를 줄인다. 배지 설계에서의 유일한 용도는 ""세포가 얹는 콜라겐이 실제로 기여하는가""를 판정하는 음성 대조다. 프롤릴 하이드록실라제 계열은 HIF-1α 안정성도 조절하므로 특이성이 완전하지 않다.",OMIT,PMC3880410 [전문 확인]; PMC6203834 [전문 확인],중
DL-033,재조합 인간 알부민 (MD4-070),해당 없음(신규),조건부,해당 없음,저장액 0.1% w/v / 배지 0.05% w/v,신규 추가,"ECMX-003 조제 원칙 2(""캐리어 없는 희석을 하지 않는다"")를 이종물질 없이 지키는 방법이다. 벼(ExpressTec) 발현 재조합 사람 알부민이 순도 ≥96.0%·엔도톡신 ≤1.0 EU/mg·동물유래 및 혈액유래 완전 무함유로 상용 확보된다. 비용도 작다 — 추정치 = 50 mg × $0.0548/mg = $2.74 / 100 mL.",VENDOR;SUBST,"InVitria Cellastim S 777HSA017S 제품페이지 (2026-09-16 확인, 10 g $548.00 / 100 g $4,349.00); PMC9932530 [전문 확인 — HBSS/1% HSA 완충액 사용]",상
DL-034,소혈청알부민 (캐리어) (MD-062 → MD4-062),조건부,선택,저장액 0.1% w/v,미사용 권고,대체재 변경,"성장인자 저장액의 0.1% BSA는 소 알부민이 배지로 들어오는 조용한 경로다. 기능 등가의 재조합 사람 알부민이 확보되었으므로 배제한다. Clevers 트러블슈팅의 ""FBS로 코팅한 저결합 팁""도 같은 이유로 재조합 알부민 0.1% 코팅으로 바꾸어야 한다.",VENDOR,InVitria Cellastim S (2026-09-16 확인),상
DL-035,재조합 인간 트랜스페린 (MD4-071),해당 없음(신규),조건부,해당 없음,5–10 µg/mL,신규 추가,구형 ITS 계열은 트랜스페린을 사람 혈장에서 얻는다 — 이종은 아니지만 혈액유래여서 정의성과 공급 안정성이 떨어진다. 비포유류 발현계 재조합 트랜스페린이 가역적 철 결합·수용체 결합·세포 성장 지지에서 사람 홀로트랜스페린과 동등하다고 제조사가 명시한다. 가격은 확보 실패: Fisher·VWR 모두 비로그인 가격 비표시(2026-09-16).,SUBST;VENDOR,"InVitria Optiferrin 제품페이지 (2026-09-16 확인, 품번 777TRF02910G / Fisher NC0905331)",중
DL-036,인간 혈소판 용해물 (MD4-074),해당 없음(신규),조건부,해당 없음,2.5% v/v,신규 추가,"조건배지를 완전히 버리기 어려운 공정(지지세포·간엽 공배양, CM 생산)을 위한 중간 해법이다. iPSC 유래 난황낭형 오가노이드계에서 FBS를 PLTGold 2.5%로 치환해 조혈전구세포 생산과 하류 T세포 분화가 동등했고, 32일차 CD3 발현에 이종물질 없는 배지와 FBS 배지 간 유의차가 없었다. 다만 사람 혈액 유래이므로 ""이종물질 없음""이지 ""화학정의""는 아니다.",SUBST;VENDOR,"PMC10163025 (10.1016/j.crmeth.2023.100460) [전문 확인]; PMC8344006 [전문 확인]; Sartorius PLTGOLD100R (2026-09-16 확인, 100 mL $505.00)",상
DL-037,B-27 XenoFree (MD4-067),해당 없음(신규),필수,해당 없음,1× (2% v/v),신규 추가,표준 B-27의 동물유래 성분(BSA fraction V·카탈라아제·초과산화물불균화효소)을 재조합·사람유래로 갈아 끼운 제형. B-27 계열 전체에 적용되는 제거 실험 근거를 승계해 필수로 둔다. 원가는 100 mL당 $31.80 → $70.40으로 오른다.,OMIT;VENDOR,"PMC12923968 [전문 확인]; Thermo A1486701 (2026-09-16 확인, 10 mL $352.00)",상
DL-038,ITS-X Select (MD4-068),해당 없음(신규),조건부,해당 없음,1× (1% v/v),신규 추가,인슐린·트랜스페린을 모두 비포유류 재조합 발현계로 공급하는 Animal Origin-Free 제형. ECMX-003에서 품번조차 없던 ITS+ 프리믹스 행의 실질적 대체품이다. 10 mL $117.00으로 구형 ITS-X($109.00) 대비 7.3% 비싼 데 그친다.,VENDOR,Thermo A4000046401 제품페이지 (2026-09-16 확인),상
DL-039,소 뇌하수체 추출물 (MD4-080),해당 없음(신규),선택 — 배제,해당 없음,0.4% (배제 권고),신규 추가,"이종물질 전수 점검에서 새로 드러난 행이다. ECMX-003 BOM 65행에는 없었으나, 같은 근거자료의 췌장·식도 오가노이드 배지(PTOM)가 실제로 소 뇌하수체 추출물 0.4%를 쓰고 있었다. 조성 미정의 + 소 유래이며, 본 근거자료 370편에 이것을 정의된 성분 조합으로 치환한 실험이 없다 — 이번 조사에서 유일하게 ""동물유래 — 대체재 없음""으로 판정한 두 행 중 하나다.",REVIEW,PMC7779788 (10.1016/j.jcmgh.2020.08.011) [전문 확인],상
DL-040,헤파린 (MD-064 → MD4-064),조건부,조건부,1 µg/mL,1 µg/mL 유지,변경 없음 — 재확인,"통상 돼지 장점막 유래다. 확보 실패: 2026-09-16 기준 제조사 공식 페이지에서 세포배양 등급의 재조합 또는 합성 헤파린 대체품을 확인하지 못했다. 소 뇌하수체 추출물과 함께 ""동물유래 — 대체재 없음""으로 판정한 두 행 중 나머지 하나다. FGF2를 쓰는 조건에서 헤파린이 필요하면 헤파린 의존성이 낮은 열안정화 FGF2 변이체(FGF2-G3)가 우회로가 된다.",REVIEW;VENDOR,Qkine Qk053 FGF2-G3 제품페이지 (2026-09-16 확인 — 기능적 반감기 <10시간 → >7일),중
DL-041,재조합 라미닌-511 E8 단편 (MD4-078),해당 없음(신규),선택,해당 없음,코팅 1.5 µg/cm² (배지 첨가 근거 없음),신규 추가,"접착 보조 질문의 답이다. 재조합 라미닌-511 E8은 온전한 라미닌-511보다, 그리고 매트리젤보다도 높은 접착성을 보이며 α6β1 의존성이 항체로 확인되어 있다. 그러나 근거가 있는 사용 형태는 전부 표면 코팅 또는 매트릭스 내 제시이고, 배지에 녹여 넣은 1차 근거는 본 근거자료 370편 어디에도 없다. 오히려 반대 근거가 있다 — 폐포 오가노이드 하이드로젤에 라미닌/엔탁틴 2 mg/mL을 섞었더니 오가노이드 자신의 IV형 콜라겐 발현이 유의하게 감소했다.",SUBST;DOSE;VENDOR,"PMC3535336 [전문 확인]; PMC3884228 [전문 확인]; PMC11784465 [전문 확인]; REPROCELL iMatrix-511 (2026-09-16 확인, NP892-011 $426.00 / NP892-012 $1,006.00)",상
DL-042,재조합 인간 비트로넥틴 VTN-N (MD4-079),해당 없음(신규),선택,해당 없음,코팅용 (배지 첨가 근거 없음),신규 추가,"매트리젤을 동물유래 무함유 재료로 대체한 가장 완결된 전문 사례에서 쓰인 코팅 재료다. hiPSC 5일 배양에서 세포수·밀집도·형태·다능성 표지에 차이가 없었고, 이 세포에서 유도한 혈관 오가노이드는 18일차 조성·크기·전마운트 염색이 매트리젤 유래와 구별되지 않았다. 다만 3차원 지지는 피브린(피브리노젠 7.5 mg/mL + 트롬빈 0.1 U/mL)이 맡았고 비트로넥틴은 배지가 아니라 표면에 있었다.",SUBST;VENDOR,"PMC12528733 (10.1038/s41598-025-20091-w) [전문 확인]; Thermo A400457 (2026-09-16 확인, 1 mL $93.75, Animal Origin-Free)",상
DL-043,재조합 니치인자 조달 묶음 (MD4-082),해당 없음(신규),조건부,해당 없음,EGF 50 + Noggin 100 + RSPO1 100–500 + FGF10 100 ng/mL,신규 추가,"조건배지를 버리는 비용을 한 행으로 모았다. 추정치(100 mL 4인자 합, RSPO1 500 ng/mL 기준) = $1.43 + $43.70 + $143.25 + $21.10 = $209.48. 이 중 R-스폰딘-1과 Noggin이 89.2%를 차지한다(추정치 = (143.25 + 43.70) ÷ 209.48 × 100). 두 인자 모두 조직에 따라 제거·감량이 유리하다는 제거 실험이 있으므로 원가 절감의 첫 실험이 정해진다.",VENDOR;OMIT,Qkine Qk011·Qk034·Qk006·Qk003 REPROCELL 가격표 (2026-09-16 확인); PMC12923968 [전문 확인]; PMC7073464 [전문 확인],상
DL-044,2-옥소글루타레이트 (MD4-081),해당 없음(신규),선택,해당 없음,별도 첨가하지 않음,신규 추가,"아스코르브산을 넣는 논리를 끝까지 따라가면 공동기질인 2-옥소글루타레이트도 검토 대상이 된다. 그러나 세포 안에서 글루타민 대사로 계속 만들어지고, 본 근거자료 370편에 오가노이드 배지 첨가 사례가 전혀 없다. 게다가 배지에 넣으면 아스코르베이트가 만든 과산화수소를 제거해 버리는 세포배양 인공산물이 보고되어 있다. 선택으로 두고 GlutaMAX 공급으로 갈음한다.",REVIEW,PMC13377042 [전문 확인]; PMC5274648 [전문 확인],중
