param_id,param_name,material,condition,value,unit,method,effect,evidence_ref,confidence,confidence_reason
RP-011,비하이드록실화 콜라겐의 Tm 저하폭,일반 재조합 콜라겐,천연 콜라겐 대비,10 이상,°C,문헌 기준(CD/펩신 저항성),Hyp 없는 재조합 삼중나선은 체온 아래로 떨어짐,PMC10451535 [전문 확인],중,"리뷰성 서술, 원저 조건 미상"
RP-012,Tm — 세균 유래 콜라겐 유사 단백질 V-CL-CL(Hyp 없음),일반 재조합 콜라겐,"CD, 완충액",36–37,°C,CD 열변성곡선 + DSC,Hyp 없이도 Tm 37 °C 달성 가능 — 전하 잔기 함량으로 대체,PMC3391134 [전문 확인]; PMC4813464 [전문 확인],상,독립 두 논문에서 동일 수치
RP-013,펩신 저항 상한온도 — 옥수수 발현 rCIα1-OH(P4H 공발현),A,"펩신 0.2 mg/mL, 10 °C 15 min, 사전 가열 6 min",35–38.6,°C,펩신 소화 저항성 + 항체 검출,"P4H 공발현 시 체온 이상 저항, 미공발현은 4 °C에서도 전분해",PMC3151215 [전문 확인],상,비하이드록실화 대조 포함
RP-014,펩신 저항 상한온도 — 상용 인간 콜라겐 대조,동물유래 대조,동일 펩신 조건,31,°C,펩신 소화 저항성,대조군 기준선,PMC3151215 [전문 확인],중,대조 물질 규격 불명
RP-015,삼중나선 상실 온도 — 재조합 COL3 단편,B,CD 220–222 nm 승온,25,°C,CD 스펙트럼 양성피크 소실,짧은 III형 단편은 실온에서도 나선 유지 실패,PMC12938472 [전문 확인],중,리뷰가 원저를 인용
RP-016,열가역 겔화 여부 — 비하이드록실화 재조합 콜라겐 단편 25.6 kDa(ShoCoDP),A,"10 %(w/v) H2O, 온도 램프",겔화 없음,—,회전형 레오미터 온도 스윕(G′ 추적),분자량이 낮은 단일사슬은 어떤 온도에서도 겔이 안 됨,PMC12852974 [전문 확인],상,OMIT 성격의 직접 음성 결과
RP-017,열가역 겔화 개시온도 — 재조합 콜라겐 단편 58 kDa(ColDP),A,10 %(w/v) H2O,약 10,°C,레오미터 온도 스윕 G′ 급상승점,겔화가 되더라도 10 °C — 승온하면 녹음(가역),PMC12852974 [전문 확인],상,동일 실험 내 3분자량 비교
RP-018,열가역 겔화 — 재조합 콜라겐 단편 89.2 kDa(LoCoDP),A,10 %(w/v) H2O,"약 10 °C에서 겔화, ColDP보다 높은 G′",—,레오미터 온도 스윕 G′,"분자량↑ → 겔 강성↑, 그러나 기전은 삼중나선이 아니라 사슬 얽힘",PMC12852974 [전문 확인],상,저자가 삼중나선 기전 배제를 명시
RP-019,가역 냉겔화 — 재조합 인간화 I형 콜라겐 SynthCol1,A,"5 mg/mL, 4 → 37 °C, 2 °C/min, 전단속도 1 s⁻¹",4 °C 겔 / 37 °C 졸,—,회전형 레오미터 온도 램프 겉보기점도(η),37 °C에서 구조가 사라짐 — 배양용 3D 골격 불가,PMC13333565 [전문 확인],상,측정 프로토콜까지 명시
RP-020,자가조립 조건 — 대장균 발현 재조합 I형 콜라겐(RCI) 나노섬유,A,"50 mM 인산완충액 pH 7.4, 25 °C, 24 h",섬유 형성,—,원심분리 회수 + TEM/SEM,37 °C 승온 섬유형성이 아니라 25 °C 장시간 정치 — 세포 동반 불가,PMC13037810 [전문 확인],상,전문 재료·방법
RP-021,섬유 형성 여부 — 삼량체화 도메인 유무,B vs C,"3 mg/mL, 4 °C 정치",무융합·P4H 공발현 = 섬유 없음 / T4-fibritin 융합 = 나노섬유 형성,—,"투과전자현미경(TEM), 주사전자현미경(SEM)",삼중나선이 있어야 상위 섬유가 생김 — 단일사슬은 구조재 불가,PMC13331770 [전문 확인],상,동일 조건 4군 비교
RP-022,저장탄성률 G′ — 메타크릴아마이드화 재조합 콜라겐(RCPhC1-MA) 7.5 %(w/v),A,"Li-TPO 2 mol%, UV-A 365 nm 3500 mW/cm², 37 °C",2500,Pa,평판 레오미터 in-situ 광가교 G′,단일사슬도 광가교하면 kPa급 겔이 됨,PMC7556543 [전문 확인],상,동일 논문 4조건 비교
RP-023,저장탄성률 G′ — RCPhC1-MA 10 %(w/v),A,동일 광가교 조건,10000,Pa,평판 레오미터 in-situ 광가교 G′,농도 2배 미만 증가로 G′ 4배 — 농도가 강성의 1차 손잡이,PMC7556543 [전문 확인],상,동일 논문 비교
RP-024,저장탄성률 G′ — RCPhC1-노보넨/티올(thiol-ene) 7.5 %(w/v),A,"등몰 티올-엔, Li-TPO 2 mol%",8700,Pa,평판 레오미터 in-situ 광가교 G′,단계성장 티올-엔이 사슬성장 메타크릴보다 같은 농도에서 3.5배 단단함,PMC7556543 [전문 확인],상,동일 논문 비교
RP-025,저장탄성률 G′ — RCPhC1-노보넨/티올 10 %(w/v),A,동일 조건,16000,Pa,평판 레오미터 in-situ 광가교 G′,오가노이드용으로는 과도하게 단단함 — 희석 필요,PMC7556543 [전문 확인],상,동일 논문 비교
RP-026,치환도 DS — RCPhC1 유도체,A,"1H-NMR(MA, NB) / OPA 비색법(SH)","MA 93, NB 83, SH 73",%,"1H-NMR, OPA 분광법",치환도가 G′의 2차 손잡이,PMC7556543 [전문 확인],상,두 가지 정량법 병용
RP-027,분자량 — RCPhC1(Cellnest) 단일사슬,A,MALDI-TOF/TOF,51,kg/mol,MALDI-TOF/TOF 질량분석,단일사슬 재조합 콜라겐 펩타이드의 전형적 크기,PMC7556543 [전문 확인],상,질량분석 직접 측정
RP-028,저장탄성률 G′ — UPy-PEG/RCPhC1 초분자 하이브리드,A,"0.1 rad/s, 첨가제 무 / 유",1.9 / 1.3,kPa,진동 레오미터 주파수 스윕 G′,단일사슬을 합성 백본에 얹어도 kPa급 확보 가능,PMC11468640 [전문 확인],중,주파수 의존이 커서 단일값 해석 주의
RP-029,가교도 — BDDE 농도 의존(재조합 I형 콜라겐 자가조립 나노섬유),A,"50 mg/mL SARCI, 25 °C 24 h, BDDE 0.5/1/2/5 %(v/v)",41.3 / 85.8 / 96.6 / 97.7,%,TNBS 유리아민 정량(345 nm),2 %에서 포화 — 그 이상은 잔류 가교제만 늘어남,PMC13037810 [전문 확인],상,4점 농도-반응
RP-030,가교도 — 글루타르알데하이드 2 %(v/v) 대조,A,동일 조건,96.3,%,TNBS 유리아민 정량,BDDE 2 %와 동등 — 그러나 잔류독성 때문에 BDDE 선택,PMC13037810 [전문 확인],상,동일 실험 내 대조
RP-031,콜라게나제 저항 — BDDE 2 % 가교 유무,A,"콜라게나제 5 U/mL, 50 mM TES + 1 mM CaCl2 pH 7.4, 37 °C, 14일",가교 70.0 / 무가교 51.3,% 질량 잔존,질량감소법(동결건조 후 칭량),가교는 강성뿐 아니라 배양기간 확보의 수단,PMC13037810 [전문 확인],상,시간경과 실험
RP-032,EDC/NHS 가교 농도 ↔ 인테그린 매개 부착 보존,동물유래 대조,EDC 11.5 mg/mL(EDC/NHS/COO⁻=5/2/1)를 100 %로 두고 10배씩 희석,"100 % = 부착 소실(A405 2.55→0.23), 1–10 % = 부착 보존",—,혈소판 α2β1 부착 정량(A405),EDC는 GxOGER 리간드를 망가뜨림 — 재조합 삼중나선에 쓰면 C의 유일한 장점을 지움,PMC4570933 [전문 확인],상,농도-반응 + 대조 포함
RP-033,광개시제 조건 — 메타크릴화 재조합 콜라겐 광가교,A,"10 %(w/v) 단백질, LAP 0.1 %(w/v), 365 nm 10 mW/cm², 200 s",겔 형성,—,in-situ 레오미터 G′ 추적,세포 동반 가능한 표준 조건(문헌 다수 공통),PMC12852974 [전문 확인],상,방법부 명시
RP-034,"부착률 — α2β1 발현 HT1080, 삼중나선 콜라겐 vs 변성 젤라틴 단분자층 코팅",동물유래 대조,"1×10^5 cells/mL, Mg²⁺ 존재, 2D 코팅",Col 37.8±4.6 / Col-Gel(1:1) 11.0±1.1 / Gel 7.1±0.7,%,"정량 부착 검정(용해 후 흡광, 검량선)",삼중나선을 잃으면 α2β1 부착이 5분의 1로 붕괴,PMC5007264 [전문 확인],상,치환(SUBST) 설계 + 대조 3종
RP-035,"부착률 — α1β1 발현 Rugli, 콜라겐 vs 젤라틴",동물유래 대조,동일 조건,Col 26.2±2.8 / Col-Gel 19.1±3.1 / Gel 5.3±0.7,%,정량 부착 검정,α1β1도 동일하게 삼중나선 의존,PMC5007264 [전문 확인],상,동일 실험
RP-036,"부착률 — α2β1+αvβ3+α5β1 발현 L3, 콜라겐 vs 젤라틴",동물유래 대조,동일 조건,Col 42.6±3.0 / Col-Gel 21.1±2.3 / Gel 15.2±1.3,%,정량 부착 검정,RGD 수용체를 함께 가진 세포만 젤라틴에서 잔존 부착,PMC5007264 [전문 확인],상,동일 실험
RP-037,"부착 — RGD 수용체(αvβ3/α5β1)만 가진 C2C12, 젤라틴 단분자층 코팅",동물유래 대조,동일 조건,부착 없음,%,정량 부착 검정 + 형태 관찰,변성 콜라겐의 RGD가 '코팅' 형태에서는 활성이 없음 — 단일사슬 2D 코팅의 함정,PMC5007264 [전문 확인],상,음성 결과가 명시적
RP-038,"부착 — C2C12, 젤라틴 박막(film) + cRGD 길항",동물유래 대조,cRGD 10 mM + Mg²⁺ 5 mM 전처리 15–20 min,"박막에서는 부착, cRGD로 완전 차단",—,cRGD 길항 부착 검정,박막 두께에서만 RGD가 αvβ3/α5β1에 제시됨 — 형태(코팅 vs 겔)가 결과를 바꿈,PMC5007264 [전문 확인],상,길항제 대조 포함
RP-039,부착률 — Fmoc 펩타이드 겔에 콜라겐/펩타이드 도입,일반 재조합 콜라겐,"단백질 100 µg/mL 확산 도입, HT1080 24 h",무수식 14±6.7 / 쥐꼬리 I형 51±1 / GFOGER 펩타이드 47±3.7 / 재조합 DCol1(17 kDa) 36±5.9,%,부착 세포 정량 + 항-β1(mAb13) 차단,재조합 소형 콜라겐은 부착은 주지만 전개(spreading)는 못 줌,PMC9140497 [전문 확인],상,차단항체 대조로 기전 확인
RP-040,세포 전개(spreading) — 재조합 DCol1 수식 겔,일반 재조합 콜라겐,동일 조건,전개 없음(원형 유지),—,형태 종횡비(aspect ratio) 정량,부착률만으로 리간드 충분성을 판정하면 안 됨,PMC9140497 [전문 확인],상,동일 실험 내 양성대조 존재
RP-041,"부착 — GER 고밀도 단일사슬(SynthCol1, GFPGER/GMPGER 18개 GER)",A,"0.5 mg/mL PBS 코팅 4 °C 밤새, NIH/3T3 1×10^5 cells/mL 4 h",소 I형 콜라겐 대비 +25.3,%,대사활성 기반 부착 정량(450 nm),단일사슬이라도 GER 반복을 극단적으로 늘리면 부착은 만회 가능,PMC13333565 [전문 확인],중,CD상 안정 삼중나선 여부는 별도 확인 필요
RP-042,"리간드 작업농도 — GFOGER 삼중나선 펩타이드(티올 말단, 3-D Life GFOGER-3)",전 조합,티올-말레이미드 하이드로겔 내 최종농도,1.2–2.4 mg/mL (1.2 mg/mL ≈ 0.5 mmol/L 티올기),mg/mL,제조사 사용자 가이드(정량 계산표),L5의 1차 기준 농도,"Cellendes 3-D Life Hydrogels User Guide (2025-09판), 확인일 2026-09-16 [VENDOR]",중,제조사 자료 — 세포주별 최적화 필요
RP-043,리간드 작업농도 — 선형 RGD 펩타이드(시스테인 말단),전 조합,티올-말레이미드 하이드로겔 내 최종농도,0.5 이하,mmol/L,제조사 사용자 가이드(정량 계산표),0.5 mM 이상은 가교 간섭,"Cellendes 3-D Life Hydrogels User Guide (2025-09판), 확인일 2026-09-16 [VENDOR]",중,제조사 자료
RP-044,리간드 농도 — GFOGER를 PEG-비닐설폰 겔에 접합(췌장 오가노이드),전 조합,"fPEG-VS, 20 mM HEPES pH 7.8",1,mmol/L,펩타이드 접합 후 오가노이드 배양,오가노이드 실증이 있는 유일한 GFOGER 정량값,PMC7612137 [전문 확인],상,오가노이드 성능과 연결된 농도
RP-045,리간드 농도 — PHSRN-K-RGDS(피브로넥틴 모사) 및 BM-binder 병용,전 조합,fPEG-VS,각 1 (BM-binder는 0.5 또는 1),mmol/L,펩타이드 조합 스크리닝,리간드 다중화 설계의 실측 기준,PMC7612137 [전문 확인],상,조합별 스크리닝표 존재
RP-046,리간드 하한 — UPy-cRGD 초분자 하이드로겔,전 조합,초분자 겔 내 최종농도,"통상 1 mmol/L, 최저 작동 10 µmol/L, 100 nmol/L 이하 무효",—,오가노이드/세포 전개 반응,리간드 농도-반응의 하한을 보여주는 값,PMC11229007 [전문 확인],중,리뷰형 종합 서술
RP-047,RGD 공간 간격 ↔ 부착 기능,전 조합,2D 표면,"440 nm에서 전개, 140 nm에서 국소접착·스트레스섬유; 10 nm 미만은 입체장애, 30 nm 초과는 비단조 이동속도",nm,표면 리간드 간격 제어 실험(인용),리간드는 총량이 아니라 간격이 변수,PMC9932530 [전문 확인]; PMC10189430 [전문 확인],중,원저가 아닌 인용 형태
RP-048,코팅농도 — GFOGER/GLOGEN 삼중나선 펩타이드 2D 코팅,전 조합,"10 mM 아세트산에 희석, 4 °C 밤새, CytoSoft 0.5/16/64 kPa 표면",10,µg/mL,2D 코팅 프로토콜 + 부착/세포골격 정량,강성과 리간드를 분리한 유일한 설계,PMC13250905 [전문 확인],상,방법부 수치 명시
RP-049,코팅농도 — 라미닌-511 E8 단편(iMatrix-511),전 조합,"PBS(-) 희석, 배양면 코팅","0.5 (권장 시작), 0.1–1.5 (범위)",µg/cm²,제조사 권장 코팅 프로토콜,상피성 오가노이드의 α6β1 경로를 여는 보조 리간드,"FUJIFILM Wako 385-07361 제품 페이지, 확인일 2026-09-16 [VENDOR]",상,제조사 공식 규격
RP-050,세포 생존·증식 최적농도 — C3Gel(재조합 인간화 III형 냉겔),C,"HaCaT, 24 h 배지 첨가",0.25–1 (최적 1),mg/mL,MTT/CCK-8 세포활성,1 mg/mL 초과 8 mg/mL까지는 촉진효과가 오히려 감소,PMC12931284 [전문 확인],상,농도-반응 곡선
RP-051,이동(migration) 최적농도 — C3Gel,C,"HaCaT 스크래치, 12/24/36 h",0.5,mg/mL,스크래치 상처 폐쇄율,생존 최적농도와 이동 최적농도가 다름,PMC12931284 [전문 확인],상,시간·농도 2차원 데이터
RP-052,점도 및 경화 후 G′ 규격(특허 청구범위),일반 재조합 콜라겐,"3 mg/mL 이상, 37 °C 무전단 또는 전단속도 5 s⁻¹","점도 ≤2000(또는 ≤1500) cP, 경화 후 G′ ≥1000 Pa, G′ 10배 이상 상승",—,청구항 기재 규격,적층제조용 재조합 콜라겐 제형의 정량 경계,US20200179562A1 청구항 54–57 [CLAIM],중,청구항 규격이지 실측 데이터는 아님
RP-053,"발현수율 — 전장 삼중나선 COL3A1(T4-fibritin 융합, 5 L 발효조)",C,"30 °C, 메탄올 12 mL/h, 1/2 BSM + 20 g/L 펩톤, 96 h",0.9,g/L,SDS-PAGE 밴드 정량(ImageJ),C의 공급 현실성 근거,PMC13331770 [전문 확인],상,스케일업 데이터
RP-054,발현수율 — 재조합 인간화 I형 단일사슬 SynthCol1(500 L 발효조),A,"P. pastoris GS115, 72 h 플래토",15.3,g/L,발효 상등액 정량 + SP 양이온교환 정제(>95 %),A는 공급이 쉽고 싸다 — 구조재가 아닌 신호/충전재로 쓰기 좋은 조건,PMC13333565 [전문 확인],상,대규모 발효 실측
RP-055,발현수율 — 전장 단일사슬 재조합 I형/III형(5 L 발효조),A;B,P. pastoris,2.624 (I형) / 2.132 (III형),g/L,발효 정량,A와 B의 공급량은 동급,PMC13227244 [전문 확인],상,동일 논문 병행 생산
RP-056,"이차구조 — 전장 단일사슬 재조합 I형·III형(P. pastoris, P4H 무)",A;B,CD 190–260 nm,198 nm 음성피크 + 220 nm 약한 광폭 양성피크 = 불규칙 코일,—,원편광이색성(CD) 스펙트럼,A와 B 모두 삼중나선 아님이 분광학적으로 확인됨,PMC13227244 [전문 확인],상,저자가 명시적으로 삼중나선 부재 결론
RP-057,피질 액틴 비율 증가 — 단일사슬 I형 vs III형 vs 소 I형,A;B,"MSC, 콜라겐 1 mg/mL 배지 처리",I형 +37 / III형 +27 / 소 I형 +10,%,형광 액틴 염색 정량,단일사슬 상태에서도 I형과 III형의 세포반응이 동일하지 않음,PMC13227244 [전문 확인],상,3군 동시 비교
RP-058,액틴 필라멘트 평균 직경 — 대조/단일사슬 I형/단일사슬 III형/소 I형,A;B,"MSC, 1 mg/mL",0.87 / 1.16 / 1.31 / 1.08,µm,형광·초해상 이미지 정량,III형 단일사슬이 오히려 더 굵은 섬유 유도,PMC13227244 [전문 확인],상,4군 동시 비교
RP-059,전사체 변화 규모(DEG) — 단일사슬 I형 vs III형,A;B,"MSC, 1 mg/mL, RNA-seq","I형 312↑/476↓, III형 1591↑/1483↓",개,RNA 시퀀싱 차등발현유전자,III형 단일사슬의 전사체 영향이 I형의 약 4배,PMC13227244 [전문 확인],상,반복 간 상관 r>0.985
RP-060,활성화 신호경로 — 단일사슬 I형 vs III형 vs 소 I형,A;B,"MSC, 1 mg/mL, 전사체+프로테오믹스","I형 FAK/RHOA/ROCK, III형 PI3K/Akt, 소 I형 해당과정(glycolysis)",—,다중오믹스 경로 농축분석,'단일사슬이면 다 젤라틴'이라는 가정은 틀림,PMC13227244 [전문 확인],중,가용성 첨가 실험이며 3D 지지체 실험은 아님
RP-061,내독소 상한(정제 재조합 인간 콜라겐 7 특허 청구범위),일반 재조합 콜라겐,정제 벌크,"1.0 이하(바람직 0.70, 더 바람직 0.50)",EU/mg,LAL(리물루스 아메보사이트 용해물) 시험,재조합 콜라겐 원료의 실무 상한 기준,US20190077845A1 청구항 21 [CLAIM],상,청구항에 수치 명기
RP-062,숙주세포단백질(HCP) 상한(특허 청구범위),일반 재조합 콜라겐,정제 벌크,"2000 이하(바람직 1000, 더 바람직 600)",ng/mg 단백질,HCP ELISA,숙주 잔류물 관리 기준,US20190077845A1 청구항 19 [CLAIM],상,청구항에 수치 명기
RP-063,잔류 숙주 DNA 상한(특허 청구범위),일반 재조합 콜라겐,정제 벌크,"42 이하(바람직 25, 더 바람직 15)",pg/mg 단백질,잔류 DNA 정량(qPCR 또는 형광정량),면역원성 위험 관리 기준,US20190077845A1 청구항 20 [CLAIM],상,청구항에 수치 명기
RP-064,실측 내독소·잔류 DNA — BDDE 가교 재조합 I형 콜라겐 임플란트,A,최종 제품,"내독소 0.28±0.02 EU/mL, 잔류 DNA 4.27±0.58 ng/mL",—,LAL 시험 + 형광 DNA 정량,대장균 숙주에서도 관리 가능함을 보인 실측치,PMC13037810 [전문 확인],상,실측 평균±SD
RP-065,숙주별 내독소 부하 — 대장균 변이주 비교,일반 재조합 콜라겐,정제 GFP 분획,KL037S 0.14±0.01 vs ClearColi 117±109,EU/mg,LAL 시험,대장균을 쓸 거면 숙주 선택 자체가 L9 항목,PMC11331542 [전문 확인],상,동일 실험 내 직접 비교
RP-066,정제 단계수 ↔ 순도 — 재조합 III형 콜라겐,B,Ni-NTA 친화 → SP 양이온교환,89.60 → 95.44,%,크로마토그램 면적비 / SDS-PAGE,1단계 정제로는 95 % 미달 — 2단계가 사실상 필수,PMC12938472 [전문 확인],중,리뷰가 원저 인용
RP-067,Pichia 발현 재조합 콜라겐의 SDS-PAGE 이동 이상,A,4–12 % 구배 젤,예측치 대비 약 40 % 큰 ~74 kDa,kDa,SDS-PAGE,번역후 수식(O-만노실화 등)으로 분자량 판정이 어긋남 — 입고검사에 질량분석 병행 필요,PMC13333565 [전문 확인],상,저자가 원인 추정까지 기술
