item_id,layer,name_ko,name_en,role_in_rc_system,material_scope,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
RC-L1-011,L1,재조합 IV형 콜라겐 / 기저막 단백질,Recombinant type IV collagen / basement-membrane protein,상피성 오가노이드가 요구하는 기저막 층을 A/B/C만으로는 못 만든다. 별도 기저막 성분이 필요,전 조합,조건부,상피 극성·내강 형성을 목표로 할 때만 필요. 중간엽·간질 모델에서는 불필요,REVIEW;CLAIM,PMC12713094 [전문 확인]; PMC12528733 [전문 확인]; US20180207240A1 [CLAIM]; US20250263465A1 [CLAIM],Matrigel 대체 연구들이 기저막 성분(라미닌·IV형)을 별도 공급하지 않으면 상피 오가노이드 형태가 무너진다고 보고,정량 근거 없음(A/B/C 조합 내 배합비 실측 없음),해당 없음(특정 공급사 미확정),확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,재조합 발현,라미닌-511 E8 단편(L5); 기저막 결합 펩타이드(BM-binder),IV형은 NC1 도메인 매개 그물망을 만들어야 기능하므로 단편 공급만으로는 대체가 불완전,중,리뷰·특허 근거 중심
RC-L1-012,L1,세균 유래 콜라겐 유사 단백질(Scl2 / V-CL-CL),"Bacterial collagen-like protein (Scl2, V-CL-CL)",하이드록시프롤린 없이도 Tm 36–37 °C를 내는 삼중나선 골격. C의 Tm이 부족할 때 구조 대안,C,선택,'인간 콜라겐'이라는 전제에서 벗어나므로 기본 설계에는 넣지 않음. Tm 확보 실패 시의 후퇴안,SUBST,PMC3391134 [전문 확인]; PMC4813464 [전문 확인]; PMC9544300 [전문 확인],"V-CL-CL 및 Scl 변이체들이 Hyp 없이 CD 열전이 36–37 °C를 보이고, 시스테인 도입 시 디설파이드로 겔 형성","Tm 36–37 °C(CD 220 nm + DSC). 겔화는 디설파이드 산화 유도, 1 mg/mL 10 mM 인산완충액 pH 7.4",해당 없음(연구 시약 수준),확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,세균 발현,T4-fibritin 융합 인간 서열(인간성 유지),비인간 서열 — 오가노이드 표현형 해석에 교란요인. 37 °C가 Tm 바로 아래라 DDR 활성화가 안 된 사례 있음,상,독립 3편에서 일관된 Tm
RC-L2-001,L2,히알루론산 나트륨(고분자량),"Sodium hyaluronate, high molecular weight",A/B가 겔을 못 만드는 상태에서 점탄성과 응력이완을 담당. 콜라겐 섬유망이 없는 만큼 물리적 골격의 상당 부분을 대신한다,A;B;A+B,조건부,"자발 겔화가 안 되는 A/B 위주 조합에서는 사실상 필요하지만, HA 단독 제거실험이 재조합 콜라겐계에서 수행된 바 없어 조건부로 둠",REVIEW;DOSE,10.1016/j.biomaterials.2017.11.004 [본문 미확인 — 초록 범위]; PMC13019076 [전문 확인],응력이완형 HA-콜라겐 겔이 세포 전개·섬유 재편·국소접착 형성을 촉진한다는 보고. 본 조사 범위에서 재조합 단일사슬과의 조합 실측은 확인 못 함,정량 근거 없음(재조합 콜라겐과의 배합비),해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용/GMP 등급 선택 가능,미생물 발효 유래(동물유래 회피 가능),메타크릴화 HA(HAMA); 알지네이트; 덱스트란,고분자량 HA는 점도가 급증해 세포 혼합·주입이 어려워짐,중,재조합 콜라겐 조합 실측 부재
RC-L2-002,L2,메타크릴화 히알루론산(HAMA/MeHA),Methacrylated hyaluronic acid (HAMA/MeHA),재조합 콜라겐과 함께 같은 광가교망에 공중합되어 구조를 담당. 특허가 재조합 콜라겐-HAMA 접합을 직접 청구한다,전 조합,조건부,광가교 경로를 택할 때만 필요. 효소가교·물리가교 경로에서는 불필요,CLAIM;DOSE,US20240115763A1 청구항 16–18 [CLAIM]; PMC8293197 [전문 확인]; PMC11364519 [전문 확인],"HA를 메타크릴산 무수물로 수식(접합도 20–60 %, 바람직 30–50 %)한 뒤 EDC/sNHS로 재조합 콜라겐과 결합, 광개시제 첨가","HA 분자량 100–1500 kDa(바람직 300–600 kDa), 접합도 20–60 %; 복합 매트릭스 최종농도 2–30 mg/mL(바람직 5–20 mg/mL); 재조합 콜라겐:고분자 질량비 0.5–30 : 2–10",해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,미생물 발효 HA,노보넨화 HA(티올-엔); 산화 HA(이민 가역결합),메타크릴 접합도가 높으면 겔이 단단해져 오가노이드 성장 공간이 줄어듦,상,청구항에 수치 범위 명시 + 실험 논문 2건
RC-L2-003,L2,알지네이트(초저내독소 등급),"Alginate, ultrapure low-endotoxin",Ca²⁺ 이온가교만으로 즉시 겔을 만들어 A/B의 겔화 불능을 물리적으로 메우는 성분. 응력이완 조절에도 쓰임,A;B;A+B,조건부,"이온가교는 세포 존재 하에서 바로 쓸 수 있는 몇 안 되는 수단이지만, 재조합 콜라겐과의 조합 실측이 없어 조건부",DOSE,PMC10189430 [전문 확인]; PMC12953112 [전문 확인],2 %(w/v) 알지네이트에 36.6 또는 18.3 mM Ca²⁺ 도입 시 G′ 3.7±1.2 / 3.4±0.9 kPa 겔 형성. MSC 스페로이드 이동·융합이 응력이완에 의존,"2 %(w/v), Ca²⁺ 18.3–36.6 mM → G′ 3.4–3.7 kPa(레오미터)",해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),세포배양 등급,해조류 유래(동물유래 아님),산화 알지네이트(가역 이민); 아가로스,알지네이트는 세포 접착 리간드가 전무 — L5를 반드시 함께 설계해야 함,상,농도-물성 실측
RC-L2-004,L2,산화 알지네이트(ox-alginate),Oxidized alginate,가역적 이민 가교로 자가치유·주입성을 주는 성분. 오가노이드가 겔을 밀어내며 자랄 공간을 만든다,A;B;A+B,선택,"대체 수단(응력이완형 HA, 슬라이딩 겔)이 많고 재조합 콜라겐 조합 근거 없음",DOSE,PMC6318581 [전문 확인],"10 % 산화 알지네이트 겔에 아미노옥시-RGD 리간드 1000 µM 도입, 가교 종류별 점탄성 비교",10 %(w/v) ox-alg + 아미노옥시-RGD 1000 µM,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,해조류 유래,히드라존 가교 겔(PMC4445372),알데하이드기가 콜라겐 라이신과 원치 않게 반응해 리간드를 소모할 수 있음,중,재조합 콜라겐 조합 미검증
RC-L2-005,L2,말레이미드화 덱스트란 / SG-PVA(티올 반응성 다당),"Maleimide-dextran / SG-PVA, thiol-reactive polymer",티올-말레이미드 화학으로 펩타이드·가교제를 정량 배합하는 기성 골격. GFOGER-3와 RGD 농도를 계산식으로 맞출 수 있다,전 조합,조건부,L7 하이브리드 경로를 택할 때 필요. 순수 재조합 콜라겐 광가교 경로에서는 불필요,VENDOR,"Cellendes 3-D Life Hydrogels User Guide (2025-09판) [VENDOR], 확인일 2026-09-16",말레이미드 폴리머 + 티올 가교제 등몰 혼합으로 수분 내 겔화. 펩타이드 티올기까지 합산해 등몰을 맞추도록 규정,폴리머 티올반응기 총 2.5 mmol/L 기준: 가교 2.0 mmol/L + 펩타이드/티오글리세롤 0.5 mmol/L,Cellendes GmbH,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공)(폴리머 품번은 등급별 상이),연구용,"합성 고분자/다당, 동물유래 없음",8-arm PEG-노보넨 + 4-arm PEG-티올,말레이미드는 반응이 매우 빨라 세포와 혼합 전에 겔화될 수 있음 — pH 5.5 완충액으로 늦춰야 함,상,제조사 공식 사용자 가이드
RC-L2-006,L2,키토산 메타크릴레이트,Chitosan methacrylate,재조합 콜라겐 광가교 잉크의 점도·인쇄성 보조,전 조합,선택,대체재 다수,DOSE,PMC11364519 [전문 확인],"재조합 콜라겐/키토산 메타크릴레이트/나노클레이 바이오잉크를 LAP 3–4 %와 함께 UV 365 nm 10 mW/cm²로 광가교, 25 °C 인쇄","LAP 3–4 %(w/v), UV 365 nm 10 mW/cm², 인쇄속도 30 mm/s",해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,갑각류 유래 가능 — 비동물 유래 확인 필요,HAMA; 젤라틴 대체 재조합 GelMA,갑각류 유래 키토산은 동물유래 회피 전제와 충돌할 수 있음,중,단일 논문
RC-L2-007,L2,나노실리케이트(Laponite) / 나노클레이,Nanosilicate (Laponite) / nanoclay,"전단담화와 인쇄성 부여, 저농도 재조합 콜라겐 잉크의 형상 유지",전 조합,선택,"대체재 다수, 오가노이드 적용 근거 없음",DOSE,PMC11364519 [전문 확인]; PMC13330669 [전문 확인],나노클레이 보강 재조합 콜라겐 잉크의 압출성·형상유지 개선,정량 근거 없음(오가노이드 조건),해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,무기 합성,셀룰로스 나노결정(CNC),무기 입자가 광학 투과를 떨어뜨려 오가노이드 이미징을 방해,중,인쇄 응용 근거만
RC-L2-008,L2,셀룰로스 나노결정(CNC),Cellulose nanocrystals,효소가교 겔의 기계적 보강,전 조합,선택,대체재 다수,DOSE,PMC8695773 [전문 확인],젤라틴/CNC 복합 겔을 트랜스글루타미나제로 효소가교해 물성 보강,정량 근거 없음(재조합 콜라겐 조합),해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,식물 유래,나노클레이,분산 불량 시 국소적 강성 편차 발생,중,젤라틴계 근거만
RC-L2-009,L2,"아가로스(저융점, AgaFloat)",Low-melting agarose,가교 화학 없이 물리적 지지만 더하는 보조 성분,전 조합,선택,보조적,VENDOR,"Cellendes 3-D Life Hydrogels User Guide (2025-09판) [VENDOR], 확인일 2026-09-16",티올-말레이미드 겔에 물리적 지지를 추가하는 선택 성분으로 제공,정량 근거 없음,Cellendes GmbH,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,해조류 유래,젤라틴(동물유래이므로 본 설계에서 제외),아가로스는 분해되지 않아 오가노이드 확장을 물리적으로 막을 수 있음,중,제조사 자료
RC-L3-001,L3,데코린(재조합),"Decorin, recombinant",천연계에서는 I형 콜라겐 삼중나선에 결합해 섬유 직경을 제한하는 조절자. C가 있을 때만 결합 상대가 존재한다,C,선택,결합 파트너가 삼중나선이므로 A/B만 쓰는 조합에서는 기능적 의미가 없음,REVIEW,10.1074/jbc.270.15.8877 [본문 미확인 — 초록 범위]; 10.1074/jbc.m100625200 [본문 미확인 — 초록 범위],데코린-I형 콜라겐 상호작용이 별개의 코어단백질 결합 도메인을 통해 일어남. 비글리칸·데코린은 VI형 삼중나선 N말단 근처에 결합,정량 근거 없음,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,재조합 발현,비글리칸; 콘드로이틴황산 단독,A/B 위주 조합에서는 결합할 삼중나선이 없어 첨가해도 무효일 가능성이 높음,중,초록 범위 근거
RC-L3-002,L3,비글리칸(재조합),"Biglycan, recombinant",데코린과 유사한 섬유 조절자,C,선택,데코린과 동일한 한계,REVIEW,10.1074/jbc.m100625200 [본문 미확인 — 초록 범위],비글리칸과 데코린이 VI형 콜라겐 삼중나선 N말단 영역에 결합,정량 근거 없음,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,재조합 발현,데코린,동일,중,초록 범위 근거
RC-L3-003,L3,"헤파린(초순도, 매트릭스 결합형)","Heparin, ultrapure, matrix-bound",성장인자를 매트릭스에 붙잡아 두는 정전기적 저장소. starPEG-헤파린 형태로 오가노이드 배양 실적이 있다,전 조합,조건부,성장인자 서방이 필요한 오가노이드에서만 필요. 기본 지지체에는 불필요,REVIEW,PMC13546286 [전문 확인]; 10.1002/j.1460-2075.1992.tb05527.x [본문 미확인 — 초록 범위],"starPEG-헤파린 하이드로겔에서 췌장암 환자유래 오가노이드-대식세포 공배양 성립, 사이토카인 분비 프로파일링 수행",정량 근거 없음(재조합 콜라겐 조합에서의 헤파린 농도),해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,돼지 장점막 유래가 일반적 — 동물유래 회피 전제와 충돌,황산화 덱스트란; 헤파린 모사 합성 고분자,헤파린은 대부분 돼지 유래 — '동물유래 콜라겐 배제' 전제와 정합성을 따져야 함,중,오가노이드 실적은 있으나 재조합 콜라겐 조합 아님
RC-L3-004,L3,콘드로이틴황산,Chondroitin sulfate,콜라겐 코팅 표면의 세포반응 조절,전 조합,선택,"대체재 다수, 오가노이드 근거 없음",REVIEW,10.1016/j.biomaterials.2006.06.034 [본문 미확인 — 초록 범위]; 10.1002/jbm.a.30572 [본문 미확인 — 초록 범위],티타늄 임플란트에 콜라겐+RGD+콘드로이틴황산을 코팅한 계열 연구,정량 근거 없음,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,동물 연골 유래가 일반적,황산화 합성 다당,동물유래,하,2D 임플란트 코팅 근거만
RC-L3-005,L3,재조합 피브로넥틴 단편(FNIII9-10 / CH-296),Recombinant fibronectin fragment (FNIII9-10 / CH-296),α5β1 경로를 여는 보조 접착 단백질. 콜라겐 섬유형성의 핵형성자 역할도 한다,전 조합,조건부,"천연계에서 피브로넥틴이 콜라겐 섬유형성의 조직자라는 근거는 있으나, 단일사슬 재조합 콜라겐에서 그 역할이 남아있다는 근거가 없음",REVIEW,PMC2577133 [전문 확인]; 10.1126/scitranslmed.3002614 [본문 미확인 — 초록 범위],피브로넥틴·인테그린·소수 콜라겐이 섬유형성의 조직자·핵형성자로 작동한다는 리뷰,정량 근거 없음,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,재조합 발현,PHSRN-K-RGDS 합성 펩타이드(L5),단일사슬에는 핵형성 대상 자체가 없어 섬유형성 촉진 효과를 기대하기 어렵다,중,리뷰 근거
RC-L3-006,L3,V형/XI형 콜라겐(섬유 직경 조절자),"Type V / XI collagen, fibril diameter regulator",I형 섬유 직경을 규정하는 조절자. C가 섬유를 만들 때만 의미가 있다,C,선택,A/B에는 조절할 섬유가 없음. C도 텔로펩타이드가 없어 천연형 섬유를 만들지 못하므로 효과 불확실,REVIEW,10.1242/jcs.95.4.649 [본문 미확인 — 초록 범위]; PMC11800387 [전문 확인],α1(XI) N말단 도메인이 I형 콜라겐 섬유 조립을 조절함을 보인 연구,정량 근거 없음,해당 없음,확보 실패: 제조사 공식 페이지에 품번·가격 비공개(견적 문의만 제공),연구용,재조합 발현,없음,재조합 텔로펩타이드 결손 콜라겐에 대해서는 검증되지 않음,중,천연 콜라겐 기반 근거
