essential_id,name_ko,name_en,layer,axis,tier,evidence_type,evidence_ref,experiment_summary,patent_ref,tissue_scope,quant_range,alternatives,open_issues,confidence,confidence_reason
N-011,RGD 펩타이드(유선 오가노이드),RGD peptide (mammary gland organoid),L2,AX-1;AX-9,E1,OMIT;DOSE,DOI:10.1002/advs.202001797,"PIC 하이드로겔 4종(PIC-1~4) 중 RGD를 포함하지 않는 PIC-2에서만 낭포형 유선 오가노이드가 생기지 않아 이후 분석에서 제외되었다. RGD 밀도를 63 µM에서 252 µM로 올리면 기저세포 분획이 유의하게 증가했으나 콜로니 형성률은 변하지 않았고, 콜로니 형성률은 강성(0.3 vs 2.3 kPa)에 의해 좌우되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),유선(참고 조직),"RGD 63 µM vs 252 µM; G′ 0.32 kPa vs 2.3 kPa (유변계 진동측정, 평행판)",라미닌-엔탁틴 보충,"RGD 밀도가 세포 조성을, 강성이 형성률을 따로 지배하는 이중 분리의 기전 미규명",중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-012,RGD 펩타이드(신경 전구세포),RGD peptide (neural progenitor),L2,AX-1;AX-9,E1,OMIT,DOI:10.1126/sciadv.adh8313,빠른 응력완화 동적 겔이라도 RGD 리간드가 없으면 인간 신경전구세포의 TUBB3 양성 신경돌기 신장이 유의하게 감소했다. 저자들은 RGD 기반 인테그린 신호가 있어야 세포가 매트릭스의 응력완화 속도 차이를 감지한다고 결론지었다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),뇌/신경,"겔 강성 약 800 Pa (유변계, 주파수 스윕·평행판)",라미닌 코팅(2D 신경 배양 관행),신경돌기 신장 지표이며 오가노이드 형성률 자체의 무첨가 대조는 아님,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-013,GFOGER 펩타이드(콜라겐 모사),GFOGER peptide (collagen-mimetic),L2,AX-1;AX-9,E1,SUBST;OMIT,DOI:10.1038/s41563-021-01085-1;DOI:10.1038/s41586-025-09151-3,"8-arm PEG-VS/MMP 감수성 가교 겔에서 마우스 췌장암 오가노이드는 피브로넥틴 모사 펩타이드만으로는 유지되지 않았고 GFOGER(C) 단독에서 유지되었으며, GFOGER+BM결합+피브로넥틴 3종 병용(CBF)이 GFOGER 단독보다 오가노이드 수·크기를 유의하게 높였다 [전문 확인]. 반면 초기 뇌 오가노이드에서는 PEG-GFOGER 단독이 내강 수를 현저히 줄였다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),췌장(필수적) / 뇌(열등),PEG 겔 CBF-0.5 조성; 접착 펩타이드 1 mM(뇌 실험),전장 콜라겐 I; 라미닌-111,같은 펩타이드가 조직에 따라 정반대 방향으로 작용하는 이유 미규명,상,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인
N-014,피브로넥틴 모사 펩타이드(PHSRN-K-RGD),fibronectin-mimetic peptide PHSRN-K-RGD,L2,AX-1;AX-9,E2,SUBST,DOI:10.1038/s41563-021-01085-1,마우스 췌장암 오가노이드는 피브로넥틴 모사 펩타이드(F) 단독 겔에서는 유지되지 않았다. 같은 논문은 인간 대장암·자궁내막암 오가노이드주는 피브로넥틴 모사 펩타이드로 유지된다는 선행 보고와 대조된다고 명시했다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),"췌장(불충분) / 대장암·자궁내막암(충분, 선행연구 인용)",정량 근거 없음(형성 유무 비교),GFOGER; 라미닌-511/521,선행 보고의 실험 조건은 이 논문 본문에 재현되지 않아 직접 비교 불가,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-015,기저막 결합 펩타이드,basement-membrane-binding peptide,L2,AX-1;AX-6,E2,SUBST,DOI:10.1038/s41563-021-01085-1;DOI:10.1016/j.bioactmat.2023.10.001,"세포가 분비한 매트리셀룰러 단백질을 겔에 붙잡아 두기 위해 BM 결합 펩타이드를 도입했고, GFOGER·피브로넥틴 모사 펩타이드와 3종 병용(CBF)했을 때 췌장암 오가노이드 수·크기가 최대였다 [전문 확인]. 난소 조직 겔에서는 PEG에 BM 결합 펩타이드를 붙여 ECM을 포집했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),췌장; 난소(참고),정량 근거 없음(조합 비교),세포 자가분비 나센트 ECM에 의존,BM 결합 펩타이드 단독 기여도를 분리한 실험은 확보 실패,상,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인
N-016,히알루론산(HA) 골격,hyaluronic acid backbone,L1;L2,AX-1;AX-9,E1,SUBST,DOI:10.1002/advs.202004705,HELP에서 HA 성분을 동일 벤즈알데하이드 화학으로 수식한 합성 PEG로 치환해 강성과 RGD 농도(1 mM)를 일치시킨 ELP-PEG 겔을 만들었더니 엔테로이드가 전혀 형성되지 않았다. 저자들은 HA의 생화학 신호가 HELP의 필수 구성요소라고 결론지었다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(인간 환자 유래 엔테로이드),"강성 일치, RGD 1 mM 고정 조건에서 HA 유무만 비교",라미닌-111 보충(마우스 배양); GFOGER+BM결합 펩타이드 조합,HA 분자량·수식률에 따른 농도반응은 본문에 없음,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-017,IKVAV 펩타이드,IKVAV peptide,L2,AX-1,E3,REVIEW,DOI:10.1186/s10020-025-01131-7,확보한 전문 133편 및 검증 문헌 풀 전체에서 IKVAV를 뺀 조건과 넣은 조건을 비교해 오가노이드 형성률을 정량한 실험을 찾지 못했다. 총설 수준에서 접착 모티프의 하나로 열거될 뿐이다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체,정량 근거 없음,RGD; 전장 라미닌-111,확보 실패: 본 근거 자료 범위 내에 IKVAV 제거·치환 실험 원저 없음 / 근거 중 총설 포함(10.1186/s10020-025-01131-7) — 해당 부분은 원저의 1차 실험 근거가 아님.,하,총설·제조사 자료 기반 정성 근거(제거·치환·농도반응 실험 없음) — 규칙에 따라 E2 이하로만 판정
N-018,Invasin 인테그린 결합 단편,Yersinia Invasin integrin-binding fragment,L2,AX-1;AX-8,E2,SUBST,DOI:10.1073/pnas.2420595121,"재조합 Invasin C말단 단편 5 µg/mL를 배양면에 코팅하자 장 상피세포가 부착했고, 오가노이드 성장인자를 더하면 2D에서 다계대 증식이 가능했으며 극성·접합·장세포·배상세포·파네트세포·장내분비세포 생성이 시간이 지나도 유지되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장; 인간·마우스 및 뱀 상피 확장 보고,코팅 5 µg/mL (대조 BME 2%),Matrigel/BME; 라미닌-111,2D 코팅 형식이며 3차원 지지체 내부 리간드로서의 검증은 없음,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-019,외인성 제IV형 콜라겐,exogenous collagen IV,L2,AX-1,E3,REVIEW,DOI:10.7554/elife.73486,인간 다능성줄기세포 유래 신장 오가노이드는 78종의 기저막 단백질을 스스로 침착하며 COL4A1/A2 → COL4A3 순의 시간적 동형 전환을 보였다. 즉 제IV형 콜라겐은 세포가 자체 생산한다 [전문 확인]. 제IV형 콜라겐을 외부에서 빼거나 넣어 오가노이드 형성률을 비교한 실험은 확보 자료 내에 없다.,특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(확인 조직=신장),정량 근거 없음,세포 자가분비(나센트) 제IV형 콜라겐,확보 실패: 외인성 콜라겐 IV의 제거·첨가 대조실험 원저 없음 — 통념상 '기저막 필수 성분'이나 지지체 필수물질 근거는 부재,하,총설·제조사 자료 기반 정성 근거(제거·치환·농도반응 실험 없음) — 규칙에 따라 E2 이하로만 판정
N-020,니도젠/엔탁틴(단독 성분),nidogen/entactin (as a standalone component),L2,AX-1,E3,REVIEW,DOI:10.1002/adfm.202000893;DOI:10.7554/elife.73486,엔탁틴은 라미닌-엔탁틴 복합체(LEC) 형태로만 첨가·검증되었고 복합체에서 엔탁틴만 빼서 비교한 실험은 확보 자료 내에 없다 [전문 확인]. 기저막 조립 위계상 라미닌 망이 먼저 형성된 뒤 니도젠이 편입된다는 서술은 있으나 지지체 조성으로서의 필수성 실험은 아니다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체,정량 근거 없음,LEC 복합체 전체로 공급,확보 실패: 니도젠 단독 제거 실험 없음,중,총설·제조사 자료 기반 정성 근거(제거·치환·농도반응 실험 없음) — 규칙에 따라 E2 이하로만 판정
N-021,퍼레칸(헤파란황산 프로테오글리칸),perlecan (HSPG),L2;L7,AX-1;AX-6,E3,REVIEW,DOI:10.1371/journal.pone.0328898,"탈세포 돼지 소장 유래 겔이 Matrigel 대비 장줄기세포 유지에 미치지 못한 원인으로 테나신·엘라스틴·퍼레칸 등 미확인 니치 성분의 결핍 가능성을 저자들이 '추정'으로 언급했을 뿐, 퍼레칸을 넣고 뺀 비교 실험은 제시되지 않았다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체,정량 근거 없음,헤파린 수식 고분자로 성장인자 포집 기능만 대체,확보 실패: 퍼레칸 제거·첨가 실험 원저 없음,하,총설·제조사 자료 기반 정성 근거(제거·치환·농도반응 실험 없음) — 규칙에 따라 E2 이하로만 판정
N-022,피브로넥틴(전장),full-length fibronectin,L2,AX-1;AX-9,E2,SUBST,DOI:10.1038/nature20168;DOI:10.1038/s41467-019-13605-4,"장줄기세포 확장 단계에서는 피브로넥틴 기반 접착만으로 생존·증식이 충분했고, 분화와 오가노이드 형성 단계에서는 무른 매트릭스와 라미닌 기반 접착이 필요했다고 초록에 명시되어 있다 [본문 미확인 — 초록 범위]. 탈세포 조직 겔 논문은 합성 PEG 겔에 피브로넥틴을 더해 마우스 장줄기세포 생존·증식이 향상된 선행 결과를 인용한다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(확장 단계),정량 근거 없음(초록 범위),PHSRN-K-RGD 피브로넥틴 모사 펩타이드,원논문 본문 미확인이라 농도·측정 조건 서술 불가(R-07),중,"근거 혼합 — 일부는 전문에서 실험 조건 직접 확인, 일부는 초록 범위에 그침"
N-023,비접착성 배경 고분자(알지네이트),non-adhesive alginate backbone,L1;L2,AX-1;AX-4;AX-9,E3,OMIT,DOI:10.1016/j.stemcr.2018.12.001;DOI:10.1002/advs.202102418,"무수식 알지네이트는 접착성이 없고 단백질 흡착도 억제하지만 인간 다능성줄기세포 유래 장 오가노이드(HIO)의 생존·발달을 지지했고, 이식 후 성숙도도 Matrigel군과 유사했다. 저자들은 HIO가 상피와 외곽 중간엽을 함께 가져 스스로 기저막을 만들기 때문이라고 해석했다 [전문 확인]. 마우스 유방암 오가노이드도 비접착성 알지네이트 미세비드 안에서 성장했다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장(hPSC 유래 HIO); 유방 종양,알지네이트 1~2% w/v가 최적(생존·수율 기준),접착 리간드 제시형 겔,상피 단독(엔테로이드)에서는 같은 결론이 성립하지 않을 가능성 — 직접 비교 실험 확보 실패,상,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인
N-024,제I형 콜라겐,type I collagen,L1;L2,AX-1;AX-9,E2,SUBST,DOI:10.1371/journal.pone.0107814;DOI:10.1038/s41598-023-32438-2,인간 소장 크립트를 Matrigel 대신 제I형 콜라겐 겔에 현탁하고 근섬유아세포 위에서 공배양하자 1개월 이상 생존했고 12계대·60일 확장이 가능했다. 콜라겐에서는 Matrigel에서 보이지 않던 겔-액체 계면 단층 상피 시트가 형성되었다 [전문 확인]. 인간 장 오가노이드를 콜라겐 겔에 넣어도 증식성이 유지된다는 저비용 배양 보고도 있다 [전문 확인],특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,콜라겐 겔(농도 본문 기재 없음); 12계대/60일,Matrigel; 탈세포 장 ECM 겔,콜라겐만으로는 Matrigel 대비 상피 형태가 달라지며(단층 시트) 동등성 판정 불가,상,서로 독립된 2편의 전문에서 동일 방향의 제거·치환·농도반응 결과를 확인
N-025,피브린 + 라미닌-111 복합,fibrin + laminin-111 composite,L1;L2,AX-1;AX-8,E2,SUBST,DOI:10.1002/adma.201801621,"정제 인간 혈장 피브리노젠 유래 무른 피브린 겔이 물리적 지지를 제공하고, 골격에 본래 존재하는 RGD 접착 도메인과 라미닌-111 보충이 견고한 오가노이드 형성·확장에 필요한 핵심 파라미터였다고 초록에 명시되어 있다 [본문 미확인 — 초록 범위]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),전체(마우스·인간 상피 오가노이드 다종),정량 근거 없음(초록 범위),PEG-RGD + 라미닌; HELP,원논문 본문 미확인 — 피브리노젠 농도·라미닌 농도·강성 수치 서술 불가(R-07) / 원논문 전문 미확보로 치환 실험의 조건·수치를 확인하지 못해 E1에서 E2로 하향(V 감사 반려-007). 전문 확보 시 E1 재검토 대상.,하,원논문 전문 미확보 — 초록에 명시된 범위만 기재(R-07). 실험 조건·수치 미확인 / 초록 범위 근거만으로는 조건부 필수(E1)를 지탱하지 못해 E2로 하향
N-026,저장탄성률 G′ 1.3~1.7 kPa (간 생리 강성),storage modulus 1.3-1.7 kPa (liver-physiological),L3,AX-2;AX-9,E1,DOSE,DOI:10.1038/s41467-020-17161-0,"FXIIIa 가교 PEG 겔의 강성을 정상 마우스 간보다 무른 0.3 kPa부터 생리값 1.3 kPa까지 변화시켜 간 오가노이드를 유도했다. 오가노이드 형성 효율과 증식은 강성에 크게 좌우되었고 1.3~1.7 kPa가 최적이었으며, 분화능은 강성에 영향받지 않았다. 4 kPa 섬유화 모사 겔에서는 표현형이 유의하게 달라졌다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),간,"G′ 1.3~1.7 kPa 최적 (유변계 진동측정, 평행판, 주파수 스윕)",Matrigel(약 71 Pa)에서도 배양은 되나 강성 조절 불가,'최적'의 판정 지표가 형성효율·증식이며 장기 기능 성숙과의 관계는 미확립,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-027,"저장탄성률 G′ ≈1 kPa (장 오가노이드, 점탄성 겔)","G' ~1 kPa (intestinal, viscoelastic gel)",L3,AX-2;AX-3;AX-9,E1,DOSE,DOI:10.1002/advs.202004705,"HELP 겔의 하이드라진-벤즈알데하이드 가교도를 바꿔 G′ ≈1 kPa(Stiff EL)와 ≈400 Pa(Soft EL)를 만들고 응력완화 프로파일을 동일하게 유지했다. 오가노이드 형성은 G′ ≈1 kPa, 느린 응력완화(t1/2 ≈18 h), 높은 인테그린 리간드 농도(0.5~1 mM RGD)에서 가장 견고했고, 굳은 겔의 엔테로이드 단면적이 무른 겔보다 컸다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,"G′ 400 Pa vs 1 kPa (유변계 진동측정, 주파수 스윕); t1/2 18 h vs 30 min",1.3 kPa 근방 PEG 겔,같은 장 조직이라도 성체 유래 엔테로이드와 hPSC 유래 HIO의 최적 강성이 다름,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
N-028,"저장탄성률 G′ ≈1.17 kPa (장, SPAAC PEG)","G' ~1.17 kPa (intestinal, SPAAC PEG)",L3,AX-2;AX-5,E2,DOSE,DOI:10.1126/sciadv.add5668,"8-arm PEG-DBCO와 알릴설파이드 비스(PEG3-아자이드)의 SPAAC 반응으로 생리 조건에서 겔화했고, 겔화 30초 내 G′>G″ 교차, 236±12초에 최종 G′의 90% 도달, 평형 G′ 1170±150 Pa였다. 이 값은 줄기세포 유도 조건에서 장 오가노이드 형성의 최적 탄성률(약 1.3 kPa)을 근거로 선택되었다 [전문 확인]",특허 근거 미사용(본 항목은 논문 실험 근거만으로 판정; 대응 특허 근거는 12_patent_essentials.md 참조),장,"G′ 1170±150 Pa (유변계 진동측정, 평행판); 겔화 t90 = 236±12 s",1.3 kPa PEG-VS 겔,알릴설파이드 광재배열로 국소 강성을 낮추는 방식이라 균질 강성 효과와 분리 어려움,중,단일 원저의 전문에서 실험 조건을 직접 확인했으나 독립적 재현 문헌은 확보하지 못함
