material_id,name_ko,name_en,synonyms,layer,function_role,ecm_counterpart,essentiality,evidence_ref,patent_ref,supplier,catalog_no,grade,origin,spec,price,alternatives,risk,confidence,confidence_reason
C-L1-015,라미닌/니도젠 복합체(고농도),"Laminin/Entactin complex, high concentration",laminin-nidogen complex; entactin,L1,라미닌과 니도젠-1이 결합한 천연 복합체로 IV형 콜라겐 네트워크와 라미닌 격자를 가교,기저막 라미닌-니도젠 결절,조건부,DOI:10.1074/jbc.m702963200,없음(특허 조사는 본 산출물 범위 외),Corning Life Sciences,354259,연구용,동물,"10.5 mg/병, 비환원 분자량 약 900 kDa, EHS 마우스 종양 유래, SDS-PAGE 순도 >90%, 겔화 권장 농도 ≥3.5 mg/mL",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(라미닌 단독) + R&D 2570-ND(니도젠-1) 조합,EHS 종양 유래 공통 한계; -70 ℃ 보관 요구로 물류 부담,상,"Corning eCatalog에서 품번·분자량·순도·겔화 농도까지 확인, 라미닌 말단 구상 도메인의 기저막 조립 역할 논문으로 기능 근거 확보"
C-L1-016,"라미닌-111(재조합 인간, α1β1γ1)",Recombinant human Laminin-111,Biolaminin 111 LN; LN111; α1β1γ1,L1,다수 세포종의 범용 부착 단백질이자 기저막 기본형 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α1β1γ1,조건부,DOI:10.1016/j.bbrc.2008.07.111,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN111,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α1β1γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,상,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-017,"라미닌-121(재조합 인간, α1β2γ1)",Recombinant human Laminin-121,Biolaminin 121 LN; LN121; α1β2γ1,L1,β2 사슬 치환형으로 신경근·신장 사구체 기저막 모사 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α1β2γ1,선택,DOI:10.1016/j.bbrc.2008.07.111,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN121,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α1β2γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,중,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-018,"라미닌-211(재조합 인간, α2β1γ1)",Recombinant human Laminin-211,Biolaminin 211 LN; LN211; α2β1γ1,L1,"골격근·말초신경 기저막의 주 아이소폼, 운동뉴런·심근 지지 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태",기저막 라미닌 α2β1γ1,선택,DOI:10.1038/s41467-018-03425-3,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN211,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α2β1γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,중,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-019,"라미닌-332(재조합 인간, α3β3γ2)",Recombinant human Laminin-332,Biolaminin 332 LN; LN332; α3β3γ2,L1,상피 반데스모좀과 고정섬유를 매개하는 상피 특이 아이소폼 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α3β3γ2,조건부,DOI:10.1634/stemcells.2007-0389,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN332,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α3β3γ2, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,중,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-020,"라미닌-411(재조합 인간, α4β1γ1)",Recombinant human Laminin-411,Biolaminin 411 LN; LN411; α4β1γ1,L1,혈관내피·조혈·췌장 기저막 아이소폼 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α4β1γ1,조건부,DOI:10.1016/j.celrep.2016.12.092,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN411,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α4β1γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,중,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-021,"라미닌-421(재조합 인간, α4β2γ1)",Recombinant human Laminin-421,Biolaminin 421 LN; LN421; α4β2γ1,L1,내피 및 신장 세포용 아이소폼 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α4β2γ1,선택,DOI:10.1016/j.bbrc.2008.07.111,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN421,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α4β2γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,중,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-022,"라미닌-511(재조합 인간, α5β1γ1)",Recombinant human Laminin-511,Biolaminin 511 LN; LN511; α5β1γ1,L1,인테그린 α6β1 고친화 결합으로 마우스 배아줄기세포 자가재생 유지 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α5β1γ1,필수,DOI:10.1634/stemcells.2007-0389,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN511,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α5β1γ1, 용액 형태(대표 포장 100 µg/500 µg)",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,상,BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했으나 공개 가격은 미표시
C-L1-023,"라미닌-521(재조합 인간, α5β2γ1)",Recombinant human Laminin-521,Biolaminin 521 LN; LN521; α5β2γ1,L1,인간 다능성줄기세포의 단일세포 클론 배양을 가능케 하는 아이소폼 — 전장(full-length) 재조합 삼중체(α/β/γ) 형태,기저막 라미닌 α5β2γ1,조건부,DOI:10.1038/ncomms4195,없음(특허 조사는 본 산출물 범위 외),BioLamina AB,LN521,연구용;의약품제조,인간 재조합,"인간 세포주 발현 전장 재조합 라미닌 아이소폼 α5β2γ1, 용액 형태(대표 포장 100 µg/500 µg)","USD 405.60 / 500 µg (2026-09-14 확인, Fisher Scientific 품번 NC2373484)",Corning 354232(천연 마우스 라미닌); Nippi iMatrix E8 절편,전장 재조합 단백질로 단가가 매우 높고 대량 3D 겔 봉입에는 비경제적; 코팅 용도 최적화 제품,상,"BioLamina 공식 제품 목록에서 제품명·품번·아이소폼을 직접 확인했고 Fisher Scientific 표시가까지 확보 / 동일 물질의 제품 간 등급 역전을 해소(물질 단위 부여, 반려-005 반영)"
C-L1-024,재조합 인간 라미닌-521(Gibco),Recombinant human Laminin-521 (rhLaminin-521),rhLaminin-521; LN521 α5β2γ1,L1,무영양세포(feeder-free) 인간 다능성줄기세포 배양의 정의된 부착 표면,기저막 라미닌-521,조건부,DOI:10.1038/nbt.1620,없음(특허 조사는 본 산출물 범위 외),Gibco (Thermo Fisher Scientific),A29249 (1 mg) / A29248 (100 µg),연구용;의약품제조,인간 재조합,"재조합 인간 라미닌-521 용액, 0.1 mg/mL, 100 µg 및 1 mg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),BioLamina LN521; Gibco VTN-N,단일 공급사 의존 시 단종·품번 변경 리스크(동일 공급사 VTN-N이 품번 교체 진행 중),상,"Thermo Fisher 공식 카탈로그에서 품번·농도·포장 확인, Rodin 등의 라미닌-511 자가재생 논문으로 기능 근거 확보"
C-L1-025,라미닌-511 E8 절편,Laminin-511 E8 fragment,iMatrix-511; LM511-E8; 라미닌 E8 절편,L1,"라미닌-511에서 인테그린 결합 활성을 담당하는 최소 단위 E8 절편만 재조합 발현한 것으로, 전장 대비 단위 질량당 부착 활성이 높고 배지 직접 첨가가 가능",기저막 라미닌-511의 인테그린 결합 도메인,조건부,DOI:10.1016/j.matbio.2005.12.001,없음(특허 조사는 본 산출물 범위 외),"Nippi, Inc. / Matrixome(유통 REPROCELL, AMSBIO)","NP892-011 (175 µg×2) / 892-012 (1,050 µg, 6 바이알)",연구용,인간 재조합,"CHO-S 세포 발현 인간 재조합 라미닌-511 E8 절편, 0.5 mg/mL 용액, 2~15 ℃ 보관",공개 카탈로그 가격 미표시(확인일 2026-09-14),BioLamina LN511(전장); Gibco rhLaminin-521,E8 절편은 라미닌의 자가중합(폴리머화) 능력이 없어 기저막 격자 자체는 형성하지 못함,상,"AMSBIO 데이터시트와 REPROCELL 카탈로그에서 품번·포장량·발현계를 확인, 라미닌-인테그린 결합 특이성 종합 분석 논문으로 E8 도메인 근거 확보"
C-L1-026,라미닌-411 E8 절편,Laminin-411 E8 fragment,iMatrix-411; LM411-E8,L1,인간 다능성줄기세포의 혈관내피 계열 분화 유도용 E8 기질,혈관 기저막 라미닌-411 인테그린 결합 도메인,선택,DOI:10.1016/j.celrep.2016.12.092,없음(특허 조사는 본 산출물 범위 외),"Nippi, Inc. / Matrixome(유통 REPROCELL)",NP892-041 / NP892-042,연구용,인간 재조합,"CHO-S 세포 발현 인간 재조합 라미닌-411 E8 절편, 혈관내피 전구세포 유도용",공개 카탈로그 가격 미표시(확인일 2026-09-14),BioLamina LN411; Corning 354232,특정 분화 프로토콜 전용에 가까워 범용 오가노이드 매트릭스로는 근거 제한적,중,"REPROCELL 제품 카탈로그에서 품번·발현계·용도 확인, 라미닌-511/411 내피 기저막 기능 논문으로 생물학적 근거 확보"
C-L1-027,피브로넥틴(인간 혈장 유래),"Fibronectin, human plasma",FN; plasma fibronectin; RGD 함유 접착 당단백질,L1,RGD 서열을 통해 인테그린 α5β1·αvβ3에 결합하고 콜라겐·헤파린·피브린을 가교하는 접착 당단백질,간질 ECM 피브로넥틴 섬유,조건부,DOI:10.1089/scd.2006.0100,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),F0895,연구용,동물,"액상 0.1% 용액(1 mg/mL), 인간 혈장 유래, 세포배양 적합 등급, 1 mg/5 mg 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Corning 356008; 재조합 피브로넥틴 절편(FN III7-10),인간 혈장 유래로 공여자 풀 변동성과 바이러스 불활화 검증 부담; 동결-해동 반복 시 섬유 응집,상,"Sigma 공식 제품 페이지에서 품번·농도·형태 확인, 피브로넥틴의 중간엽줄기세포 주화성 유도 논문으로 기능 근거 확보"
C-L1-028,"재조합 인간 비트로넥틴(절단형, VTN-N)","Recombinant human Vitronectin, truncated (VTN-N)",VTN-N; truncated vitronectin; 재조합 비트로넥틴,L1,αvβ5 인테그린 결합을 통해 인간 배아줄기세포의 무영양세포 자가재생을 지지하는 완전 정의 코팅 단백질,혈장·ECM 비트로넥틴,조건부,DOI:10.1634/stemcells.2008-0291,없음(특허 조사는 본 산출물 범위 외),Gibco (Thermo Fisher Scientific),A14700 (1 mL=0.5 mg) — 신규 품번 A400457/A400458로 이관 중(확인일 2026-09-14),연구용;의약품제조,인간 재조합,"재조합 인간 비트로넥틴 절단형 0.5 mg/mL, 1 mL 및 10 mL(A31804) 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma V8379(인간 혈장 비트로넥틴); BioLamina LN521,기존 품번 A14700/A31804가 단종 예정으로 재고·문서 이관 리스크 존재; 2D 코팅 특화로 3D 봉입 근거 부족,상,"Thermo Fisher 공식 카탈로그에서 품번·농도와 단종/이관 공지를 확인, 재조합 비트로넥틴의 hESC 자가재생 논문으로 기능 근거 확보"
C-L1-029,피브리노겐(인간 혈장 유래),"Fibrinogen, human plasma",factor I; 피브리노겐,L1,"트롬빈 절단으로 피브린 섬유망을 형성하는 전구체로, 정의된 성분만으로 상피 오가노이드를 지지하는 피브린 하이드로젤의 기재",혈액응고 유래 임시 기질(provisional matrix),조건부,DOI:10.1002/adma.201801621,없음(특허 조사는 본 산출물 범위 외),Sigma-Aldrich (Merck),F3879,연구용,동물,"분말, 단백질 50~70%, 응고성 단백질 ≥80%, 가용성 이량체 약 340 kDa, CAS 9001-32-5, 100 mg~5 g 포장",공개 카탈로그 가격 미표시(확인일 2026-09-14),Sigma F5386(불용성 피브린); 임상용 피브린 실런트 제제,인간 혈장 유래 감염성 인자 관리 필요; 응고성 단백질 비율 편차가 겔 강성에 직접 반영,상,"Sigma 제품 페이지와 제품정보시트에서 품번·조성·응고성 비율 확인, 정의된 피브린 하이드로젤 상피 오가노이드 논문(Broguiere)으로 오가노이드 적용 근거 확보"
