patent_id,title,assignee,assignee_type,jurisdiction,priority_date,filing_date,pub_date,ipc,tech_category,claim_checked,legal_status,expiry_note,significance,confidence,confidence_reason
US20250213612A1,METHODS OF GENERATING CROSS-LINKED PROTEIN FOAMS IN SITU,BIOCHANGE LTD.,기업,US,2015-04-03,2025-03-14,2025-07-03,A61K35/12 ; A61B17/064 ; A61K9/12,정제 단백질 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,동일 계열의 in situ 단백질 폼 생성법,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US8513380B2,Peptides for binding fibrinogen and fibrin,Georgia Tech Research Corporation,대학·연구기관,US,2009-07-09,2010-07-09,2013-08-20,C07K2/00,정제 단백질 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,피브리노겐/피브린 결합 펩타이드 — 피브린 매트릭스 기능화 소재,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11642849B2,In vivo live 3D printing of regenerative bone healing scaffolds for rapid fracture healing,The Texas A&M University System,대학·연구기관,US,2015-11-24,2019-07-30,2023-05-09,A61K38/39 ; A61K31/722 ; A61K33/00,정제 단백질 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,메타크릴화 젤라틴/키토산 + 실리케이트 나노입자 조성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12290612B2,Aligned fiber and method of use thereof,LifeNet Health,기업,US,2013-03-14,2020-08-10,2025-05-06,A61F2/08 ; A61K35/32 ; A61L27/18,정제 단백질 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,정렬 섬유 스캐폴드(콜라겐계),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2019198086A1,BIOENGINEERED CORNEAL GRAFT AND METHODS OF PREPARATION THEREOF,PRECISE BIO INC,기업,WO,2018-04-11,2019-04-11,2019-10-17,A61F9/00 ; A61F2/14 ; A61L27/36,정제 단백질 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,생체공학 각막 이식편 — 세포층과 지지체 구성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2025045783A1,THYMIC ORGANOIDS,THE FRANCIS CRICK INSTITUTE LTD,대학·연구기관,WO,2023-08-25,2024-08-23,2025-03-06,C12N5/078 ; C12N5/071,정제 단백질 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,하이드로겔 스캐폴드 + 흉선 기질세포로 구성된 흉선 오가노이드,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR20260068704A,Hyaluronic acid-gelatin based hydrogel composition,주식회사 매트릭셀바이오,기업,KR,2024-11-07,2025-11-07,2026-05-14,미상(검색 원자료에 분류코드 미포함),정제 단백질 기반,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,히알루론산-젤라틴 하이브리드 하이드로겔 조성물(국내 기업 매트릭셀바이오),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2026101336A1,Hyaluronic acid–gelatin-based hydrogel composition,주식회사 매트릭셀바이오,기업,WO,2024-11-07,2025-11-07,2026-05-15,미상(검색 원자료에 분류코드 미포함),정제 단백질 기반,서지정보만 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,위 조성물의 PCT 출원,중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20220074545A,Photocured gelatin methacryloyl hydrogel for an artificial mucosal tissue model,청주대학교 산학협력단,대학·연구기관,KR,2020-11-27,2020-11-27,2022-06-03,미상(검색 원자료에 분류코드 미포함),정제 단백질 기반,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,광경화 GelMA 인공점막 조직(청주대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2015050943A1,HYALURONIC ACID AND ALGINATE HYDROGEL COMPOSITION,UNIV CALIFORNIA,대학·연구기관,WO,2013-10-04,2014-10-01,2015-04-09,A61F13/02,다당 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,알지네이트 + 히알루론산 이중 고분자에 세포지시 펩타이드를 공유결합,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20200239824A1,Hydrogel for stem cell and organoid culture,TheWell Bioscience,기업,US,2017-04-10,2020-03-30,2020-07-30,C12M1/12 ; A61K9/00 ; A61K35/545,다당 기반,청구항 확인,심사중(Pending),등록 여부 미확정,연질 다당 하이드로겔을 이용한 오가노이드 배양법. TheWell Bioscience,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12227761B2,Supportive nanofibrillar cellulose scaffold for expanding cells,UPM-KYMMENE CORPORATION,기업,US,2017-06-22,2018-06-19,2025-02-18,C12N5/0793 ; C08B15/02,다당 기반,청구항 확인,등록·유효(Active),예상만료 2040-06-02,식물 유래 음이온성 나노피브릴 셀룰로스 0.05-0.35 wt% 수치한정. 동물유래 원료 완전 회피,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12584907B1,Viscoelastic hydrogel regulation of organoid patterning and vascularization,"The Florida State University Research Foundation, Inc.",대학·연구기관,US,2024-09-20,2025-04-10,2026-03-24,C12N5/077 ; C12N5/071 ; C12N5/079,다당 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,메타크릴화 HA + 도파민 개질 HA 점탄성 스캐폴드로 오가노이드 패터닝,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US9782517B2,Crosslinked hyaluronic acid-collagen gels for improving tissue graft viability and soft tissue augmentation,"Allergan, Inc.",기업,US,2011-09-06,2017-04-24,2017-10-10,A61L27/52 ; A61K8/65 ; A61L27/24,다당 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,가교 히알루론산-콜라겐 겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20130129835A1,CROSSLINKED HYALURONIC ACID-COLLAGEN GELS FOR IMPROVING TISSUE GRAFT VIABILITY AND SOFT TISSUE AUGMENTATION,"ALLERGAN, INC.",기업,US,2011-09-06,2013-01-14,2013-05-23,A61L27/24,다당 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,위 특허의 공개공보,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US10744227B2,Co-crosslinked hyaluronic acid-silk fibroin hydrogels for improving tissue graft viability and for soft tissue augmentation,"Allergan, Inc.",기업,US,2016-08-24,2019-05-01,2020-08-18,A61L27/20 ; A61F2/52 ; A61L27/18,다당 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,히알루론산-실크피브로인 공가교 하이드로겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12599699B2,Co-crosslinked hyaluronic acid-silk fibroin hydrogels for improving tissue graft viability and for soft tissue augmentation,"Allergan, Inc.",기업,US,2016-08-24,2024-03-18,2026-04-14,A61L27/20 ; A61F2/52 ; A61L27/18,다당 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,동일 계열 후속 등록특허,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20120088832A1,Anti-Adhesive Barrier Membrane Using Alginate and Hyaluronic Acid for Biomedical Applications,"Board of Regents, The University of Texas System",대학·연구기관,US,2010-10-08,2011-10-07,2012-04-12,A61K47/36 ; A61K31/192 ; A61K31/195,다당 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,알지네이트 + 히알루론산 유착방지막,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11629336B2,"Method of preparing crosslinked hydrogels, resulting muscle stem cell culture media, and methods of use",Jiangnan University,대학·연구기관,US,2021-01-21,2022-06-22,2023-04-18,C12N5/077 ; A23L13/00 ; C08J3/075,다당 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,콜라겐/알지네이트 가교 하이드로겔 근육줄기세포 배양,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR101865168B1,Hyaluronate-based self healing hydrogel and use thereof,한양대학교 산학협력단,대학·연구기관,KR,2016-06-01,2016-06-01,2018-07-04,미상(검색 원자료에 분류코드 미포함),다당 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,히알루론산 기반 자가치유 하이드로겔(한양대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101630617B1,Fibrous particle-incorporated alginate hydrogels to guide spreading and &hellip;,한국원자력연구원,대학·연구기관,KR,2014-09-03,2014-09-03,2016-06-17,미상(검색 원자료에 분류코드 미포함),다당 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,섬유상 입자 복합 알지네이트 하이드로겔(한국원자력연구원),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
US10934529B2,Three dimensional hydrogels for culturing organoids,Ecole Polytechnique Fèdèrale de Lausanne,대학·연구기관,US,2015-09-03,2016-09-05,2021-03-02,C12N5/071 ; A61L27/38 ; A61L27/50,합성 고분자 기반,청구항 확인,등록·유효(Active),예상만료 2036-09-05,합성 3D 하이드로겔에서 상피줄기세포 오가노이드를 얻는 방법. 매트리젤 대체 합성계의 핵심 권리(EPFL),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12084685B2,Synthetic hydrogels for organogenesis,Massachusetts Institute of Technology,대학·연구기관,US,2019-07-29,2020-07-29,2024-09-10,C12N5/071,합성 고분자 기반,청구항 확인,등록·유효(Active),예상만료 2042-06-11,분지형 합성고분자 + 비닐설폰 결합 GFOGER 펩타이드를 농도범위로 한정한 생분해성 합성 매트릭스(MIT),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026015902A1,SYNTHETIC MATRIX FOR STEM CELL ENCAPSULATION,UNIV CALIFORNIA,대학·연구기관,WO,2024-07-12,2025-07-14,2026-01-15,C08J3/075 ; C08F2/48 ; C08J3/24,합성 고분자 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,다관능 PEG + 가교제 + 세포접착 리간드 3요소 하이드로겔 시스템(UC),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2025085073A1,HYBRID HYDROGELS FOR CULTURING ENDOMETRIAL AND STROMAL ORGANOID CELLS,MASSACHUSETTS INST TECHNOLOGY,대학·연구기관,WO,2023-10-17,2023-10-17,2025-04-24,C12N5/0793 ; C12M1/12 ; C12N5/071,합성 고분자 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,8-arm 20kDa PEG-VS 마크로머 기반 하이브리드 하이드로겔(MIT),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11478571B2,"Synthetic hydrogel carriers for cellular structures, generation of organoids, and treatment of tissue injury",GEORGIA TECH RESEARCH CORPORATION,대학·연구기관,US,2017-03-09,2018-03-09,2022-10-25,A61L27/52 ; A61K35/28 ; A61K35/38,합성 고분자 기반,청구항 확인,등록·유효(Active),예상만료 2038-11-20,가교 친수성 고분자망에 접착 펩타이드를 공유결합한 매트릭스에 오가노이드를 분산(조지아공대·미시간대),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20180010091A1,Hydrogel Comprising A Scaffold Macromer Crosslinked With A Peptide And A Recognition Motif,Massachusetts Institute of Technology,대학·연구기관,US,2015-01-15,2016-01-15,2018-01-11,C12N5/00 ; C08G65/333 ; C08G65/334,합성 고분자 기반,청구항 확인,포기(Abandoned),등록되지 못하고 포기 — 해당 영역 권리 공백,스캐폴드 마크로머 + 효소절단 인식모티프 펩타이드 가교체(MIT). 포기됨,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP2958933B1,CROSSLINKED PEPTIDE HYDROGELS,AGENCY SCIENCE TECH & RES,대학·연구기관,EP,2013-01-28,2014-01-28,2018-08-22,C07K7/06 ; A61K8/64 ; A61K38/06,합성 고분자 기반,청구항 확인,등록 후 효력상실(Not-in-force),예상만료 2034-01-28이나 현재 효력 없음,자기조립 양친매성 펩타이드/펩토이드 나노섬유 하이드로겔(A*STAR),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US8999916B2,Crosslinked peptide hydrogels,"Agency for Science, Technology and Research",대학·연구기관,US,2010-03-31,2013-01-28,2015-04-07,A61K38/00 ; A01N25/00 ; A61K38/02,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,동일 계열 미국 등록특허,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US10286110B2,Crosslinked peptide hydrogels,"Agency for Science, Technology and Research",대학·연구기관,US,2010-03-31,2017-01-04,2019-05-14,A61K38/00 ; A01N25/00 ; A61K9/06,합성 고분자 기반,청구항 확인,연차료 미납 소멸(Expired - Fee Related),예상만료일 2030-12-15 이전 소멸,동일 계열 후속 등록특허,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US9687591B2,Building stratified biomimetic tissues and organs using crosslinked ultrashort peptide hydrogel membranes,"Agency for Science, Technology and Research",대학·연구기관,US,2010-03-31,2015-03-04,2017-06-27,A01N25/00 ; A61K47/00 ; A61L26/00,합성 고분자 기반,청구항 확인,연차료 미납 소멸(Expired - Fee Related),예상만료일 2030-12-15 이전 소멸,초단쇄 테트라머 펩타이드 하이드로겔 막의 적층 구조,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12109327B2,"Scaffolds from self-assembling tetrapeptides support 3D spreading, osteogenic differentiation and angiogenesis of mesenchymal stem cells",KING ABDULLAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,대학·연구기관,US,2020-08-20,2021-08-13,2024-10-08,A61L27/36 ; A61L27/22 ; B33Y10/00,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,초단쇄 자기조립 테트라펩타이드 스캐폴드 + 강성 한정(KAUST),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11766469B2,Q-peptide hydrogel promotes immune modulation and macrophage differentiation,"Quthero, Inc.",기업,US,2019-11-04,2020-11-02,2023-09-26,A61K38/08 ; A61F13/00 ; A61K9/06,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,자기조립 Q-펩타이드 하이드로겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP3419642B1,HYDROGEL-FORMING COMPOSITION COMPRISING A PEPTIDE HYDROGELATOR FOR CONTROLLED RELEASE,UNIV BRUSSEL VRIJE,대학·연구기관,EP,2016-02-16,2017-02-16,2023-10-04,A61K9/00 ; A61K9/06 ; A61K38/00,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,4-16 아미노산 양친매성 펩타이드 겔화제 주사형 조성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20070224273A1,Multifunctional Supramolecular Hydrogels as Biomaterials,미확인,미확인,US,2004-09-28,2007-03-28,2007-09-27,B01J13/00 ; A61K9/26 ; C12N1/04,합성 고분자 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,비고분자 기능성 분자의 초분자 자기조립 하이드로겔,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US11865224B2,Delivery systems based on hydrogel compositions and methods thereof,University of Massachusetts,대학·연구기관,US,2017-11-10,2022-05-02,2024-01-09,A61L27/18 ; A61L27/52 ; A61L27/54,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,PEG계(C08L71/02) 하이드로겔 전달 시스템,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2025259828A1,"MICROPATTERNED PEG COMPOSITE GRANULAR HYDROGELS, COMPOSITIONS, AND THEIR USES",UNIV FLORIDA,대학·연구기관,WO,2024-06-14,2025-06-12,2025-12-18,A61L27/26 ; A61L27/52 ; A61L27/54,합성 고분자 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,PEG 복합 그래뉼러(마이크로겔) 하이드로겔 + 자성 포로젠,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US8911723B2,Hybrid hydrogel scaffold compositions and methods of use,"Escape Therapeutics, Inc.",기업,US,2010-03-16,2012-08-23,2014-12-16,A61K9/00 ; A61K35/12 ; A61K38/08,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,하이브리드 하이드로겔 스캐폴드 조성,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US9334473B2,Three dimensional cell culture compositions and methods of use,"Vukasinovic, Jelena",개인,US,2012-08-17,2013-08-08,2016-05-10,C12N5/00,합성 고분자 기반,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,강성 흡수성 요소 + 겔의 복합 3D 배양 스캐폴드,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR101910807B1,3D cell culture system comprising PEG-based hydrogel,주식회사 세바바이오텍,기업,KR,2016-10-31,2016-10-31,2018-10-23,미상(검색 원자료에 분류코드 미포함),합성 고분자 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,PEG 기반 하이드로겔 3D 세포배양 시스템(국내 기업),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR101001855B1,Injection-type temperature sensitive Pluronic derivative hydrogel for tissue &hellip;,한국과학기술연구원,대학·연구기관,KR,2008-10-22,2008-10-22,2010-12-17,미상(검색 원자료에 분류코드 미포함),합성 고분자 기반,서지정보만 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,주사형 온도감응성 Pluronic 유도체 하이드로겔(KIST),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
KR20230052249A,Supramolecular hydrogels for tissue regeneration,포항공과대학교 산학협력단,대학·연구기관,KR,2021-10-12,2022-10-12,2023-04-19,미상(검색 원자료에 분류코드 미포함),합성 고분자 기반,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,조직재생용 초분자 하이드로겔(포항공대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2026010928A1,A BIOSPHERICAL STRUCTURE AND METHOD FOR GENERATING THE SAME,COLOSSAL BIOSCIENCES INC,기업,WO,2024-07-03,2025-07-01,2026-01-08,A61L27/56 ; C12M1/12 ; C12M3/00,합성 고분자 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,3차원 스캐폴드 매트릭스에 2종 세포를 배치한 바이오스피어 구조,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2026055104A1,"SCALABLE BIOREACTOR METHOD FOR ORGANOIDS USING ARCHITECTED MATRIX MICROCARRIERS, CONSTRUCTS AND USES THEREOF",HARVARD COLLEGE,대학·연구기관,WO,2024-09-03,2025-09-02,2026-03-12,C12N5/0781 ; C12N5/07 ; C12N5/071,합성 고분자 기반,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,설계된 매트릭스 마이크로캐리어를 교반탱크 바이오리액터에 적용한 오가노이드 대량생산(하버드),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20260035671A1,COMPOSITIONS COMPRISING PREVASCULARIZED ORGANOIDS AND METHODS FOR ENHANCING ANGIOGENESIS,The Trustees of Columbia University in the City of New York,대학·연구기관,US,2024-08-01,2025-08-01,2026-02-05,C12N5/071 ; A61K9/00 ; A61K35/44,합성 고분자 기반,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,희생 하이드로겔 스캐폴드를 이용한 사전혈관화 오가노이드,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US8952095B2,Cross-linking agents for hydrogels that contain cleavable peptides and short-chain polymers,CELLENDES GmbH,기업,US,2010-02-23,2011-02-04,2015-02-10,A61K47/48 ; C12N5/00,가교 화학,청구항 확인,등록·유효(Active),예상만료 2031-07-06,절단성 펩타이드 함유 단쇄 고분자 가교제 자체를 물질로 청구(Cellendes),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20190367869A1,HYDROGELS FOR CULTIVATING PANCREATIC ORGANOIDS,Cellendes GmbH,기업,US,2018-06-01,2019-05-30,2019-12-05,C12N5/00 ; A61K35/39 ; C12N5/071,가교 화학,청구항 확인,포기(Abandoned),등록되지 못하고 포기 — 해당 영역 권리 공백,전단탄성률 500 Pa 미만 + 세포접착 모티프 펩타이드 인공 하이드로겔로 췌장 오가노이드 배양(Cellendes). 포기,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR20190035772A,Hydrogel precursor formulations and uses thereof,큐젤 에쓰아,기업,KR,2016-07-28,2017-07-20,2019-04-03,미상(검색 원자료에 분류코드 미포함),가교 화학,서지정보만 확인,등록·유효(KR102560292B1로 2023-07-26 등록),예상만료 2037-07-20,트롬빈·인자XIII(트랜스글루타미나제) 효소가교 하이드로겔 전구체 분말 제형(QGel),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
US9387276B2,Interpenetrating networks with covalent and Ionic Crosslinks,President and Fellows of Harvard College,대학·연구기관,US,2012-01-05,2013-01-07,2016-07-12,A61F2/00 ; A61L27/16 ; A61L27/20,가교 화학,청구항 확인,등록·유효(Active),예상만료 2033-01-07,공유가교망 + 이온가교망의 상호침투 자가치유 네트워크(하버드),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US12187834B2,Biodegradable elastic hydrogels for bioprinting,"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM",대학·연구기관,US,2018-04-04,2023-12-13,2025-01-07,B29C64/118 ; B33Y10/00 ; B33Y70/00,가교 화학,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,광개시제 + PCL 트리블록 공중합체 광가교 바이오프린팅,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US9381217B2,Microgels for encapsulation of cells and other biologic agents,Georgia Tech Research Corporation,대학·연구기관,US,2013-09-09,2014-09-09,2016-07-05,A61K9/50 ; A61K9/00 ; A61K31/7004,가교 화학,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,마이크로유체 유동집속으로 가교제를 도입하는 마이크로겔 캡슐화,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
EP3662054B1,A THREE-DIMENSIONAL HYDROGEL SCAFFOLD FOR CELL CULTURING AND A METHOD FOR THE PRODUCTION THEREOF,UNIV DEGLI STUDI GENOVA,대학·연구기관,EP,2017-07-31,2018-06-18,2022-08-03,C12N5/00 ; C08J3/075 ; C08J3/24,가교 화학,청구항 확인,권리상태 미확인(등록계 종별코드),개별 권리상태 미확인 — 종별코드상 등록특허,고체 혼합물로부터 3D 하이드로겔 스캐폴드를 제조하는 가교 공정,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
WO2024020439A1,HYDROGELS HAVING CONTROLLED HYDROLYTIC DEGRADATION,GEORGIA TECH RES INST,대학·연구기관,WO,2022-07-19,2023-07-19,2024-01-25,A61K47/34 ; C08J3/075 ; A61L15/60,가교 화학,청구항 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,에스터/아미드 함유 두 고분자와 가교제로 가수분해 속도를 설계한 하이드로겔(조지아공대),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
US20220195387A1,"COMPOSITIONS, APPARATUSES AND METHODS FOR MAKING AND USING BIOSCAFFOLDS",The Research Foundation for the State University of New York,대학·연구기관,US,2020-12-21,2021-12-21,2022-06-23,C12N5/071 ; D01D5/00,가교 화학,청구항 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,하이드로겔·ECM 단백질 수용액의 극저온 전기방사 스캐폴드 제조,상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
KR20250155683A,Method for producing cell aggregates using photocrosslinkable extracellular &hellip;,성균관대학교산학협력단,대학·연구기관,KR,2024-04-23,2024-04-23,2025-10-31,미상(검색 원자료에 분류코드 미포함),가교 화학,서지정보만 확인,권리상태 미확인,개별 권리상태 미확인 — 종별코드상 공개공보,광가교성 ECM으로 세포 응집체를 만드는 방법(성균관대),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2023059011A1,Method for construction of extracellular matrix through cell culture and use of &hellip;,에이치엘비셀 주식회사,기업,WO,2021-10-08,2022-09-30,2023-04-13,미상(검색 원자료에 분류코드 미포함),가교 화학,서지정보만 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,세포배양을 통한 세포외기질 구축법(국내 기업 에이치엘비셀),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
WO2022124847A1,"Composition for regenerating tissue, and method for producing same",주식회사 로킷헬스케어,기업,WO,2020-12-11,2021-12-10,2022-06-16,미상(검색 원자료에 분류코드 미포함),가교 화학,서지정보만 확인,권리상태 미확인(PCT 국제공개),PCT 공개 자체는 권리 미발생. 각국 진입·등록 여부 미확인,조직재생용 조성물(국내 기업 로킷헬스케어),중,"Google Patents 검색 서지정보만 확인, 청구항 원문 미확인(R-07)"
US10173357B2,Poly(ethylene glycol) cross-linking of soft materials to tailor viscoelastic properties for bioprinting,Northwestern University,대학·연구기관,US,2013-09-26,2014-09-25,2019-01-08,A61L27/18 ; A61L27/38 ; A61L27/44,물성 제어,청구항 확인,등록·유효(Active),예상만료 2037-07-29,전단저장탄성률 300 Pa 미만 조성을 노즐 압출하는 PEG 가교 점탄성 제어(노스웨스턴),상,FreePatentsOnline 청구항 원문 + Google Patents 서지 대조(2026-09-14)
