supplier_id,supplier_name,country,category,product_name,catalog_no,grade,origin,spec,price,pack_size,storage,lead_time,supply_risk,source_url,verified_date,confidence,confidence_reason
F-011,Bio-Techne Corporation (R&D Systems),미국,완제매트릭스,"Cultrex Reduced Growth Factor Basement Membrane Extract, Type 2, PathClear",3533-010-02,"연구용(RUO), PathClear 병원체 스크리닝",동물(마우스 EHS 종양),"규격 확인 실패: 제조사 페이지 접근 차단(HTTP 503, 2026-09-14). 오가노이드 지지체 용도 제품군으로 확인","가격 확인 실패: 제조사 페이지 접근 차단(HTTP 503, 2026-09-14); bio-techne.com도 HTTP 503",10 mL(카탈로그번호 기준),확인 실패(페이지 접근 차단),공개 카탈로그에 리드타임 미표시(2026-09-14 확인),Matrigel의 사실상 유일한 동급 경쟁품 — 이 공급사까지 마우스 종양 유래이므로 대체 효과 제한적,https://www.rndsystems.com/products/cultrex-reduced-growth-factor-basement-membrane-extract-type-2-pathclear_3533-010-02 (HTTP 503),2026-09-14,하,"1차 페이지·모회사 페이지 모두 접근 차단, 제품 존재만 검색 결과로 확인"
F-012,TheWell Bioscience Inc.,미국,완제매트릭스,VitroGel ORGANOID (ORGANOID-1~5 / Discovery Kit),VHM04 / VHM04-K,연구용(RUO),"합성(화학적 정의 하이드로겔, 동물·인체 유래 성분 무함유)",100% 합성·이종유래 무함유; 상온 즉시 사용; 중성 pH; 버전별 생체기능성 리간드·기계강도·분해성 상이; 10 mL당 25 µL 도움 기준 600회 사용,공개 카탈로그에 가격 미표시(2026-09-14 확인) — 견적 요청 방식,10 mL 단일 바이알 / 2 mL / 5×2 mL 키트,2~8°C 보관; 상온 수송,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),상온 수송 가능하여 콜드체인 리스크는 낮으나 단일 공급사 독점 제형,https://www.thewellbio.com/vitrogel-organoid/,2026-09-14,상,"제조사 제품 페이지 직접 확인 — 규격은 확보, 가격은 비공개임을 확인"
F-013,UPM-Kymmene Oyj (UPM Biomedicals),핀란드,완제매트릭스,GrowDex / GrowDex-T 나노섬유셀룰로스 하이드로겔,확인 실패: 제조사 제품 페이지가 upm.com으로 301 리다이렉트되어 카탈로그번호 미확보(2026-09-14),연구용(RUO),식물(자작나무 유래 나노섬유셀룰로스),"GrowDex-T는 나노섬유셀룰로스 1.0% w/v + 정제수 99.0%, 즉시 사용형, 투명; 온도조절 불필요",공개 카탈로그에 가격 미표시(2026-09-14 확인); 자사 쇼핑몰 biomedicalsshop.com 상품 페이지 HTTP 404,5 mL 주사기 등,상온 취급 가능(온도조절 불필요),공개 카탈로그에 리드타임 미표시(2026-09-14 확인),식물 유래로 동물유래 규제 리스크 없음; 다만 공급사 1곳에 집중,https://www.upmbiomedicals.com/products/life-science/growdex/ (301 리다이렉트); https://biomedicalsshop.com/products/growdex (HTTP 404),2026-09-14,하,"제조사 제품 페이지 미도달, 규격은 검색 스니펫 경유(1차 페이지 미도달)"
F-014,Cellendes GmbH (유통: Ilex Life Sciences LLC),독일(유통 미국),완제매트릭스,3-D Life ToGro Hydrogel Kit,"제품명 기준 게재, 카탈로그번호 유통사 페이지 미표시(2026-09-14 확인)",연구용(RUO),합성/미생물(덱스트란·PVA 기반 티올반응성 고분자),티올반응성 덱스트란/폴리비닐알코올(PVA) 골격 + 가교제 조합 키트,"USD 420.00 / 1 키트 (유통사 표시가, 2026-09-14 확인)",1 키트,확인 실패: 유통사 페이지에 보관조건 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),제조사 직판 아닌 단일 유통 경로,https://ilexlife.com/collections/cellendes-3-d-life-hydrogels,2026-09-14,중,"유통사 목록 페이지에서 가격 직접 확인, 카탈로그번호·보관조건 미표시"
F-015,Cellendes GmbH (유통: Ilex Life Sciences LLC),독일(유통 미국),완제매트릭스,3-D Life Dextran-CD-HA Hydrogel Kit,유통사 페이지 카탈로그번호 미표시(2026-09-14 확인),연구용(RUO),합성/미생물(덱스트란) + 히알루론산,세포분해성(CD) 가교제 + 히알루론산(HA) 포함 조합 키트,"USD 610.00 / 1 키트 (유통사 표시가, 2026-09-14 확인)",1 키트,확인 실패: 유통사 페이지 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),구성요소가 많을수록 단가 급상승,https://ilexlife.com/collections/cellendes-3-d-life-hydrogels,2026-09-14,중,유통사 목록 페이지 직접 확인
F-016,Cellendes GmbH (유통: Ilex Life Sciences LLC),독일(유통 미국),완제매트릭스,3-D Life PVA-PEG Hydrogel SG Kit,유통사 페이지 카탈로그번호 미표시(2026-09-14 확인),연구용(RUO),합성(PVA + 폴리에틸렌글리콜),비분해성 PEG 가교제 기반 저가형 정의 매트릭스 키트,"USD 145.00 / 1 키트 (유통사 표시가, 2026-09-14 확인)",1 키트,확인 실패: 유통사 페이지 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),저가이나 세포분해성 없음 — 오가노이드 확장 용도 제한,https://ilexlife.com/collections/cellendes-3-d-life-hydrogels,2026-09-14,중,유통사 목록 페이지 직접 확인
F-017,Merck KGaA (Sigma-Aldrich),독일,완제매트릭스,TrueGel3D Hydrogel Kit (RGD 분해성 고분자 + CD 세포분해성 가교제),TRUE1-1KT,연구용(RUO),합성(PEG/덱스트란계 + 합성 펩타이드),전단탄성률 약 400 Pa; RGD 부착 펩타이드 포함; CD 가교제는 MMP 절단 서열 Pro-Leu-Gly-Leu-Trp-Ala,"453.50 (사이트 통화기호 $ 표기; 영국 유통사로 통화 확정 실패) / 1 키트, 2026-09-14 확인",1 키트,-70°C 보관; 드라이아이스 수송,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),제조사 페이지 접근 차단(HTTP 503) — 유통사 경유 확인; 유통사 페이지에 영국·아일랜드 한정 판매 표기,https://www.scientificlabs.com/en/product/cell-culture-cell-lines/TRUE1-1KT,2026-09-14,중,"유통사 1차 페이지 접근 성공, 제조사 교차검증 실패"
F-018,Merck KGaA (Sigma-Aldrich),독일,완제매트릭스,TrueGel3D Hydrogel Kit (FAST-PVA + CD 세포분해성 가교제),TRUE4-1KT,연구용(RUO),합성(PVA + MMP 절단 펩타이드 가교제),인산완충 FAST-PVA 용액 + 동결건조 CD 가교제 + 티오글리세롤 + 물; CD 가교제는 MMP 절단 서열 함유,"316.24 (사이트 통화기호 $ 표기; 영국 유통사로 통화 확정 실패) / 1 키트, 2026-09-14 확인",1 키트,-70°C; 드라이아이스 수송,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),영국·아일랜드 한정 판매 표기 — 지역별 공급 제약,https://www.scientificlabs.com/en/product/cell-culture-cell-lines/TRUE4-1KT,2026-09-14,중,유통사 1차 페이지 접근 성공
F-019,Corning Incorporated,미국,완제매트릭스,Corning PuraMatrix Peptide Hydrogel (자가조립 합성 펩타이드),354250,연구용(RUO),합성(표준 아미노산 1% w/v + 물 99%),합성 펩타이드 1% w/v 수용액; 생리조건에서 나노섬유 3차원 겔 자가조립,"가격 확인 실패: 제조사 e카탈로그 개별 제품 URL 2건 모두 HTTP 404, 카테고리 페이지에는 가격 미표시(2026-09-14 확인)",5 mL 바이알,확인 실패: 접근 가능한 페이지에 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),검색 결과상 단종 표기 — 합성 펩타이드 매트릭스 선택지 축소,"https://ecatalog.corning.com/life-sciences/b2c/US/en/Type/Corning-PuraMatrix-Peptide-Hydrogel/c/corningPuraMatrixPeptideHydrogel (카테고리 페이지 접근 성공, 가격 미표시); .../p/354250 (HTTP 404)",2026-09-14,하,"개별 제품 페이지 미도달, 단종 정보는 검색 스니펫 경유(1차 페이지 미도달)"
F-020,Manchester BIOGEL Ltd,영국,완제매트릭스,PeptiGel 자가조립 펩타이드 하이드로겔(Alpha 1 등),확인 실패: 자사 홈페이지에 카탈로그번호 미게재(2026-09-14 확인),연구용(RUO),합성(베타시트 자가조립 펩타이드),완전 합성 자가조립 펩타이드 하이드로겔; 5/10/20 mL 및 그 배수 규격은 검색 스니펫 경유(1차 페이지 미도달),공개 카탈로그에 가격 미표시(2026-09-14 확인) — 홈페이지가 'Request a Quote' 견적 방식 안내,5 / 10 / 20 mL (스니펫 경유),확인 실패: 홈페이지 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),가격·규격이 비공개 견적제라 예산 수립 곤란,https://manchesterbiogel.com/,2026-09-14,하,자사 홈페이지 접근 성공했으나 제품 카탈로그·가격 미게재
F-021,QGel SA,스위스,완제매트릭스,QGel 합성 PEG 기반 오가노이드 배양 매트릭스,확인 실패: 공개 제품 카탈로그 페이지를 특정하지 못함(2026-09-14),연구용(RUO),합성(PEG 하이드로겔 + 부착 리간드·프로테아제 감수성 부위),규격 확인 실패: 1차 제품 페이지 미도달,공개 카탈로그에 가격 미표시(2026-09-14 확인),확인 실패,확인 실패,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),비상장 소규모 공급사 — 공급 지속성 및 대량 조달 능력 미검증,"확인 실패: 제조사 제품 카탈로그 URL 미특정(검색 결과에 제품 페이지 없음, 2026-09-14)",2026-09-14,하,1차 페이지 미도달 — 회사 존재와 기술 개요만 2차 자료로 확인
F-022,Corning Incorporated,미국,구조단백질,"Corning Collagen I, Rat Tail, 100 mg",354236,연구용(RUO),동물(쥐 꼬리 힘줄),농도 3~4 mg/mL (재구성 기준),"USD 181.78 / 100 mg (제조사 목록가, 2026-09-14 확인)",100 mg,2~8°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),설치류 조직 유래 — 임상 전환 시 재검증 필요,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Collagen/p/354236,2026-09-14,상,제조사 e카탈로그 직접 확인
F-023,Thermo Fisher Scientific Inc. (Gibco),미국,구조단백질,"Collagen I, rat tail",A1048301,연구용(RUO),동물(쥐 꼬리),농도 4 mg/mL,"USD 346.00 / 25 mL (제조사 온라인 가격, 2026-09-14 확인)",25 mL,"2~8°C 냉장, 차광",공개 카탈로그에 리드타임 미표시(2026-09-14 확인),동물유래; 액상 제형으로 콜드체인 필요,https://www.thermofisher.com/order/catalog/product/A1048301,2026-09-14,상,제조사 카탈로그 페이지 직접 확인
F-024,Corning Incorporated,미국,구조단백질,"Corning Collagen IV, Mouse, 1 mg",354233,연구용(RUO),동물(마우스 EHS 종양),IV형 콜라겐(기저막 주요 구성 단백질) 1 mg; -70°C에서 3개월 이상 안정,"USD 120.64 / 1 mg (제조사 목록가, 2026-09-14 확인)",1 mg,-70°C; 반복 동결융해 금지,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),EHS 종양 유래로 Matrigel과 원료 라인 공유 — 동일 리스크,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Collagen/p/354233,2026-09-14,상,제조사 e카탈로그 직접 확인
F-025,"Advanced BioMatrix, Inc. (BICO Group)",미국,구조단백질,"PureCol Type I Bovine Collagen Solution, 3 mg/mL",5005-100ML,연구용(RUO),"동물(소 가죽, 미국 내 폐쇄사육군)","콜라겐 함량 >99.9%; I형 아텔로콜라겐 95~98%, 잔부 III형; 농도 3 mg/mL; pH 2, 0.01 N HCl; 점도 약 32 cp","가격 확인 실패: 제조사 페이지 접근 차단(HTTP 403, 2026-09-14). 유럽 유통사 페이지는 가격 미표시. 검색 스니펫상 USD 540.71(1차 페이지 미도달)","100 mL (1,000 mL 규격 별도)",동결 금지·장시간 실온 노출 금지(3D 겔 성능 저하),공개 카탈로그에 리드타임 미표시(2026-09-14 확인),소 유래 원료 — 전염성해면상뇌증(TSE) 관련 규제 문서 요구; 제조사 웹 접근 차단으로 조달 정보 확인 곤란,"https://advancedbiomatrix.com/purecol/ (HTTP 403); https://cellsystems.eu/product/purecol-bovine-collagen/ (접근 성공, 가격 미표시)",2026-09-14,중,"규격은 유통사 1차 페이지 확인, 가격은 스니펫 경유"
F-026,"Humabiologics, Inc.",미국,구조단백질,"HumaDerm Human Skin Collagen Type I, Lyophilized",SCL,연구용(RUO) — 페이지에 'not intended for human use' 명시,"인간(기증 피부조직, AATB 인증·미국 식품의약국 등록 조직은행)",순도 >95% (SDS-PAGE); HIV-1/HIV-2/B형간염/C형간염 음성 시험; pH 약 2 희석산에 용해,가격 확인 실패: 제조사 제품 페이지에 가격 미표시(2026-09-14 확인),25 mg / 50 mg / 100 mg,"-20°C 보관, 유효기간 6개월; 재구성 후 4°C 최대 3개월",공개 카탈로그에 리드타임 미표시(2026-09-14 확인),"인체 조직 기증 의존 — 공급량이 기증 가용량에 종속, 증산 탄력성 낮음",https://humabiologics.com/product/humaderm-human-skin-collagen-type-i-lyophilized/,2026-09-14,상,"제조사 제품 페이지 직접 확인 — 규격 확보, 가격 비공개 확인"
F-027,CollPlant Biotechnologies Ltd,이스라엘,구조단백질,"rhCollagen (재조합 인간 I형 콜라겐), Collink.3D 바이오잉크","Collink.3D 50 / 50L / 90 (제품명만 게재, 카탈로그번호 미표시 2026-09-14)",제조사 페이지에 등급 미표기,식물(유전자변형 담배 발현 재조합 인간 단백질),규격 확인 실패: 순도·내독소 등 수치 규격이 제조사 페이지에 미게재(2026-09-14 확인),공개 카탈로그에 가격 미표시(2026-09-14 확인),확인 실패: 포장단위 미게재,확인 실패: 미게재,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),동물유래 완전 회피가 가능한 드문 선택지이나 카탈로그 판매 체계가 없어 소량 연구 조달 불가,https://collplant.com/rhcollagen/,2026-09-14,상,제조사 페이지 직접 확인 — 가격·규격 비공개임을 확인
F-028,Corning Incorporated,미국,구조단백질,"Corning Fibronectin, Human, 5 mg",356008,연구용(RUO),인간(혈장 유래),순도 90% (SDS-PAGE),"USD 372.08 / 5 mg (제조사 목록가, 2026-09-14 확인)",5 mg,동결건조 상태 2~8°C 3개월 이상; 용해 후 -20°C 2주,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),인간 혈장 유래 — 혈액제제 공급 및 바이러스 불활화 규제 종속,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Extracellular-Matrices-ECMs/Corning%C2%AE-Fibronectin/p/356008,2026-09-14,상,제조사 e카탈로그 직접 확인
F-029,Thermo Fisher Scientific Inc. (Gibco),미국,구조단백질,"Fibronectin Human Protein, Plasma",33016015,연구용(RUO),"인간(혈장, 친화크로마토그래피 정제)",0.2 µm 여과 멸균; 220 kDa 폴리펩타이드 2개(총 440 kDa),"USD 621.65 / 5 mg (온라인 특가; 정가 USD 634.00, 2026-09-14 확인)",5 mg,2~8°C 냉장,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),동일 원료(인간 혈장) 경쟁품 대비 67% 고가 — 공급사별 가격 격차 큼,https://www.thermofisher.com/order/catalog/product/33016015,2026-09-14,상,제조사 카탈로그 페이지 직접 확인
F-030,Thermo Fisher Scientific Inc. (Gibco),미국,구조단백질,"Laminin Mouse Protein, Natural",23017015,연구용(RUO),동물(마우스 EHS 육종),농도 0.5~2.0 mg/mL; 총 분자량 약 850 kDa; 0.22 µm 멸균여과,"USD 272.65 / 1 mg (온라인 특가; 정가 USD 293.00, 2026-09-14 확인)",1 mg,"-68~-85°C 초저온, 차광",공개 카탈로그에 리드타임 미표시(2026-09-14 확인),초저온 보관 필수 — 콜드체인 실패 시 전량 손실; EHS 종양 유래,https://www.thermofisher.com/order/catalog/product/23017015,2026-09-14,상,제조사 카탈로그 페이지 직접 확인
F-031,Merck KGaA (Sigma-Aldrich),독일,구조단백질,Laminin from Engelbreth-Holm-Swarm murine sarcoma basement membrane,L2020-1MG,연구용(RUO),동물(마우스 EHS 육종),"1 mg/mL, Tris 완충 NaCl; 권장 코팅 1~2 µg/cm2","382.18 (사이트 통화기호 $ 표기; 영국 유통사로 통화 확정 실패) / 1 mg, 2026-09-14 확인",1 mg,-20°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),유통사 페이지에 단종 예정 표기('재고 한정 주문 가능') — 천연 라미닌 선택지 축소,https://www.scientificlabs.com/en/product/cell-culture-reagents-and-buffers/l2020-1mg,2026-09-14,중,"유통사 1차 페이지에서 가격·단종 표기 직접 확인, 제조사 페이지 HTTP 503"
F-032,Thermo Fisher Scientific Inc. (Gibco),미국,구조단백질,rhLaminin-521 (재조합 인간 전장 라미닌-521),A29249,"연구용(RUO), hESC 적합성 시험 등급, 이종유래 무함유(xeno-free)",인간 재조합,hESC-Qualified 등급; pH 6~8; 전장 라미닌 이종삼량체,"USD 1,149.65 / 1 mg (온라인 특가; 정가 USD 1,198.00, 2026-09-14 확인)",1 mg (100 µg 규격 A29248 별도),-10~-30°C 냉동; 드라이아이스 수송,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),재조합 전장 라미닌은 mg당 단가가 기저막추출물의 수십 배 — 대량 매트릭스 용도 비현실적,https://www.thermofisher.com/order/catalog/product/A29249,2026-09-14,상,제조사 카탈로그 페이지 직접 확인
F-033,Corning Incorporated (BioLamina AB 공급 제휴),미국(원제조 스웨덴),구조단백질,"Corning rLaminin-521, Human, 100 µg",354221,연구용(RUO),인간 재조합(전장 라미닌-521),전장 재조합 인간 라미닌-521; 단세포 계대 지원,"USD 81.01 / 100 µg 바이알 (제조사 목록가, 2026-09-14 확인)",100 µg,확인 실패: e카탈로그 페이지에 보관조건 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),실제 제조는 BioLamina 1개사 — 표면상 2개 브랜드이나 단일 공급원,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Advanced-Cell-Culture-Surfaces/Corning%C2%AE-rLaminin-521-(Human)/p/corningrLaminin521Human,2026-09-14,상,제조사 e카탈로그 직접 확인
F-034,Corning Incorporated (BioLamina AB 공급 제휴),미국(원제조 스웨덴),구조단백질,"Corning rLaminin-521, Human, 500 µg",354224,연구용(RUO),인간 재조합,전장 재조합 인간 라미닌-521,"USD 347.46 / 500 µg 바이알 (제조사 목록가, 2026-09-14 확인)",500 µg,확인 실패: 페이지 미표시,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),단일 실제 제조원(BioLamina) 의존,https://ecatalog.corning.com/life-sciences/b2c/US/en/Surfaces/Advanced-Cell-Culture-Surfaces/Corning%C2%AE-rLaminin-521-(Human)/p/corningrLaminin521Human,2026-09-14,상,제조사 e카탈로그 직접 확인
F-035,"Nippi, Incorporated (유통: Iwai North America)",일본(유통 미국),구조단백질,iMatrix-511 (재조합 인간 라미닌-511 E8 절편),N-892012 (892-012),연구용(RUO),인간 재조합(CHO-S 세포 발현),"175 µg/바이알 @ 0.5 mg/mL, PBS(-) 137 mM NaCl; E8 절편은 인테그린 결합 최소 활성 단위","USD 309.00 정가 / 1,050 µg (판촉가 USD 216.00, 유통사 표시, 2026-09-14 확인)","1,050 µg = 175 µg × 6 바이알",2~15°C,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),E8 절편은 전장 라미닌 대비 단가 우위이나 제조원이 일본 1개사; 유럽 유통사(AMSBIO) 페이지 HTTP 403,https://www.iwai-chem.net/cell-culture/imatrix-511/,2026-09-14,중,"북미 유통사 1차 페이지에서 가격·규격 확인, 제조사(Nippi) 페이지 미도달"
F-036,BioLamina AB,스웨덴,구조단백질,Biolaminin 521 LN (재조합 인간 전장 라미닌-521),LN521-05,연구용(RUO); 별도 MX(전임상)·CTG(임상등급) 라인 보유,인간 재조합,규격 확인 실패: 제조사 페이지 1차 미도달,"가격 확인 실패: 검색 스니펫 경유 USD 405.60 / 500 µg (1차 페이지 미도달, 2026-09-14)",500 µg,확인 실패,공개 카탈로그에 리드타임 미표시(2026-09-14 확인),임상등급(CTG) 라인이 존재하는 소수 공급사이나 단일 제조원,https://biolamina.com/products/laminin-ln-521-stem-cell-matrix/ (미도달 — 검색 결과 링크만 확인),2026-09-14,하,검색 스니펫 경유(1차 페이지 미도달)
