patent_id,title,assignee,app_no,file_date,pub_date,ipc,claim_type,essential_elements,composition_ranges,organoid_scope,legal_status,claim_quote,confidence,confidence_reason
US20240254450A1,ALVEOLAR ORGANOID GENERATION USING ONLY DECM HYDROGELS WITH DROPPING SUSPENSION TECHNOLOGY,THE CATHOLIC UNIVERSITY OF KOREA INDUSTRY-ACADEMIC COOPERATION FOUNDATION,18/427981,01/31/2024,08/01/2024,C12N5/071 ; A61K35/42,방법항,제1 배지;2형 폐포세포;탈세포화 ECM(dECM) — 바이오잉크 3성분,청구항에 수치 범위 기재 없음,폐포 오가노이드(alveolar organoid)로 한정,미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"(S1) preparing a bioink by mixing a first medium, type 2 alveolar cells, and dECM; (S2) forming a cell culture droplet by dispensing the bioink into a plate; (S3) gelating the cell culture droplet",상,독립항 원문 확보. dECM 단독 사용을 제목·청구항에서 명시
US20250223568A1,METHOD OF ORGANOID DERIVED PRODUCTION OF HUMAN EXTRACELLULAR MATRIX HYDROGELS,The Board of Trustees of The University of Alabama,19/011037,01/06/2025,07/10/2025,C12N5/09 ; A61K35/30,혼합(조성물항 1항 + 방법항 8·16항),세포외기질;탈세포화 오가노이드(인간 줄기세포 유래),청구항에 수치 범위 기재 없음,오가노이드 유래 ECM 자체가 청구 대상(조직 한정 없음),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"A hydrogel comprising an extracellular matrix; wherein the extracellular matrix comprises decellularized organoids, wherein the organoids are derived from human stem cells.",상,독립항 3개 원문 확보. 성분 조성이 아닌 '유래'로만 한정된 넓은 청구항
WO2026015902A1,SYNTHETIC MATRIX FOR STEM CELL ENCAPSULATION,UNIV CALIFORNIA,PCT/US2025/037598,07/14/2025,01/15/2026,C08J3/075 ; C08F2/48 ; C08J3/24 ; C12N5/00 ; C12N5/0735 ; C12N5/0789 ; C07F9/53 ; C08F32/08 ; C09J189/00,조성물항,PEG 성분;가교제;1종 이상의 세포접착 리간드,청구항에 수치 범위 기재 없음,"줄기세포 봉입(encapsulation)용, 오가노이드 조직 한정 없음",PCT 국제공개(권리 아님); 국내단계 진입·등록 여부 미확인,"A hydrogel matrix system, comprising a polyethylene glycol) (PEG) component, a crosslinker, and one or more cell-adhesive ligands.",상,독립항 원문 확보. RGD·IKVAV·YIGSR은 종속항 10항에만 — 독립항은 '리간드' 상위개념
US20110306136A1,LAMININ-ENTACTIN COMPLEX AND CELL CULTURE ARTICLE AND METHODS THEREOF,CHANG THERESA LIU JIN PETZOLD ODESSA NATALIE YONGSUNTHON RUCHIREJ,13/111234,05/19/2011,12/15/2011,C12M3/00 ; C12N5/071,혼합(물건항 1·17항 + 방법항 12항),기재(substrate);라미닌 코팅;생세포;라미닌·엔탁틴 복합체 오버레이,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(일반 세포배양 시스템/물품),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,the substrate coating comprises laminin and the overlay source comprises the laminin-entactin complex,상,독립항 3개 원문 확보. 라미닌+엔탁틴만을 필수로 하고 콜라겐IV·HSPG는 불요구
EP3144319A1,CELL CULTURE COMPOSITION COMPRISING LAMININ-521,TRYGGVASON KARL RODIN SERGEY,EP20160195839,09/19/2012,03/22/2017,C07K14/78 ; C07K14/705 ; C12M1/12 ; C12M3/00 ; C12N5/00 ; C12N5/0735 ; C12N5/074,혼합(조성물항 1·2·7항 + 방법항 8항),성장배지;재조합 라미닌-521 코팅(1·2항) / 라미닌+카드헤린 기재(7·8항),청구항에 수치 범위 기재 없음,오가노이드 한정 없음(다능성 줄기세포 자가재생),유럽 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"the coating comprising isolated recombinant laminin-521 (laminin-11), the composition being devoid of any differentiation inhibitors, feeder cells, or differentiation inductors",상,독립항 4개 원문 확보. 단일 라미닌 아이소폼만으로 필수요소 구성
US9334473B2,Three dimensional cell culture compositions and methods of use,"Vukasinovic, Jelena",13/962403,08/08/2013,05/10/2016,C12N5/00,조성물항,강성 흡수성 성분(붕규산 유리섬유+흡수성 폴리머 코팅);겔(라미닌;4형 콜라겐;엔탁틴;헤파린황산 프로테오글리칸),유리섬유 70-95% w/w; 공극률 70-95%; 겔 총단백 농도 3.75-16 mg/ml,오가노이드 한정 없음(3차원 세포배양 스캐폴드),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"the gel is a composition comprising Laminin, Collagen IV, Entactin, and heparin sulfate proteoglycan at a total protein concentration of between 3.75 and 16 mg/ml",상,독립항 원문 확보. US4829000A의 4성분 조성을 총단백 농도 범위로 재한정한 대표 사례
US11478571B2,"Synthetic hydrogel carriers for cellular structures, generation of organoids, and treatment of tissue injury",GEORGIA TECH RESEARCH CORPORATION THE REGENTS OF THE UNIVERSITY OF MICHIGAN,16/492263,03/09/2018,10/25/2022,A61L27/52 ; A61K35/28 ; A61K35/38 ; A61K35/50 ; A61K35/545 ; A61L27/38,혼합(조성물항 1항 + 방법항 18항 + 장치항 19항),세포구조체(오가노이드/스페로이드/다능성 줄기세포);가교 친수성 고분자 네트워크;공유결합된 접착 펩타이드 복수,"청구항에 수치 범위 기재 없음(18항 n = 20-2,000 반복단위 한정 존재)",오가노이드를 청구항 문언에 명시(조직 한정 없음),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"the hydrogel matrix comprises a crosslinked hydrophilic polymer network covalently bonded to a plurality of adhesion peptides, wherein the cellular structure comprises an organoid",상,독립항 3개 원문 확보. 접착 펩타이드가 유일한 생물학적 필수요소
EP2793912B1,ORGANOIDS COMPRISING DECELLULARIZED AND REPOPULATED PLACENTAL VASCULAR SCAFFOLD,CELULARITY INC,EP20120860504,12/21/2012,03/18/2020,A61K9/14 ; A61F13/00 ; A61K35/12 ; A61K35/22 ; A61K35/39 ; A61K35/407 ; A61K35/50 ; A61K35/51 ; A61K35/55 ; A61L27/36 ; A61L27/48 ; A61L33/00 ; A61P3/00 ; A61P5/00 ; A61P15/08,조성물항(물건항),1종 이상의 세포;탈세포화 태반 혈관 스캐폴드(실질적으로 온전한 태반 혈관 매트릭스);유전자 조작된 분화세포,청구항에 수치 범위 기재 없음,오가노이드 자체가 청구 대상(태반 혈관 스캐폴드 기반),유럽특허 등록공보(B1) 기준 등록; 각국 유효화·존속 여부 미확인,"An organoid, comprising one or more types of cells, and comprising decellularized placental vascular scaffold, wherein said organoid performs at least one function of an organ",상,독립항 원문 확보. 조성 성분이 아닌 조직 유래·구조 온전성으로 한정
US20230029554A1,ORGANOID CULTURES,THE WALTER AND ELIZA HALL INSTITUTE OF MEDECAL RESEARCH,17/784159,12/11/2020,02/02/2023,C12N5/09,방법항,저점도 세포외기질;세포배양 지지배지;줄기세포,"청구항에 수치 범위 기재 없음('low viscosity'만 기재, 수치 한정 없음)",오가노이드 생산·증식 방법으로 명시(조직 한정 없음),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,providing a stem cell culture medium comprising low viscosity extracellular matrix and a cell culture support medium; seeding the stem cell culture medium with stem cells,중,독립항(27항) 원문 확보. 다만 1-26항이 canceled 상태여서 최종 권리범위는 심사 진행에 따라 변동 가능
EP3418376B1,"CELL CULTURE MEDIUM, CULTURE METHOD, AND ORGANOID",UNIV KEIO UNIV OSAKA,EP20170753324,02/17/2017,03/13/2024,A61P1/00 ; C12N5/00 ; C12N5/071 ; C12N5/095 ; C12N5/10,혼합(배지 조성물항 1항 + 방법항 9항),Wnt 작용제(Wnt 단백질-아파민 복합체);R-spondin;유사분열성 성장인자·BMP 억제제·TGF-β 억제제·p38 억제제 중 1종 이상,청구항에 수치 범위 기재 없음,오가노이드 형성 단계를 방법항 9항에 명시(상피줄기세포/상피암세포),유럽특허 등록공보(B1) 기준 등록; 각국 유효화·존속 여부 미확인,"A serum-free cell culture medium comprising: a Wnt agonist including a complex of a Wnt protein and an afamin, and an R-spondin",상,독립항 2개 원문 확보. ECM은 방법항의 '준비 단계'로만 등장하고 조성 한정이 없음
US12201745B2,Vascular extracellular matrix hydrogel,University of Pittsburgh—Of the Commonwealth System of Higher Education,17/808423,06/23/2022,01/21/2025,A61L27/36 ; A61K35/12 ; A61L27/22 ; A61L27/50 ; A61L27/52 ; C07K14/745 ; C07K14/75,방법항,탈활성화·산성 프로테아제 분해 ECM(혈관 외막 조직 유래);중막 유래 ECM 배제(negative limitation),pH 6.8 to 7.8,오가노이드 한정 없음(혈관 이식편 혈관화),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"devitalized, acid-protease-digested ECM derived from vascular adventitial tissue delaminated from the medial layer and having a pH of from 6.8 to 7.8",상,독립항 2개 원문 확보. 조성 성분이 아닌 유래 조직·pH로 한정
US20210108180A1,ELECTROCONDUCTIVE DECELLULARIZED EXTRACELLULAR MATRIX COMPOSITIONS FOR PREPARATION OF ENGINEERED TISSUES AND RELATED METHODS,University of Washington,17/039153,09/30/2020,04/15/2021,C12N5/071 ; C12N5/074 ; C12N5/077 ; G01N33/50,조성물항,탈세포화 세포외기질(dECM);1종 이상의 생체적합성 전도성 나노소재,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(조작 조직 제작용),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,A hybrid hydrogel comprising a decellularized extracellular matrix (dECM) and one or more biocompatible conductive nanomaterials.,상,독립항 원문 확보. 2성분만으로 구성된 매우 넓은 청구항
US20250256009A1,DECELLULARIZED BIOMATERIAL FROM NON-MAMMALIAN TISSUE,"NEXTGEN BIOLOGICS, INC.",19/195843,05/01/2025,08/14/2025,A61L27/36 ; A61K9/70 ; A61K35/12 ; A61K35/65 ; A61K38/17 ; A61L27/38 ; A61L27/52 ; A61L27/54 ; A61L27/58 ; A61L27/60 ; C12N5/071,혼합(제법한정 물건항 1·14항 + 물건항 20항),우로델(아홀로틀) 조직 시료;세포외기질;탈세포화 공정,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(조직공학 일반),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"(a) obtaining a tissue sample from an Axolotl, which tissue sample comprises extracellular matrix (ECM), and (b) decellularizing the sample to retain structural and functional integrity",상,독립항 3개 원문 확보. 성분이 아닌 공급원(종)으로 신규성을 확보한 유형
US12227761B2,Supportive nanofibrillar cellulose scaffold for expanding cells,UPM-KYMMENE CORPORATION,16/624756,06/19/2018,02/18/2025,C12N5/0793 ; C08B15/02,혼합(조성물항 1항 + 방법항 12·13항),기계적 해섬 식물유래 음이온성 나노피브릴 셀룰로스(TEMPO 산화),0.05-0.35 wt %; 치환도 0.08-0.3; 저장탄성률 5-20 Pa(0.5 wt% 분산 기준); loss tangent > 1(저장탄성률 1-20 Pa 구간),오가노이드 한정 없음(신경세포 증식 배양),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,0.05-0.35 wt % of mechanically disintegrated plant-derived anionic nanofibrillar cellulose having a degree of substitution of between 0.08 and 0.3 and a storage modulus between 5 and 20 Pa,상,독립항 3개 원문 확보. 동물유래 ECM 성분 없이 물성 수치만으로 한정
US9687591B2,Building stratified biomimetic tissues and organs using crosslinked ultrashort peptide hydrogel membranes,"Agency for Science, Technology and Research",14/639035,03/04/2015,06/27/2017,A01N25/00 ; A61K47/00 ; A61L26/00 ; A61L27/22 ; A61L27/38 ; A61L27/50 ; A61L27/52 ; A61L27/60 ; C12N5/00,조성물항(물건항),"2매 이상의 하이드로겔 막;자기조립 테트라머 양친매성 펩타이드(Zp-(X)n-(Y)m-AAthiol-Z'q, n=2, m=1);화학적 가교","청구항에 수치 범위 기재 없음(n=2, m=1 등 정수 한정만 존재)",오가노이드 한정 없음(층상 생체모사 조직·장기),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"a plurality of tetramer amphiphilic peptides capable of self-assembling into three-dimensional macromolecular nanofibrous networks, which entrap water and form said hydrogel",상,독립항 원문 확보. 생물학적 ECM 성분이 전혀 없는 순합성 펩타이드 계열
EP2958933B1,CROSSLINKED PEPTIDE HYDROGELS,AGENCY SCIENCE TECH & RES,EP20140743041,01/28/2014,08/22/2018,C07K7/06 ; A61K8/64 ; A61K38/06 ; A61K38/07 ; A61L27/52 ; A61P19/00 ; C07K5/103,조성물항,자기조립 양친매성 펩타이드/펩토이드(서열 LIVAGDC·ILVAGDC·AIVAGC·ILVAGC·IVKC·IVDC·IVSC 중 선택);화학적 가교,"독립항(1·12항)에 수치 범위 기재 없음 — 종속항 5항에만 저장탄성률 G' 100 Pa-1,000,000 Pa(0.02-16 Hz), G'/G"" > 2, 가교율 5-50% 이상 기재",오가노이드 한정 없음(범용 하이드로겔),유럽특허 등록공보(B1) 기준 등록; 각국 유효화·존속 여부 미확인,"a plurality of amphiphilic peptides and/or peptoids capable of self-assembling into three-dimensional macromolecular nanofibrous networks, which entrap water and form said hydrogel",중,독립항 원문 확보. 다만 EP 형식상 4·5·6항이 'any one of the foregoing claims'를 인용하면서도 별도 한정을 추가해 독립/종속 경계가 애매
US8999916B2,Crosslinked peptide hydrogels,"Agency for Science, Technology and Research",13/751295,01/28/2013,04/07/2015,A61K38/00 ; A01N25/00 ; A61K38/02 ; A61K47/00 ; A61K47/42 ; A61L26/00 ; A61L27/22 ; A61L27/38 ; A61L27/50 ; A61L27/52 ; C12N5/00 ; C12N5/02,조성물항,자기조립 양친매성 펩타이드/펩토이드(일반식 Zp-(X)n-(Y)m-AAthiol-Z'q);화학적 가교,"n = 2 to 6; m = 0, 1, 2; p, q = 0 또는 1 (농도·탄성률 수치 범위는 독립항에 없음)",오가노이드 한정 없음(범용 하이드로겔),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"A hydrogel comprising a plurality of amphiphilic peptides and/or peptoids capable of self-assembling into three-dimensional macromolecular nanofibrous networks, which entrap water",상,독립항 원문 확보. EP2958933B1의 미국 대응 계열로 서열 한정이 더 넓음
US9387276B2,Interpenetrating networks with covalent and Ionic Crosslinks,President and Fellows of Harvard College Seoul National University Industry Foundation,14/370451,01/07/2013,07/12/2016,A61F2/00 ; A61L27/16 ; A61L27/20 ; A61L27/48 ; A61L27/50 ; A61L27/52 ; A61L27/60,혼합(조성물항 1·3·36항 + 방법항 32항),공유가교 제1 네트워크(폴리아크릴아미드/PVA/PEO/PEG/메타크릴화 PEG/폴리포스파젠);이온·물리 가교 제2 네트워크(알지네이트),Young's modulus at least 10.0 kPa; 신장률 λ 약 21; (32항) 아크릴아미드/(아크릴아미드+알지네이트) 중량비 66.67-94.12 wt %,오가노이드 한정 없음(자가치유 IPN 하이드로겔),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"said second network comprises an alginate polymer; wherein the Young's modulus of the hydrogel is at least 10.0 kPa, wherein said interpenetrating networks hydrogel comprises a stretch value",상,독립항 6개 원문 확보. 알지네이트가 제2 네트워크로 필수 지정된 드문 사례
US20250136927A1,COMPOSITION FOR 3D TISSUE CULTURE,The University Court of the University of Glasgow Imperial College Innovations Limited Cellink Bioprinting AB,18/691266,09/13/2022,05/01/2025,C12N5/00 ; C12N5/071 ; C12N5/077,조성물항,"하이드로겔용 생체적합성 고분자(폴리펩타이드/다당류/합성고분자);수식 ECM 단백질(-L-B, 합성 링커+비반응성 차단기)",청구항에 수치 범위 기재 없음,"3차원 조직배양용, 특정 오가노이드 조직 한정 없음",미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"(a) a biocompatible polymer suitable for the preparation of a hydrogel selected from polypeptides, polysaccharides and synthetic polymers; and (b) a modified extracellular matrix (ECM) protein",상,독립항 원문 확보. 라미닌·피브로넥틴은 3항(별도 기재)에서 선택지로만 등장
US12187834B2,Biodegradable elastic hydrogels for bioprinting,"BOARD OF REGENTS, THE UNIVERSITY OF TEXAS SYSTEM NORTHEASTERN UNIVERSITY",18/538187,12/13/2023,01/07/2025,B29C64/118 ; B33Y10/00 ; B33Y70/00 ; C08F293/00 ; C12N5/00 ; B29K71/00 ; B29K96/04 ; B29K105/00,방법항,"광개시제;A-B-A 삼블록 공중합체(A=PCL 또는 PVL, B=PEG);에틸렌성 불포화 잔기","PEG 블록 분자량 2,000 Da to 100,000 Da",오가노이드 한정 없음(바이오프린팅),미국 등록공보(B1/B2) 기준 등록; 존속 여부 미확인,"A is a polycaprolactone (PCL) block or a polyvalerolactone (PVL) block, B is a polyethylene glycol (PEG) block having a molecular weight ranging from 2,000 Da to 100,000 Da",상,독립항 2개 원문 확보. 생물학적 ECM 성분 부존재
US20220195387A1,"COMPOSITIONS, APPARATUSES AND METHODS FOR MAKING AND USING BIOSCAFFOLDS",The Research Foundation for the State University of New York,17/558543,12/21/2021,06/23/2022,C12N5/071 ; D01D5/00,혼합(방법항 1항 + 물건항 16항),하이드로겔 소재 및/또는 ECM 단백질;수성 용매;극저온 전기방사(1항) / 가교된 알지네이트+엘라스틴(16항),청구항에 수치 범위 기재 없음,오가노이드 한정 없음(연조직 dECM 모사 스캐폴드),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"A scaffold, comprising: a cryoelectrospun alginate and elastin material that mimics decellularized ECM, wherein the alginate and elastin are cross-linked.",상,독립항 2개 원문 확보
US20180010091A1,Hydrogel Comprising A Scaffold Macromer Crosslinked With A Peptide And A Recognition Motif,Massachusetts Institute of Technology,15/543866,01/15/2016,01/11/2018,C12N5/00 ; C08G65/333 ; C08G65/334 ; C08J3/075 ; C08J3/24 ; G01N33/50 ; G01N33/574,혼합(조성물항 1항 + 방법항 14·29·37항),스캐폴드 매크로머;펩타이드 혼합물;트랜스펩티데이스(sortase) 절단 인식 모티프,청구항에 수치 범위 기재 없음,오가노이드 한정 없음(효소 분해성 하이드로겔),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,"one or more scaffold macromers crosslinked to a mixture of peptides, wherein all or a portion of the peptides in the mixture comprise a recognition motif cleavable by a transpeptidase",상,독립항 6개 원문 확보. 효소 절단성(회수성)을 필수로 삼은 설계
US20240191199A1,Hydrogel Scaffolds And Uses Thereof,Nanyang Technological University,18/287676,04/20/2022,06/13/2024,C12N5/077,혼합(물건항 1항 + 방법항 12항),젤라틴 메타크릴로일(GelMA);알지네이트;펙틴;1종 이상의 세포,"GelMA 약 3.0-10.0 w/v %; 알지네이트 약 0.5-2.0 w/v %; 펙틴 약 0.5-2.0 w/v %; (12항) 4-120°C 처리, 주입속도 0.1-2.0 ml/min",오가노이드 한정 없음(하이드로겔 스캐폴드),미국 공개공보(A1) 기준 출원 공개 상태; 등록 여부 미확인,about 3.0-10.0 w/v % gelatin methacryloyl (GelMA); about 0.5-2.0 w/v % alginate; about 0.5-2.0 w/v % pectin; and one or more cell types.,상,독립항 2개 원문 확보. 3성분 농도가 모두 독립항에 수치 한정됨
