param_id,param_name,condition,value,unit,method,effect,evidence_ref,confidence,confidence_reason
CP-011,EDC 가교 강도 → 세포 부착,통상 문헌 EDC 가교 강도의 10% 미만으로 약하게 가교,<10 (통상치 대비),% of standard EDC strength,HT1080 세포 부착 계수 + 생리조건 안정성 관찰,약가교 조건에서 HT1080 부착이 5배 증가하면서도 겔은 생리조건에서 안정. '적게 가교할수록 좋다'는 실무 기준,PMC5123637[전문 확인],중,리뷰 본문의 2차 인용
CP-012,EDC/NHS 가교 조건 → 지지체 안정화,"동결건조 콜라겐(±히알루론산) 지지체, 95% 에탄올 중 EDC 33 mM + NHS 6 mM, 25 ℃ 4시간",33 (EDC) / 6 (NHS),mM,화학 가교 후 지지체 형태 유지 관찰,3D 유선 공배양 지지체의 표준 가교 조건. 세포 파종 전에 수행하는 전처리형 가교,PMC3184152[전문 확인],상,전문 방법부에 농도·용매·온도·시간 모두 명시
CP-013,탈수열처리(DHT) 온도 → 콜라겐 변성도,"진공 하 가열, 온도 상승",100~150 (허용) / 180 (변성 60%),℃,DHT 처리 후 변성도 정량(리뷰 종합),100~150 ℃에서 가교밀도가 온도에 비례해 증가하나 150 ℃ 초과부터 변성이 시작되어 180 ℃에서 변성도 60% 도달. 무시약 가교의 상한,PMC5123637[전문 확인],중,리뷰 본문의 2차 인용 수치
CP-014,UV 광가교(Irgacure 2959) → 저장탄성률 G′,"메타크릴화 I형 콜라겐 4 mg/mL, 365 nm UV 5분",914 (무가교) → 1690 (UV 가교),Pa,레올로지(Bohlin CVO-100 레오미터),UV 가교로 G′ 약 1.8배 상승,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),상,제조사 DFU의 그래프 수치와 측정기·조사조건이 원문에 명시
CP-015,UV 광가교(Irgacure 2959) → 저장탄성률 G′,"메타크릴화 I형 콜라겐 6 mg/mL, 365 nm UV 5분",2020 (무가교) → 4420 (UV 가교),Pa,레올로지(Bohlin CVO-100 레오미터),UV 가교로 G′ 약 2.2배 상승. 농도가 높을수록 가교 이득도 큼,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),상,제조사 DFU 원문 수치
CP-016,UV 광가교(Irgacure 2959) → 저장탄성률 G′,"메타크릴화 I형 콜라겐 8 mg/mL, 365 nm UV 5분",3320 (무가교) → 6025 (UV 가교),Pa,레올로지(Bohlin CVO-100 레오미터),8 mg/mL + UV 가교가 이 제품군의 상한. 무가교 대비 약 1.8배,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),상,제조사 DFU 원문 수치
CP-017,광개시제 배합비 → 광가교 성립,Irgacure 2959를 메탄올에 10% 용액으로 조제 후 총 부피(콜라겐+중화액)에 대해 첨가,1,% (v/v) of total volume,제조사 지정 배합 절차(DFU),이 비율 미만에서는 365 nm 5분 조사로 충분한 라디칼이 생성되지 않음. 개시제 용액은 용해 후 2주 유효,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),상,제조사 DFU에 계산식(총 부피 × 0.01)으로 명시
CP-018,티라민화 HA 가교 방식 → 저장탄성률 G′,"3 w/v% THA + dECM 입자, HRP 0.1 U/mL + H2O2 0.15 mM, 37 ℃ 30분",11200 ± 440 (HRP/에오신) / 7300 ± 350 (SPS/Ru),Pa,레올로지 주파수 스윕 및 진폭 스윕 G′,같은 목표 강성(약 10 kPa)에서도 가교 화학에 따라 G′가 1.5배 차이. 콜라겐-다당 IPN 설계의 참고값,PMC13501466[전문 확인],상,두 방식의 평균 ± SEM이 전문에 병기
CP-019,KCl 농도 → 콜라겐 등전점(pI),"펩신 가용화 I형 콜라겐, KCl 0.1 mM → 10 mM",7.5 → 5.3,pI (pH 단위),등전점 측정(리뷰 종합),"이온 조성이 등전점을 크게 이동시키며, 등전점에서 멀어질수록 섬유형성이 느려지고 D-밴딩을 잃는다. 중화 완충액 선택이 섬유 품질을 좌우하는 근거",PMC5123637[전문 확인],중,리뷰 본문의 2차 인용 수치
CP-020,CaCl2 농도 → 콜라겐 등전점(pI),"펩신 가용화 I형 콜라겐, KCl과 동일 몰량의 CaCl2",> 9,pI (pH 단위),등전점 측정(리뷰 종합),2가 양이온은 1가와 반대 방향으로 등전점을 올린다. 인산·칼슘이 함께 든 배지로 중화할 때 섬유형성이 달라지는 원인,PMC5123637[전문 확인],중,리뷰 본문의 2차 인용 수치
CP-021,NaCl 첨가 → 콜라겐 슬러리 점도 η,동결건조 지지체용 콜라겐 슬러리에 NaCl 0.5 wt% 첨가,36.3 → 3.2,Pa·s,슬러리 점도 측정,NaCl이 삼중나선을 안정화하고 엉킴을 줄여 점도가 약 11배 감소. 동시에 콜라겐이 더 섬유성으로 변하고 지지체 공극이 커짐,PMC5123637[전문 확인],상,전문에 전후 수치와 해석이 함께 기재
CP-022,이온강도(인산완충 단독) → 재구성 섬유 직경,"pH 7.4, 10 mM 인산완충액만으로 이온강도를 구성",100~200,nm,전자현미경 기반 섬유 직경 측정,저이온강도·중성 조건에서 재구성 섬유 직경은 100~200 nm 범위. 생체 섬유 직경대와 겹침,PMC8228673[전문 확인],상,전문에 직경 범위가 명시
CP-023,겔화 pH → 겔 채택 가능 여부,"랫 꼬리 I형 콜라겐 2 mg/mL, 10× MEM + NaOH + 물로 중화, pH 시험지 판정",7.2,pH,"pH 시험지 판정 후 30 µL 돔 겔화(37 ℃, 5% CO2, 60분)",pH 7.2인 용액만 적합으로 채택하고 나머지는 폐기 — 오가노이드 프로토콜의 실제 합격 기준,PMC6723115[전문 확인],상,합격 기준이 전문에 명시적으로 기술
CP-024,겔화 pH 목표 범위 → 겔 형성,"제조사 3D 겔 절차: 콜라겐 8부 + 냉장 10× PBS/10× 배지 1부, 0.1 M NaOH로 적정, 물로 총 10부",7.0~7.5,pH,pH 미터·페놀레드·pH 시험지 중 하나로 적정 종점 판정,이 범위를 벗어나면 섬유형성이 느리거나 불완전. 소수점 단위 관리가 필요,Advanced BioMatrix DFU 5005 Rev 10(2026-09-16 확인),상,제조사 DFU 절차 원문
CP-025,1차 중화 목표 pH → 겔 강성,"고농도 콜라겐 바이오잉크(20·30 mg/mL, 0.05%·0.1% 아세트산), 2× 강화배지 + 1 M NaOH 25 µL/mL 혼합비 적정",7.0~7.2,pH,"볼륨 적정곡선 작성 후 압축시험(자체 제작 압축시험기, 4 mm 높이 원통 시료)",NaOH 보정 없이는 압축탄성률이 유의하게 감소하고 최적 비율 보정 시 유의하게 증가. 로트마다 적정을 다시 해야 함,PMC11120981[전문 확인],상,적정 방법·목표 pH·강성 영향이 모두 전문에 기재
CP-026,용매 아세트산 농도 → 압축탄성률 E,"콜라겐 20·30 mg/mL를 0.05% 대 0.1% 아세트산에 용해, 동일 중화",0.05 (더 단단) vs 0.1 (더 무름),% (v/v) acetic acid,압축시험(자체 제작 압축시험기) 후 선형회귀 모형 계수 평가,아세트산 농도 계수가 음수 — 낮은 산 농도에서 압축탄성률이 더 높음. 용매 산 농도가 최종 물성의 독립 변수,PMC11120981[전문 확인],중,방향성과 회귀계수 부호는 명시되나 절대 E 값은 전문에서 확인되지 않음
CP-027,1 N NaOH 투입량 → 중화,"랫 꼬리 I형 콜라겐, 배지·재구성완충액과 혼합 직전",3.6,% (v/v) of collagen volume,"부피 계량 후 중화(얼음 위), 이후 37 ℃ 겔화",콜라겐 부피 대비 고정 비율로 1 N NaOH를 넣는 방식. 로트 편차가 작을 때만 유효,PMC4589685[전문 확인],상,전문 방법부에 정확한 비율로 기재
CP-028,1 M NaOH 투입량 → 중화,콜라겐 I형 3.35 mg/mL 33.8 µL + 5× DMEM 10 µL + 배지 50 µL + 물 5.35 µL,0.85 µL (콜라겐 부피의 2.5% v/v),µL per 33.8 µL collagen,얼음·예냉 팁 조제 후 3 µL 방울로 37 ℃ 15분 겔화,마이크로 스케일 조제에서의 실제 배합. 소량이므로 피펫 정밀도가 pH를 좌우,PMC6470149[전문 확인],상,전문 방법부에 µL 단위까지 명시
CP-029,0.1 mol/L NaOH 투입량 → 중화,10× PBS 42 µL + 0.1 mol/L NaOH 18 µL + 콜라겐 5 mg/mL 300 µL + 세포현탁액 1 mL(24웰 직접 조제),18 µL (최종 콜라겐 1.10 mg/mL),µL per well,"24웰 플레이트에 시약을 순차 첨가해 직접 조제, 37 ℃ 겔화 후 4일간 안정성 관찰",몰드 없이 24웰을 몰드로 쓰는 간이 프로토콜. 최종 1.10 mg/mL에서 겔이 안정 유지,PMC12123143[전문 확인],상,전문에 전 성분의 부피가 기재
CP-030,중화액:콜라겐 부피비 → 중성 겔,"전용 중화액 1부 + 랫 꼬리 텔로콜라겐 9부, 볼텍싱 금지",1 : 9,volume ratio (NS : collagen),제조사 지정 혼합 후 37 ℃ 1시간 겔화,NaOH 적정을 대체하는 사전 제형화 방식. 로트 간 재현성이 높음,Advanced BioMatrix DFU 5153 Rev 03(2026-09-16 확인),상,제조사 DFU 절차 원문
CP-031,중화액:콜라겐 부피비(메타크릴화 콜라겐) → 최종 pH,"메타크릴화 I형 콜라겐 농도별, 알칼리성 10× PBS 중화액",95 (3 mg/mL) / 90 (4) / 85 (6) / 80 (8),µL NS per 1.0 mL collagen,제조사 지정 부피 혼합 후 pH 확인(최종 pH 7.0~7.4),농도가 높을수록 필요한 중화액 부피가 오히려 감소(부피당 산 총량이 아니라 점도·홀드업 보정 때문). 무게 기준 표도 별도 제공,Advanced BioMatrix DFU 5201 Rev 07(2026-09-16 확인),상,제조사 DFU에 표 형태로 명시
CP-032,콜라겐:10×배지:재구성완충액 비 → 최종 pH,"돼지 건 Cellmatrix Type I-A 3 mg/mL, 얼음 위 기포 없이 혼합",8 : 1 : 1,volume ratio,"얼음 위 순차 혼합 후 37 ℃ 겔화, 최종 pH 측정",장 오가노이드 3D 포매의 표준 조성. 최종 pH 7.3~7.4,PMC10070462[전문 확인]; PMC4164635[전문 확인],상,두 전문에서 동일 비율이 독립적으로 확인
CP-033,재구성 완충액 조성 → 완충능,0.05 N NaOH 100 mL 중 NaHCO3 2.2 g + HEPES 4.77 g,NaOH 50 / NaHCO3 약 260 / HEPES 약 200,mM,조성 계량(제조사 키트 조성 및 문헌 재현),알칼리·중탄산·유기완충을 한 병에 담아 중화와 배양 중 pH 유지를 동시에 담당,PMC10070462[전문 확인]; Nitta/FUJIFILM Wako 638-00781(2026-09-16 확인),상,조성이 문헌과 키트 구성에서 일치 확인
CP-034,아텔로콜라겐 중화액 규격 → 생리적 적합성,"아텔로콜라겐 수용액, pH·삼투압 조절제 첨가",pH 6.5~8.0 / 삼투압 250~320,pH 및 mOsm/kg H2O,특허 청구항 규정치(pH 측정 및 삼투압 측정),중화 콜라겐 용액이 만족해야 할 생리적 창을 청구항 수준에서 규정. 삼투압 상한·하한이 세포 스트레스 관리 기준,"특허 US4592864(Koken Co., Ltd.) 독립항 1",상,청구항 원문 수치
CP-035,온도 → 저장탄성률 G′ 상승 개시점,"재구성 콜라겐 섬유(NaCl 전처리), 온도 스윕 5~45 ℃, 1.0 ℃/min, 0.5% 변형",32,℃,"레올로지 온도 스윕(주파수 0.1~10 Hz, 변형 0.5%)",32 ℃를 넘으면 G′가 상승하기 시작하고 32~37 ℃에서 미세섬유가 응집해 겔을 형성. 2~10 ℃ 저온 취급의 물리적 근거,PMC8228673[전문 확인],상,측정 조건과 전이 온도가 전문에 명시
CP-036,겔 부피 → 겔화 소요 시간,"37 ℃, 5% CO2 인큐베이터, 중화 콜라겐",15분(3 µL 방울) / 60분(30 µL 돔) / 60분(0.5 mL 웰),min,육안·현미경 겔화 판정,부피가 커질수록 승온과 섬유 성장에 시간이 더 필요. 대형 겔은 중심부 겔화 지연을 고려해야 함,PMC6470149[전문 확인]; PMC6723115[전문 확인]; PMC13206888[전문 확인],상,세 전문의 부피-시간 조합이 일관
CP-037,겔화 온도·시간 → 탈세포 ECM 하이드로겔 재중합,인간 위 유래 탈세포 ECM 중화 균질액,37 ℃에서 35~45,min,육안 겔화 판정 및 4 ℃ 보관 안정성 관찰,조직 유래 콜라겐도 동일 원리로 37 ℃ 재중합. 4 ℃에서 4~6개월 안정,PMC13478677[전문 확인],상,전문에 시간·보관 기간 모두 기재
CP-038,가교 온도·시간(Tris 중화) → 겔 완성,"랫 꼬리 I형 콜라겐 2 mg/mL, Tris 염기로 pH 7.2~7.4 조정",37 ℃에서 180,min,몰드 내 배양 후 시료 회수,NaOH 대신 Tris로 중화하는 경로에서는 겔화 시간을 3시간까지 길게 두는 사례,PMC13254370[전문 확인],상,전문 방법부에 온도·시간 명시
CP-039,콜라겐 변성온도 Td(종별),"건조하지 않은 천연 콜라겐, 열분석",소 피부 55 / 랫 꼬리 65 / 소 근내결합조직 90,℃,시차주사열량계(DSC) 열분석,포유류 콜라겐은 체온(37 ℃)보다 충분히 높은 Td를 가져 추가 가교 없이 37 ℃ 배양이 가능,PMC7182835[전문 확인],상,전문에 종·조직별 수치가 표로 정리
CP-040,콜라겐 변성온도 Td(해양 유래),어류·해파리 유래 I형 콜라겐,태평양대구 14.5 / 초어 33 / 해파리(R. pulmo 계열 상용 표준) 36.0 / 흑기흉상어 34,℃,DSC 및 레올로지 온도 스윕,Td가 인간 체온 37.5 ℃보다 낮은 해양 콜라겐은 37 ℃ 배양에서 녹으므로 반드시 가교해야 함 — 오가노이드 골격으로 부적합한 근거,PMC6783949[전문 확인]; PMC13408534[전문 확인],상,두 전문에서 종별 Td가 일관되게 제시
CP-041,산성 침전 대 중성 재구성 → 섬유 열안정성 Tm,닭 용골연골 유래 재구성 콜라겐 섬유,산성 침전 45.5~46 / 중성(인산완충 투석) 약 56,℃,"DSC 열분석(전이 범위 병기: 산성 37~51 ℃, 중성 52~60 ℃)",중성 조건에서 재구성한 섬유가 열안정성이 훨씬 높다 — 중화 조건이 최종 섬유 품질을 결정,PMC8228673[전문 확인],상,두 조건의 Tm과 전이 범위가 전문에 병기
CP-042,기질 탄성률 E → 심혈관 오가노이드 분화,배아체를 순수 콜라겐 겔 또는 콜라겐 결합 폴리아크릴아마이드(CCP) 겔 위에 파종,6~10,"kPa (Young's modulus, E)",폴리아크릴아마이드 겔 탄성률 보정 후 배아체 분화 평가,심근 강성대(E 6~10 kPa)에서 배아체의 심혈관 분화가 생체역학적으로 촉진. 0.2 kPa(순수 콜라겐) 및 40 kPa와 대비,PMC3986240[전문 확인],상,전문이 E(영률)로 명시하고 세 수준을 비교
CP-043,순수 콜라겐 겔 전단탄성률 G,"소 I형 콜라겐(PureCol) 1.4 mg/mL, 냉장 DMEM/F12 희석, 37 ℃ 2시간",0.2,"kPa (shear modulus, G)",전단탄성률 측정(논문이 shear modulus로 명시),저농도 순수 콜라겐 겔은 수백 Pa 수준의 매우 무른 재료. 조직 강성 재현에는 하이브리드가 필요한 근거,PMC3986240[전문 확인],상,전문이 전단탄성률로 단위를 명시 — 영률 환산 금지
CP-044,기저막 수준 강성(영률 E),PCL 5% (w/v) 나노섬유막에 랫 꼬리 I형 콜라겐 0.15 mg/mL를 37 ℃ 1시간 섬유화·고정,약 230,"kPa (Young's modulus, E)","막 인장/압입 기반 강성 측정(논문이 stiffness, kPa로 보고)",장 상피 오가노이드용 막형 지지체가 목표로 삼는 기저막 수준 강성. 3D 겔(수백 Pa)과는 3자릿수 차이,PMC13495896[전문 확인],중,수치·단위는 명시되나 측정 모달리티의 세부는 전문에서 확인되지 않음
CP-045,합성 하이드로겔 초기 강성 → 장 줄기세포 팽창,"PEG-비닐설폰/PEG-아크릴레이트 혼합, RGD·라미닌-111 결합",약 1.3,"kPa (초기 강성, 논문 표기 stiffness)",합성 겔 기계 특성 측정(리뷰 내 인용),장 줄기세포 팽창에는 초기 고강성(약 1.3 kPa)이 유리하고 이후 연화가 분화에 유리 — 콜라겐 겔 강성 설계의 목표값 참조,PMC8889330[전문 확인],중,리뷰 본문의 2차 인용 수치
CP-046,콜라겐 밀도 → 섬유 정렬·세포 이동(이상성),"HT-1080 세포를 콜라겐 I 매트릭스에 포매, 밀도 1→6 mg/mL",1 → 6,mg/mL,공초점 반사 이미징 기반 섬유 정렬·공극 정량 + 시간경과 세포 이동 추적,"밀도 상승에 따라 공극과 섬유 정렬이 감소 후 증가하는 이상성을 보이며, 세포 이동은 벌크 강성이 아니라 섬유 정렬로 가장 잘 예측됨. 1→1.5 mg/mL에서 정렬은 유의 감소하나 평균 공극은 불변",PMC4589685[전문 확인],상,이상성 관계와 구간별 변화가 전문에 정량 기재
CP-047,I/III형 매트릭스 섬유 면적분율,콜라겐 성분이 본질적으로 I형과 III형으로 이루어진 3차원 정제 콜라겐 매트릭스,7.7~25,% (fibril area fraction),특허 청구항 규정치(단면 이미지 기반 섬유 면적분율 산정),I/III 혼합 매트릭스를 권리 범위로 규정한 유일한 정량 지표. 생물학적 우월성 증명이 아니라 청구항 범위임에 주의,특허 US20160186131A1 / US20090175922A1(Purdue Research Foundation) 독립항 1,상,청구항 원문 수치
CP-048,III형 콜라겐 상용품의 형 순도,"인간 태반 유래 III형 콜라겐 용액, 0.01 N HCl",약 85 (III형) / 잔부 I형,% (type III content),제조사 규격(다단계 정제 후 조성 분석),'III형 콜라겐'을 사도 15% 내외의 I형이 섞여 들어오므로 I/III 비율을 설계할 때 반드시 보정해야 함,Advanced BioMatrix 5021 사양(2026-09-16 검색 확인),중,"제조사 요약 정보로 확인, 규격표 원문은 미확보"
CP-049,I형 콜라겐 상용품에 내재된 III형 비율,소 진피 아텔로콜라겐 및 랫 꼬리 텔로콜라겐 상용품,약 97 (I형) / 잔부 III형,% (type I content),제조사 규격(SDS-PAGE 및 조성 분석),'I형 콜라겐' 제품에도 약 3%의 III형이 이미 들어 있다. I/III 혼합 매트릭스를 만들 때의 기저값,Advanced BioMatrix DFU 5005 Rev 10 및 DFU 5153 Rev 03(2026-09-16 확인),상,두 제조사 DFU 원문에 동일 문구로 명시
CP-050,재조합 인간 III형 콜라겐 발효 수율,"Pichia pastoris, T4-피브리틴 융합, 신호펩타이드·프로모터 최적화, 단백질 분해 억제, 5 L 발효조",0.9,g/L,"고밀도 유가배양 후 SDS-PAGE 밴드 정량(ImageJ) 및 항-His 웨스턴블롯, 삼중나선은 CD 분광으로 확인",동물 유래 없는 전장 III형 콜라겐의 현재 도달 수율. 산업 생산 가능성의 정량 지표,PMC13331770[전문 확인],상,수율·검증 방법이 모두 전문에 명시
CP-051,3D 겔 내 라미닌 보충 농도 → 근모세포 융합지수,콜라겐 I형 3 mg/mL 겔에 라미닌 0/1/10/100 µg/mL 첨가,100 (최적),µg/mL,2D 스크리닝의 융합지수(fusion index) 정량 후 3D 구조체로 이행,라미닌은 100 µg/mL에서 융합지수 최대. 콜라겐 겔에 기저막 단백질을 섞을 때의 실측 용량대,PMC13302221[전문 확인],상,0/1/10/100의 4단계 농도-반응이 전문에 기재
CP-052,3D 겔 내 피브로넥틴 보충 농도 → 수축력·정렬,"콜라겐 I형 3 mg/mL 겔에 피브로넥틴 0/1/10/100 µg/mL 첨가, C2C12 2×10^6 cells/mL",10 (최적),µg/mL,캔틸레버 역학 기반 수동 수축력 측정 + 섬유 배향각 정량(장력축 대비 0~20° 비율),피브로넥틴 10 µg/mL가 초기 수축 역학과 장력 매개 정렬을 유의하게 증가. 라미닌보다 10배 낮은 최적 농도,PMC13302221[전문 확인],상,4단계 농도-반응과 측정법이 전문에 명시
CP-053,2D 코팅 농도(콜라겐 + 라미닌-511),"PDMS/플라스틱 표면 코팅, 37 ℃ 5% CO2 2시간",콜라겐 I 30 / 라미닌-511 10,µg/mL,표면 코팅 후 6일간 세포 피복률(%) 시간경과 측정,2D 코팅 전용 조건 — 3D 겔 농도로 전용 불가. 라미닌-511 단독과 통계적으로 동등(p=0.196),PMC11795259[전문 확인],상,코팅 조건·통계 결과 모두 전문에 기재. 2D임을 명시
CP-054,"2D 코팅 농도(콜라겐 단독, 제조사 권장)","배양면 코팅, 실온 1~2시간 또는 건조까지",50~100,µg/mL,제조사 지정 코팅 절차(물 또는 0.01 N HCl로 약 1:30 희석),3D 겔 농도(2~9 mg/mL)의 약 1/50~1/100. 코팅과 겔을 혼동하면 두 자릿수 오차,Advanced BioMatrix DFU 5005 Rev 10 및 DFU 5153 Rev 03(2026-09-16 확인),상,두 제조사 DFU에 동일 범위로 명시
CP-055,기저막추출물 부분 보충 비율,콜라겐 등 비-BME 지지체에 Matrigel을 부분 혼합,10~20,% (v/v),오가노이드 형성 효율 비교(PMC8889330) 및 양성대조 구성(PMC13302221),10% (v/v) 보충 시 피브린이 순수 Matrigel과 유사한 소장 오가노이드 형성 효율. 20% (v/v)는 근육 구조체 양성대조,PMC8889330[전문 확인]; PMC13302221[전문 확인],상,두 전문에서 각각 비율이 명시
CP-056,알지네이트 이온가교 CaCl2 농도 → 구조 안정성,"알지네이트-젤라틴-콜라겐 바이오잉크, CaCl2 2분 처리 후 DMEM 침지 15일",0.2~0.4 (불안정) / 0.5 (압출 최적) / ≥1.5 (2주 유지),% (w/v),압출 인쇄성 평가 및 15일간 구조 유지 관찰,콜라겐-알지네이트 하이브리드에서 형태 유지와 압출성이 상충하는 구간을 정량. 4.5% w/v는 분해가 가장 느림,PMC13556172[전문 확인],상,네 구간의 결과가 전문에 명시
CP-057,콜라겐 혼입 한계(알지네이트-젤라틴 바이오잉크),최종 1% (w/v) 알지네이트 + 10% (w/v) 젤라틴에 콜라겐 첨가,0.513 / 0.615 / 0.82 / 1.025,mg/mL,혼합 균질성 육안·현미경 평가 후 프린팅,0.82 mg/mL 미만에서만 완전 균질. 그 이상에서는 상분리가 시작 — 하이브리드에서 콜라겐 농도 상한,PMC4835808[전문 확인],상,네 단계 농도와 판정 결과가 전문에 기재
CP-058,콜라겐-PEG 접합 비율,"콜라겐 3 mg/mL 용액 + Acrylate PEG-NHS 50 mg/mL, 4 ℃ 2시간",10 : 1,volume ratio (collagen : PEG-NHS),"접합 후 폴리아크릴아마이드와 공중합, 탄성률 보정",콜라겐 리간드를 유지한 채 강성만 독립적으로 바꾸는 표준 조성,PMC3986240[전문 확인],상,전문 방법부에 비율·온도·시간 명시
CP-059,고농도 바이오잉크 희석 → 최종 겔 농도,프린팅용 콜라겐 바이오잉크 20 또는 30 mg/mL를 세포현탁액과 혼합,20 → 10 / 30 → 15,mg/mL (bioink → final in gel),"2단계 중화·혼합 후 몰드 프린팅, 37 ℃ 15~60분 고화",고농도 프린팅 경로에서 최종 겔 농도는 원액의 절반. 일반 오가노이드 겔(2~4 mg/mL)의 3~7배,PMC11120981[전문 확인],상,전문에 원액·최종 농도가 병기
CP-060,엔도톡신 허용 상한(제품 규격),"콜라겐 원액 기준, LAL 시험","≤1.0 (PureCol 5005) / ≤10.0 (RatCol 5153, PhotoCol)",EU/mL,Limulus Amoebocyte Lysate(LAL) 시험,같은 등급 표기의 콜라겐 사이에 10배 차이. 로트별 CoA 확인이 필요한 정량 근거,Advanced BioMatrix DFU 5005 Rev 10 / DFU 5153 Rev 03 / DFU 5201 Rev 07(2026-09-16 확인),상,세 제조사 문서 원문 수치
CP-061,겔화 시험 규격 상한,제조사 QC: 겔 형성 tube test 및 kinetic gel test,≤40 (일반 콜라겐) / ≤10 (메타크릴화 콜라겐),min,tube test(관 기울임 판정) 및 kinetic gel test(탁도 시간경과),로트별 겔화 시간을 규격화하는 QC 항목. 섬유형성 흡광도는 ≥0.5 AU,Advanced BioMatrix DFU 5005 Rev 10 / DFU 5153 Rev 03 / DFU 5201 Rev 07(2026-09-16 확인),상,세 제조사 문서 원문 수치
