item_id,category,name_ko,name_en,function,necessity,tissue_scope,stage,conc_typical,conc_range,form,evidence_type,evidence_ref,experiment_summary,supplier,catalog_no,grade,stock_storage,alternatives,risk,confidence,confidence_reason
MD-011,무혈청보충제,"B-27 보충제 (50×, 무혈청, 비타민 A 함유)","B-27 Supplement (50X), serum free","Brewer의 신경세포용 무혈청 보충제. 항산화계(SOD, 카탈라제, 글루타치온, 비타민 E/E아세테이트), 인슐린, 트랜스페린, 프로게스테론, 코르티코스테론, T3, 셀레나이트, 지방산(리놀레산·리놀렌산), 레티닐 아세테이트(비타민 A)를 묶은 혼합물. 오가노이드에서는 혈청을 대체하는 항산화·지질·호르몬 공급원",조건부,전 조직,전 단계,1× (50× 저장액 2% v/v),"1×–2% v/v. 위·자궁내막암 PDO는 2% (= 1×), 일부 간·췌장 프로토콜은 1%",혼합보충제,CLAIM;REVIEW;VENDOR,"US8642339 독립항 31 / US20120196312A1 독립항 9 (B27 필수 구성요소로 기재); PMC9285512 (10.1002/cpim.106) [전문 확인, 1×, 17504-044]; PMC4752654 (10.1136/gutjnl-2014-307949) [2%]; Brewer 1993 (10.1002/jnr.490350513); Brewer 1995 (10.1002/jnr.490420510); Thermo 17504044 제품페이지 (2026-09-16 확인)","원천 특허(KNAW)의 종속 조합항이 'Noggin, EGF, R-spondin 1–4 및/또는 Wnt-3 + B27 + N2 + N-아세틸시스테인'을 콜론 크립트 배양 배지로 한정. Brewer 1993이 B-27/Neurobasal 조합으로 해마 신경세포 무혈청 생존을 확립한 원 출처 ★ B-27을 뺀 OMIT 실험이나 농도-반응(DOSE) 실험은 본 근거자료에 없다. 원천 특허가 B27을 구성요소로 기재한 것은 권리범위 기재(CLAIM)이지 생물학적 필수성의 증명이 아니다.",Thermo Fisher (Gibco),17504044 (10 mL) / 17504001 (100 mL),"50×, 무혈청, cGMP, 로트별 성능시험","50× 액상. −5~−20 °C 냉동, 차광. 1회용 분주(예: 2 mL × 5)하여 동결해동 1회로 제한. 해동 후 4 °C 2주 이내 사용",B-27 minus vitamin A (MD-012); N-2 (MD-013)와 병용이 표준,레티닐 아세테이트(비타민 A)가 레티노산 신호를 켜서 일부 계통(신경전구·췌장)에서 조기 분화를 유도할 수 있음. 로트 간 편차 존재,중,CLAIM+REVIEW+VENDOR만 존재하고 OMIT/DOSE 근거가 없어 필수→조건부로 하향
MD-012,무혈청보충제,B-27 보충제 (비타민 A 제거),"B-27 Supplement (50X), minus vitamin A",B-27에서 레티닐 아세테이트를 뺀 제형. 레티노산 신호로 인한 조기 분화를 막고 줄기세포/전구세포 상태를 유지,조건부,"췌장, 뇌·신경, 자궁내막(줄기세포 유지가 중요한 계통)",확장,1× (2% v/v),1×,혼합보충제,REVIEW;SUBST;VENDOR,"PMC7055108 (10.1186/s13287-020-1585-2) [전문 확인, 'B27 minus Vitamin A (1×, Life Technologies ref. 12587-010)']; PMC9053236 (10.1038/s43856-021-00019-x) [전문 확인, 'B27 supplement minus vitamin A']; Thermo 12587010 제품페이지 (2026-09-16 확인)","GMP 등급 사람 췌장 오가노이드 대량생산 프로토콜이 비타민 A 제거형을 명시적으로 선택. 자궁내막 종양 PDO 확장배지도 동일 SUBST 성격: 일반 B-27을 비타민 A 제거형으로 바꾼 선택이며, 두 제형을 병렬 비교한 정량 데이터는 본 근거자료에 없다.",Thermo Fisher (Gibco),12587010 (10 mL) / 12587001 (100 mL),"50×, 비타민 A 제거, cGMP","50× 액상. −5~−20 °C, 차광, 12개월. 분주 동결, 해동 1회",일반 B-27 (MD-011),일반 B-27 대비 단가가 높다(10 mL 기준 $193 vs $159). 조직에 따라 오히려 성장이 느려질 수 있어 최초 1회 병렬 비교 권장,중,"제조사의 제형 차이(VENDOR)와 프로토콜의 선택(REVIEW;SUBST)은 확인, 병렬 비교 데이터는 없음"
MD-013,무혈청보충제,N-2 보충제 (100×),N-2 Supplement (100X),"Bottenstein-Sato 조성의 화학적 정의 보충제. 인슐린, 철포화 홀로-트랜스페린, 프로게스테론, 푸트레신, 셀레나이트 5종만 들어 있다. B-27보다 단순하며 상피·신경 전구세포 생존을 보조",조건부,"장, 위, 간, 췌장, 폐, 뇌, 종양",전 단계,1× (1% v/v),"1× (1%). 위 오가노이드 1%, 식도 1×, 마우스 장 1×",혼합보충제,CLAIM;REVIEW;VENDOR,"US8642339 독립항 31 / US20140256037A1 독립항 9 (N2 필수 구성요소); PMC4752654 (10.1136/gutjnl-2014-307949) [1%]; PMC7036549 (10.1016/j.jcmgh.2019.11.008) [1×, Thermo 17502-048]; PMC8027647 (10.1038/s41422-020-00453-x) [1×]; Thermo 17502048 제품페이지 (2026-09-16 확인)",원천 특허 조합항이 B27·N2·NAC를 함께 한정. 다만 Clevers 2020 Current Protocols의 사람 장 오가노이드 레시피에는 N-2가 빠져 있어(B-27만 사용) '조건부'로 분류 N-2를 뺀 OMIT 실험은 본 근거자료에 없다. 오히려 Clevers 사람 장 레시피는 N-2 없이 B-27만으로 작동한다 — 이것이 조건부 판정의 근거다.,Thermo Fisher (Gibco),17502048 (5 mL) / 17502-048 / 17502001,"100×, 화학적 정의, cGMP, pH 6–8","100× 액상. −5~−20 °C, 차광, 18개월. 드라이아이스 배송. 분주 동결 권장",ITS (MD-014) — 단 프로게스테론·푸트레신은 없음,인슐린을 포함하므로 B-27과 병용 시 인슐린이 중복 투여됨. 인슐린 민감 실험에서는 정량 필요,상,CLAIM+REVIEW+VENDOR. 조건부 판정은 Clevers 레시피의 N-2 부재라는 실무적 대조로 뒷받침
MD-014,무혈청보충제,ITS / ITS+ 프리믹스 (인슐린-트랜스페린-셀레늄),ITS / ITS+ premix,인슐린·트랜스페린·셀레늄(+ITS+는 리놀레산·BSA 추가). B-27/N-2를 쓰지 않는 간세포 분화배지에서 대사 지지,조건부,간,분화,1× (제조사 권장 희석),확보 실패: 해당 논문이 'ITS+ premix (BD Biosciences)'로만 기재하고 농도·품번 미기재,혼합보충제,REVIEW,PMC7736890 (10.1038/s41598-020-79082-8) [전문 확인],담관세포 오가노이드 간세포 분화배지: 윌리엄스 E + 니코틴아마이드 10 mM + 소듐 피루베이트 6.3 mM + 글루코스 14 mM + HEPES 20 mM + ITS+ 프리믹스 + 덱사메타손 + EGF 20 ng/mL,BD Biosciences (현 Corning),확보 실패: 논문 품번 미기재,세포배양용,제조사 지침 준수(일반적으로 2–8 °C 또는 −20 °C),B-27(MD-011) 또는 N-2(MD-013),조성이 공급사마다 다르므로 로트 교체 시 간세포 기능 지표(알부민 분비 등) 재확인 필요,중,프로토콜 기재(REVIEW)뿐. 농도·품번 확보 실패
MD-015,무혈청보충제,재조합 인슐린,Recombinant human insulin,ITS/B-27/N-2 외에 별도 인슐린을 더 넣는 조직 특이 레시피(간세포·췌장암 줄기세포),조건부,"간, 췌장(종양), 지방·섬유아세포 모델",전 단계,5 µg/mL,"2.5–50 µg/mL (간 공배양 2.5 µg/mL, 간세포 4–5 µg/mL, 췌장암 CSI 배지 50 µg/mL)",재조합 단백질,REVIEW,"PMC6156717 (10.1016/j.ebiom.2018.08.014) [전문 확인, 4 µg/mL 및 5 µg/mL, 2.5 µg/mL]; PMC7221133 (10.3389/fcell.2020.00287) [전문 확인, 50 µg/mL, Sigma]; PMC7779788 (10.1016/j.jcmgh.2020.08.011) [10 µg/mL, Sigma I2643]",iPSC 유래 간 오가노이드 PHH 배양: DMEM/F-12 + 10% FBS + 덱사메타손 1 µM + 인슐린 4 µg/mL + GlutaMAX 2 mM + HEPES 15 mM,Sigma-Aldrich (MilliporeSigma),I2643 (췌장 PTOM 논문 기재),세포배양용,확보 실패: 논문에 저장액 농도·용매 미기재. 일반 실무는 산성(0.01 N HCl) 저장액 −20 °C,B-27/N-2/ITS에 이미 인슐린이 들어 있으므로 중복 검토 필요,고농도 인슐린은 IGF-1 수용체를 교차 활성화하여 증식 신호를 왜곡할 수 있음,중,REVIEW뿐. 인슐린 농도-반응 실험은 근거자료에 없음
MD-016,항산화·대사,N-아세틸-L-시스테인,N-Acetyl-L-cysteine (NAC),글루타치온 전구체. 3D 배양 중 발생하는 활성산소를 낮춰 단일세포 파종 후 생존과 장기 계대 안정성을 올린다. 원천 특허가 명시적으로 한정한 보충 성분,조건부,전 조직,전 단계,1.25 mM,"1–1.25 mM (마우스 장 1 mM, 사람 장·위·간·췌장 1.25 mM)",화학합성,OMIT;CLAIM;REVIEW;VENDOR,"US8642339 독립항 31; US20140256037A1 독립항 9; US20120028355A1 독립항 9 (N-Acetylcystein 필수 구성요소); PMC9285512 (10.1002/cpim.106) [전문 확인, 1.25 mM, Sigma A9165]; PMC4752654 (10.1136/gutjnl-2014-307949) [1.25 mM]; PMC4195772 (10.15252/embj.201488017) [1 mM]; MilliporeSigma A9165 제품페이지 (2026-09-16 확인); PMC10898042 (10.1186/s13046-024-02980-6) [전문 확인 — NAC 제거 실험]","원천 특허 KNAW 패밀리의 조합 독립항이 B27·N2와 함께 NAC를 콜론 크립트 배양 배지의 구성요소로 기재. 대장암 PDO에서 NAC 유무에 따른 성장속도 차이는 작았다는 보고도 있음(PMC10898042: NAC 있음 5.5 vs 없음 6.8, 5일 성장률) ★ OMIT 근거(필수 판정을 뒤집는 쪽): 전이성 대장암 PDO 23주에서 NAC를 배지에서 제거했을 때 무처리 대조군의 성장에 불이익이 없었다(0–5일 성장률 NAC 있음 5.5 [95% CI 4.2–6.7] vs 없음 6.8 [95% CI 5.5–8.1]). 오히려 NAC는 옥살리플라틴 저항을 24% 올려(중앙 GR AUC) 환자 반응과의 상관을 떨어뜨렸다(피어슨 r 0.3 → 0.77). 저자들은 스크리닝 배지에서 NAC를 영구 제외했다.",MilliporeSigma (Sigma-Aldrich),A9165 (5 g / 25 g / 100 g),"BioReagent, 세포배양용, ≥99% (TLC), CAS 616-91-1, MW 163.19","500 mM 수용액 저장액(예: 0.815 g/10 mL 멸균수), 0.22 µm 여과, −20 °C 분주 보관. 티올기가 공기 산화되므로 해동 후 재동결 금지, 배지 조제 직전 첨가 권장",확보 실패: NAC를 대체할 항산화제의 오가노이드 비교 실험이 본 근거자료에 없음,티올 화합물이라 산화되면 역가 상실. 산성이므로 고농도 저장액 첨가 시 배지 pH 하강 확인 필요,상,OMIT 실험이 '뺐더니 성장이 유지됐다'를 보여 필수→조건부로 하향. 원천 특허의 CLAIM은 권리범위 기재이지 필수성 증명이 아님
MD-017,항산화·대사,니코틴아마이드,Nicotinamide,NAD+ 전구체이자 시르투인(SIRT) 저해제. 사람 상피 오가노이드의 장기 계대 수명을 늘린다. 다만 분화를 억제하므로 분화배지에서는 뺀다,조건부,"장(사람), 위, 간, 췌장, 자궁내막, 종양",확장,10 mM,"4–10 mM (대장암 PDO 4 mM, 사람 장·위·간·췌장 10 mM). 단 PMC5450310은 동물 장 오가노이드에 100 µM 사용",화학합성,REVIEW,"PMC9285512 (10.1002/cpim.106) [전문 확인, 확장배지 10 mM / 분화배지 0 mM, Sigma N0636]; PMC4752654 (10.1136/gutjnl-2014-307949) [10 mM]; PMC7055108 (10.1186/s13287-020-1585-2) [10 mM, Sigma N0636]; PMC3801438 (10.1038/emboj.2013.204) [10 mM]; PMC9047329 (10.1186/s13059-022-02673-3) [4 mM]","Clevers Current Protocols: 확장배지에는 니코틴아마이드 10 mM + SB202190 10 µM이 들어가지만, 분화배지(ENR base)에서는 둘 다 제거된다 — 시점 의존성의 대표 사례 니코틴아마이드를 뺀 OMIT 실험은 본 근거자료에 없다. 확장→분화 전환 시 제거한다는 것은 프로토콜 설계(REVIEW)이며, 4 mM과 10 mM을 비교한 DOSE 실험도 없다.",MilliporeSigma (Sigma-Aldrich),N0636,세포배양용 (논문 다수가 동일 품번 사용),"1 M 수용액 저장액, 0.22 µm 여과, −20 °C. 수용성이 매우 좋아 조제가 쉬움. 해동해도 비교적 안정",확보 실패: 니코틴아마이드를 대체하는 SIRT 저해제의 오가노이드 비교 실험이 본 근거자료에 없음,10 mM은 배지 삼투압을 약 10 mOsm/kg 올린다. 분화를 억제하므로 분화 유도 시 반드시 제거,중,REVIEW뿐. 확장/분화 간 제거는 프로토콜 지시이지 제거 대조 실험이 아님
MD-018,항산화·대사,아스코르브산 (비타민 C),Ascorbic acid,어드밴스드 DMEM/F-12에 이미 포함된 항산화제. 별도 첨가는 특수 목적(콜라겐 합성 유도 등)에 한정,선택,전 조직,전 단계,기본배지 내장 (별도 첨가 시 확보 실패: 오가노이드용 권장농도 근거 없음),기본배지 내장,기본배지,VENDOR,"Thermo 12634010 제품페이지 조성 (2026-09-16 확인, '에탄올아민, 글루타치온, 아스코르브산, 인슐린, 트랜스페린, 알부맥스 II 포함')",어드밴스드 제형을 쓰면 별도 구매가 불필요하다는 점이 일반 DMEM/F-12 대비 실무적 이점,Thermo Fisher (Gibco),12634010 (기본배지에 내장),기본배지 내장,해당 없음,MD-016 NAC가 주 항산화제 역할,수용액에서 빠르게 산화되므로 별도 첨가 시 매 교체마다 신선 조제 필요,중,VENDOR 단독
MD-019,니치성장인자,상피성장인자 (EGF),Epidermal Growth Factor (EGF),EGFR 경로를 켜는 유사분열원(mitogen). 원천 특허가 '5–500 ng/mL의 유사분열 성장인자'로 농도범위까지 한정한 3대 필수 구성요소 중 하나,필수,전 조직,전 단계,50 ng/mL,"5–500 ng/mL (특허 한정). 실사용 범위: 대장암 PDO 1–10 ng/mL(저농도 의도적), 위 20 ng/mL, 장·간·췌장 50 ng/mL, 전립선·자궁내막 100 ng/mL",재조합 단백질,OMIT;SUBST;CLAIM;REVIEW;VENDOR,"US8642339 독립항 1·33 ('between 5 and 500 ngram/ml of a mitogenic growth factor', 'between 5 and 500 nanogram/ml of Epidermal Growth Factor'); US20120028355A1 독립항 2; US20190100728A1 독립항 2·9; PMC9285512 (10.1002/cpim.106) [전문 확인, 50 ng/mL, Peprotech AF-100-15]; PMC10520344 (10.1016/j.ebiom.2023.104809) [50 ng/mL]; PMC10898042 (10.1186/s13046-024-02980-6) [1 ng/mL + 헤레귤린 10 ng/mL]; Thermo/PeproTech AF-100-15-100UG 제품페이지 (2026-09-16 확인); PMC7073464 (10.15252/embj.2019104013) [전문 확인 — 성장인자 조합 스크린]; PMC5627540 (10.1097/igc.0000000000001061) [전문 확인 — 유무 비교]",원천 특허 US8642339 독립항 33은 BMP 저해제 + Wnt 작용제 + EGF 5–500 ng/mL 조합만으로 크립트-빌러스 오가노이드를 얻는 방법을 청구. 대장암 PDO 약물스크리닝에서는 EGFR 표적약 간섭을 피하려 EGF를 1 ng/mL로 낮추고 헤레귤린 10 ng/mL로 대체(PMC10898042) ★ OMIT 근거(양방향): ① 고등급 장액성 난소암(HGSOC) 15검체에 대한 성장인자 조합 스크린에서 '없어서는 안 되는 유일한 측분비 성장인자는 EGF'였다 — Noggin·Wnt3a·RSPO1은 제거하거나 오히려 해로웠는데 EGF만 필수로 남았다(PMC7073464). ② 반대로 자궁내막암 P0 배양에서는 EGF 50 ng/mL를 포함한 7개 인자를 넣고 뺀 비교에서 2주 시점 100 µm 이상 오가노이드 수에 유의차가 없어 전부 제외되었다(PMC5627540) — 즉 EGF의 필수성도 조직·종양 의존적이다. SUBST 근거: EGFR 표적약 스크리닝에서 EGF를 1 ng/mL로 낮추고 헤레귤린 10 ng/mL로 대체해도 배양이 유지되었다(PMC10898042). CLAIM 근거: 원천 특허가 5–500 ng/mL로 농도범위를 한정 — 다만 이는 권리범위 기재이지 용량-반응 실험이 아니다.,PeproTech (현 Thermo Fisher 브랜드),AF-100-15 (동물유래성분 무함유) / 100-15,"≥98% (SDS-PAGE·HPLC), E. coli 발현, 엔도톡신 <0.1 EU/µg, 동물유래성분·캐리어 무함유, ED50 ≤0.1 ng/mL",동결건조 분말 −20 °C. 0.1% BSA 함유 멸균 PBS로 100 µg/mL 저장액 조제 후 소분(예: 20 µL)하여 −20~−80 °C. 동결해동 1회 원칙. 캐리어 BSA 없이 희석하면 플라스틱 표면 흡착으로 유효농도가 급감,"헤레귤린-β1(NRG1, MD-037) — EGFR 억제제 스크리닝 시 대체제로 사용",고농도 EGF는 Paneth세포·분비계통 분화를 억제. 스크리닝용 배지에서는 EGFR 표적약의 효과를 가려 위음성을 만든다,상,본 BOM에서 OMIT 실험으로 필수성이 직접 뒷받침되는 두 성분 중 하나. 조합 스크린(15검체)이라는 설계 강도까지 확인
MD-020,니치성장인자,노긴 (재조합),Noggin (recombinant),BMP 리간드를 붙잡아 BMP 신호를 끄는 분비 길항제. 원천 특허의 'BMP 저해제' 필수 구성요소를 충족한다. BMP를 끄면 크립트(줄기세포) 정체성이 유지되고 빌러스(분화) 쪽으로 밀리지 않는다,조건부,전 조직(대부분),확장,100 ng/mL,"10–500 ng/mL. 자궁내막암 10 ng/mL, 췌장 25 ng/mL, 자궁내막·장·대장암 100 ng/mL, 위 150 ng/mL, 마우스 장 손상재생 500 ng/mL",재조합 단백질,OMIT;CLAIM;REVIEW;VENDOR,"US8642339 독립항 1·31 ('a Bone Morphogenetic Protein (BMP) inhibitor'; 'a medium comprising Noggin, EGF...'); US20140256037A1 독립항 2·9; US20190100728A1 독립항 2·9; PMC10520344 (10.1016/j.ebiom.2023.104809) [100 ng/mL, Peprotech]; PMC8027647 (10.1038/s41422-020-00453-x) [100 ng/mL]; PMC4752654 (10.1136/gutjnl-2014-307949) [150 ng/mL]; PMC7043048 (10.1186/s12861-020-0209-5) [25 ng/mL]; Thermo/PeproTech 120-10C-20UG 제품페이지 (2026-09-16 확인); PMC7073464 (10.15252/embj.2019104013) [전문 확인 — Noggin 제거가 배양 성립의 전제였음]; PMC5627540 (10.1097/igc.0000000000001061) [전문 확인 — 50 ng/mL Noggin 유무 무차이]","원천 특허 KNAW 패밀리 전체가 BMP 저해제를 독립항의 필수 구성요소로 기재. 장 분화(장내분비세포 상부빌러스형) 유도 시에는 반대로 Noggin을 빼고 BMP2·BMP4 각 50 ng/mL를 넣는다(PMC9285512) ★ OMIT 근거(필수 판정을 뒤집는 쪽): HGSOC 15검체 중 13검체에서 'Noggin 제거가 배양 성립의 전제조건'이었다 — 지속적 BMP 신호 차단이 오히려 해로웠고, 5/11 검체는 BMP2 추가가 이득이었다. 최종 난소암 최소배지(OCM)에는 Noggin이 없다(PMC7073464). 자궁내막암 P0에서도 Noggin 50 ng/mL 유무에 차이가 없었다(PMC5627540). 장·위·췌장에서 Noggin을 뺀 OMIT 실험은 본 근거자료에 없다.",PeproTech (현 Thermo Fisher 브랜드),120-10C (5/20/50/100/250/500 µg),"≥95% (SDS-PAGE·HPLC), HEK293 발현, 46 kDa 이황화결합 동종이량체, 엔도톡신 <1 EU/µg, 무보존제","동결건조 분말 −20 °C. 0.1% BSA 함유 PBS로 100 µg/mL 저장액, 소분 −20~−80 °C. 동결해동 1회. HEK293 발현 당단백질이라 대장균 유래 제품과 역가가 다를 수 있음",Noggin 조건배지 (MD-021); LDN-193189·도소모르핀 등 소분자 BMP 저해제 (MD-052),가격이 높아 조건배지로 대체하는 연구실이 많다. 로트별 비활성 차이가 존재하며 데이터시트 ED50만으로는 오가노이드 성능을 보장하지 못함,상,OMIT 실험이 조직에 따라 Noggin이 불필요하거나 유해함을 보여 필수→조건부로 하향. 원천 특허의 'BMP 저해제' 기재는 CLAIM
MD-021,니치성장인자,노긴 조건배지,Noggin conditioned medium (Noggin-CM),Noggin 과발현 HEK293 세포의 상등액. 재조합 단백질 대비 단가를 크게 낮춘다,조건부,"장, 대장, 식도, 간",확장,2% v/v (U-Protein Express N002 기준),"2–10% v/v. Clevers 프로토콜 2%, 마우스 장 5%, 간암 오가노이드 10%",조건배지,REVIEW;SUBST,"PMC9285512 (10.1002/cpim.106) [전문 확인, 2% v/v, U-Protein Express N002]; PMC4195772 (10.15252/embj.201488017) [5% v/v, HEK293T 안정주]; PMC7788239 (10.1016/j.jcmgh.2020.09.003) [10% v/v]; PMC3801438 (10.1038/emboj.2013.204) [10% 자가제조 Noggin-CM]","Clevers 프로토콜은 상용 Noggin-CM(U-Protein Express N002)을 2% v/v로 사용. 자가제조 시에는 생산 세포주 확보와 로트별 역가 검정이 필요 SUBST 성격: 재조합 Noggin을 조건배지로 치환한 사례들이며, CM 농도(2/5/10% v/v)를 병렬 비교한 DOSE 실험은 본 근거자료에 없다.","U-Protein Express (현 AVS Bio Netherlands, MBL 유통)",N002,연구용 조건배지,"확보 실패: N002의 공식 보관·안정성 조건을 제조사 페이지에서 확인하지 못함. 자가제조 CM은 0.22 µm 여과 후 −20 °C 분주, 4 °C 단기 보관이 일반 실무",재조합 Noggin (MD-020),조건배지는 DMEM+10% FBS 기반이므로 완성배지에 소 혈청 성분이 들어온다(2% v/v면 FBS 0.2% v/v). 정의성(defined) 요구가 있는 실험·GMP에는 부적합,중,"SUBST 관계와 농도 기재는 확인, 정량 비교 없음. 제조사 페이지 미확인"
MD-022,니치성장인자,R-스폰딘-1 (재조합),R-spondin-1 (recombinant),"Wnt 신호의 증폭기. LGR4/5/6에 결합해 E3 리가아제 RNF43/ZNRF3를 세포막에서 제거하고, 그 결과 Frizzled 수용체가 표면에 오래 남아 Wnt 감수성이 올라간다. 즉 Wnt를 대신하지 못하고 Wnt가 있을 때만 작동한다",필수,전 조직(대부분),확장,500 ng/mL,"50 ng/mL–1 µg/mL. 자궁내막암 100 ng/mL, 자궁내막 250 ng/mL, 대장암 PDO 0.5 µg/mL, 마우스 장·afamin 실험 500 ng/mL, 전립선·췌장 GMP 1 µg/mL",재조합 단백질,OMIT;CLAIM;REVIEW;VENDOR,"US8642339 독립항 31 ('any one of R-spondin 1 through R-spondin 4 and/or Wnt3'); US20140256037A1 독립항 9; US20190100728A1 독립항 9; PMC4775226 (10.7554/elife.11621) [전문 확인, 500 ng/mL]; PMC7055108 (10.1186/s13287-020-1585-2) [1 µg/mL, Peprotech 120-38]; PMC5101536 (10.1038/srep36795) [1 µg/mL, R&D]; PMC9053236 (10.1038/s43856-021-00019-x) [250 ng/mL, Miltenyi]; PMC8027647 (10.1038/s41422-020-00453-x) [500 ng/mL]; Thermo/PeproTech 120-38-100UG 제품페이지 (2026-09-16 확인); PMC9626719 (10.1186/s13619-022-00137-4) [전문 확인 — R-Spondin1 제거 실험]","R-spondin/Lgr5/Rnf43 모듈의 작동 원리는 PMC3937510 (10.1101/gad.235473.113)에 정리. R-spondin-Lgr 계면 친화도 2–5 nM, RNF43 계면 1–10 µM로 보고 ★ OMIT 근거: 마우스 장 오가노이드 배지에서 R-Spondin1만 제외한 조건('For no R-Spondin1 incubation, R-Spondin1 was eliminated from this recipe')을 만들었을 때, 정적 배양에서 Wnt/β-카테닌 표적유전자(Lgr5, Axin2, Sox9, Olfm4)가 유의하게 감소했다. 기계적 신전(8% strain, 0.2 Hz)을 가하면 이 감소가 회복되어, R-spondin의 역할이 Wnt 신호 강도 유지임을 기능적으로 확인. 단 HGSOC에서는 15주 중 2주만 RSPO1 추가가 이득이었다(PMC7073464) — 종양에서는 조건부.",PeproTech (현 Thermo Fisher 브랜드),"120-38 (20/100/250/500 µg, 2×500 µg)","≥95% (SDS-PAGE·HPLC), CHO 발현, 26.7 kDa(당화로 SDS-PAGE 상 약 40 kDa), 엔도톡신 <1 EU/µg","동결건조 분말 −20 °C. 0.1% BSA 함유 PBS로 100–500 µg/mL 저장액, 소분 −20~−80 °C. 동결해동 1회. CHO 발현 당단백질이므로 대장균 유래 제품과 비활성이 다름",R-spondin-1 조건배지 (MD-023); L-WRN 조건배지 (MD-026); R-spondin-3 (PeproTech 120-44),Wnt 없이 R-spondin만 넣으면 효과가 없다(PMC3937510의 증폭기 모델). 재조합 단가가 배지 원가의 최대 항목이 되기 쉽다,상,본 BOM에서 OMIT 실험으로 필수성이 직접 뒷받침되는 두 성분 중 하나. 제거 → 표적유전자 감소 → 기계자극으로 회복이라는 인과 사슬까지 확인
MD-023,니치성장인자,R-스폰딘-1 조건배지,R-spondin-1 conditioned medium (Rspo1-CM),293T-HA-RspoI-Fc 안정주 상등액. 재조합 R-spondin 대비 원가를 1/10 이하로 낮추는 표준 우회로,조건부,"장, 대장, 위, 간, 췌장, 종양",확장,20% v/v (Clevers 프로토콜),"5–25% v/v. 마우스 장 5%, 간·췌장 10%, Clevers 사람 장 20%, 위 25%",조건배지,REVIEW;SUBST,"PMC9285512 (10.1002/cpim.106) [전문 확인, 20% v/v, 생산세포주 R&D Systems 3710-001-01]; PMC3801438 (10.1038/emboj.2013.204) [10%]; PMC7736890 (10.1038/s41598-020-79082-8) [10%]; PMC4752654 (10.1136/gutjnl-2014-307949) [25%]; PMC7788239 (10.1016/j.jcmgh.2020.09.003) [10%]","Clevers Support Protocol 2: 293T-HA-RspoI-Fc를 DMEM+10% FBS+제오신 300 µg/mL에서 배양, 10×T175로 확장 후 무제오신 배지에서 상등액 수확, 0.22 µm 여과. 계대 10–12회까지만 사용 SUBST 성격: 재조합 R-spondin을 CM으로 치환한 사례. CM 농도(5–25% v/v)의 DOSE 비교는 본 근거자료에 없다.",R&D Systems (Bio-Techne),3710-001-01 (생산 세포주),연구용 세포주,여과 후 4 °C 보관. 확보 실패: Rspo1-CM의 공식 유효기간 데이터 없음(Wnt3A-CM은 같은 프로토콜에서 4 °C 6개월 이상으로 기재),재조합 R-spondin-1 (MD-022); Wnt surrogate와 병용,"생산 로트마다 역가를 반드시 검정해야 하며, 세포주 계대가 진행되면 발현이 떨어진다. FBS 유래 성분 유입",상,Clevers 프로토콜 전문에서 생산 SOP·품번·농도를 확인했으나 근거 성격은 프로토콜 기재(REVIEW)와 치환(SUBST)
