성분,장,간,뇌,신장,폐,췌장,위,종양
R-스폰딘-1 (재조합 또는 조건배지),필수(500 ng/mL 또는 Rspo1-CM 20% v/v),필수(CM 10% v/v),미사용,미사용,미사용,필수(1 µg/mL 또는 CM 10% v/v),필수(CM 25% v/v),조건부(대장암·간암 100~500 ng/mL 또는 CM 10% v/v. HGSOC는 15주 중 2주만 RSPO1 추가가 이득)
Wnt3a (CM·재조합·대체물),필수(사람: Wnt3A-CM 50% v/v 또는 Wnt surrogate 0.5 nM. 마우스 소장은 Paneth세포 내인성 Wnt로 생략 가능. 분화 시 10%로 감량 또는 C59로 완전 차단),조건부(Wnt-CM 30% v/v; 간세포 확장 특허 US20260176589A1은 Wnt3a를 넣지 않음을 청구항에 한정),미사용,미사용(CHIR99021로 대체),미사용,조건부(Wnt3a-CM 40% v/v),필수(Wnt3A-CM 50% v/v),조건부(대장암 PDO는 Wnt 생략이 표준. HGSOC는 15주 전부가 Wnt3a 함유 배지에서 유지 불가였고 CHIR99021로 대체해도 성장이 나빠졌다 — 사실상 미사용)
Wnt 대체물 (Wnt surrogate-Fc),조건부(0.5 nM; 사람 대장·단일세포 클론 배양에 권장),선택,미사용,미사용,미사용,선택,조건부(0.1~0.5 nM),조건부(0.1~0.5 nM)
FGF10,"조건부(10 ng/mL, 일부 대장암 배지)",필수(확장 100 ng/mL → 간세포 분화 50 ng/mL),미사용,미사용,조건부(3D 1·2단계 10 ng/mL),필수(100 ng/mL),필수(150 ng/mL),조건부(난소암·대장암 10 ng/mL. 자궁내막암 P0에서는 10 ng/mL 유무 무차이)
FGF7 (KGF),미사용,선택,미사용,미사용,필수(10 ng/mL),조건부(원천 특허 US20140256037A1이 KGF 또는 FGF로 한정),미사용,미사용
FGF2 (bFGF),조건부(손상재생 모델 20 ng/mL; 동물종 확장 100 ng/mL),미사용,"필수(25 ng/mL, 신경유도·iPSC 유지)",미사용,조건부(iPSC 유지 10 ng/mL),조건부(종양 5~10 ng/mL),미사용,조건부(난소암·췌장암 10 ng/mL. 자궁내막암 P0에서는 10 ng/mL 유무 무차이)
FGF9,미사용,미사용,미사용,필수(200 ng/mL + 헤파린 1 µg/mL),미사용,미사용,미사용,미사용
HGF,조건부(iPSC 유래 상피용 CM 약 200 ng/mL),필수(25~50 ng/mL),미사용,미사용,미사용,선택,미사용,조건부(간암 오가노이드 25 ng/mL)
BMP4 / BMP2,"조건부(분화 단계에만 각 50 ng/mL, 동시에 Noggin 제거)",미사용,조건부(내이·유도 단계 10 ng/mL),미사용,필수(LPC 유도 10 ng/mL),미사용,미사용,"조건부(HGSOC 11검체 중 5검체가 BMP2 추가로 개선, 나머지는 중립 → BMP2가 난소암 최소배지 OCM 표준 성분으로 편입)"
액티빈 A,미사용,조건부(간세포 분화 1단계 50 ng/mL),미사용,미사용,필수(내배엽 유도 100 ng/mL),선택,미사용,미사용
가스트린 ([Leu15]-가스트린 I),"조건부(10 nM, 대장·식도)",필수(10 nM),미사용,미사용,미사용,필수(10 nM),조건부(10 nM),"조건부(10 nM, 대장암·간암)"
A83-01 (ALK4/5/7 저해제),필수(500 nM; 분화 시 제거),필수(5 µM),미사용,미사용,미사용,필수(0.5~5 µM),필수(1 µM),필수(500 nM)
SB202190 (p38 저해제),필수(확장 10 µM; 분화 시 전량 제거),선택,미사용,미사용,미사용,선택,필수(2 µM),"조건부(100 nM~10 µM, 라인별 최적화)"
Y-27632 (ROCK 저해제),"조건부(계대·해동 직후 10 µM, 3일 후 제거)",조건부(해동 직후 3일간 10 µM),"조건부(EB 형성 초기 10 µM, 이후 제거)",조건부(단일세포 파종 시 10 µM),조건부(iPSC 해리 직후 10 µM 1시간),조건부(해동 후 3일간 10 µM),조건부(계대 직후 7.5 µM),조건부(계대 직후 5~10 µM)
CHIR99021 (GSK-3 저해제),조건부(Wnt-CM 역가 부족 시 5 µM 보강),미사용,조건부(내이 1~10 µM 용량반응),"필수(유도 4~12 µM, 이후 5 µM 1시간 펄스)",필수(내배엽 1 µM → 폐전구체 3 µM),미사용,미사용,미사용
포스콜린,미사용,필수(10 µM),미사용,미사용,미사용,필수(10 µM),미사용,조건부(간암 오가노이드 10 µM)
프로스타글란딘 E2,필수(1 µM; Clevers 확장배지 고정 성분),선택,미사용,미사용,미사용,조건부(3 µM),선택,조건부(대장암 100 nM~난소암 1 µM. 자궁내막암 P0에서는 10 nM 유무에 오가노이드 수 유의차 없음)
레티노산 (ATRA),미사용,조건부(간세포 분화 3 µM),조건부(계통 조절),조건부(5 µM),필수(LPC 유도 0.1 µM),조건부(분화 2 µM),미사용,선택
덱사메타손,미사용,필수(간세포 분화 1 µM),미사용,미사용,미사용,선택,미사용,선택
프리모신,조건부(수립 초기 100 µg/mL),조건부(수립 초기 100 µg/mL),선택(Normocin 50 µg/mL 대체),선택,선택,조건부(수립 초기 100 µg/mL),조건부(수립 초기 100 µg/mL),조건부(수립 초기 100 µg/mL)
페니실린/스트렙토마이신,조건부(100 U/mL; 상시 사용 비권장),조건부(100 U/mL),조건부(50~100 U/mL),조건부(1×),조건부(50 U/mL),조건부(1%),조건부(1%),조건부(1%)
