item_id,layer,name_ko,name_en,role_in_collagen_system,necessity,necessity_basis,evidence_type,evidence_ref,experiment_summary,quant_spec,supplier,catalog_no,grade,origin,alternatives,risk,confidence,confidence_reason
CL-L1-011,L1,III형 콜라겐 용액(인간 태반),"Type III Collagen Solution, human placenta",I/III 혼합 골격에서 III형 성분을 공급. 섬유 직경·유연성 조절 목적,조건부,I형 단독으로도 오가노이드가 서는 직접 근거가 있고 III형 단독 필수 근거는 이 자료에서 확인되지 않음. 다만 I/III 조성물 특허 청구항이 존재,CLAIM;VENDOR,특허 US20160186131A1 / US20090175922A1(Purdue Research Foundation) 독립항 1; Advanced BioMatrix 5021(2026-09-16 검색 확인),특허 독립항 1: '콜라겐 성분이 본질적으로 I형과 III형 콜라겐으로 이루어지고 3차원 매트릭스의 섬유 면적분율이 약 7.7%~25%인 세포성장 지지 조성물',"1 mg/mL, 0.01 N HCl, pH 2; 약 85% III형 + 잔부 I형; 10 mg 포장",Advanced BioMatrix,5021 (10 mg),연구용,"인간 태반, 다단계 정제",Sigma C4407(동결건조 분말); Jland rhCol III(재조합),확보 실패: 5021의 엔도톡신 규격·가격은 제조사 페이지 Cloudflare 차단으로 원문 미확보,중,"농도·유래·III형 비율은 제조사 요약과 유통사 정보로 확인, 상세 규격 미확보"
CL-L1-012,L1,III형 콜라겐 분말(인간 태반),"Collagen Bornstein and Traub Type III, human placenta, powder",III형 성분 공급(분말). 임의 농도로 재용해,조건부,"III형 자체가 조건부이며, 용액 제품(5021)이 있으면 분말은 예비 선택지",VENDOR,Sigma-Aldrich C4407 제품 페이지(2026-09-16 검색 확인),펩신 추출·염분획(Hill & Harper 1984 변법)으로 조제된 동결건조 분말. 멸균 0.5 M 아세트산·PBS·물에 1 mg/mL로 재용해 가능,1 mg/mL로 재용해(0.5 M 아세트산 권장); 25 mg 포장,Merck/Sigma-Aldrich,C4407,세포배양 적합(cell culture tested),인간 태반,ABM 5021(용액); Millipore CC054(인간 III형),분말 재용해 시 불완전 용해·응집으로 겔화 재현성 저하,중,"제품 존재·유래·재용해 조건은 검색으로 확인, 순도·엔도톡신 규격 원문 미확보"
CL-L1-013,L1,"재조합 인간 III형 콜라겐(효모 발현, 전장 삼중나선)",Full-length triple-helix recombinant human COL3A1 (Pichia pastoris),동물 유래 없이 III형을 공급. 전장 삼중나선이라 단편형 재조합 콜라겐과 달리 섬유 형성 가능성이 있음,조건부,III형 자체가 조건부. 다만 동물 유래를 배제해야 하면 이것이 유일한 전장 III형 경로,REVIEW;VENDOR,PMC13331770[전문 확인]; PMC13429893[전문 확인]; PMC10876488[전문 확인],"PMC13331770: T4-피브리틴(foldon) 융합, 신호펩타이드·프로모터 교체와 단백질 분해 억제로 P. pastoris에서 전장 인간 COL3A1을 0.9 g/L 생산, CD 분광으로 삼중나선 확인, 5 L 발효조 고밀도 배양 실증. PMC10876488은 상용 rhCol III(Jland Biotech)를 HA-도파민과 복합해 하이드로겔 제작",발효 수율 0.9 g/L(5 L 발효조 실증); rhCol III 분자량 약 55 kDa(상용품 보고치),"Jiangsu JLand Biotech Co., Ltd.(상용 rhCol III 논문 구매처)",확보 실패: 공개 카탈로그 품번 미확인,연구용~화장품 원료급,"Pichia pastoris(효모) 발현, 동물 유래 성분 없음",ABM 5021(인간 태반 III형); Sigma C4407,단편형 재조합 콜라겐은 자기조립 섬유를 만들지 못해 단독 골격으로 부적합; 상용품마다 서열·길이가 달라 로트 간 등가성 보장 어려움,상,"생산 논문은 전문 확인, 상용 공급처는 논문 구매 기재로 확인했으나 품번은 확보 실패"
CL-L1-014,L1,라미닌-511 E8 단편,"iMatrix-511, recombinant human laminin-511 E8 fragment",콜라겐이 제공하지 못하는 기저막 신호(인테그린 α6β1)를 보충. 상피 오가노이드 극성·부착의 핵심,필수,콜라겐 I/III는 α1β1·α2β1만 결합하고 라미닌계 α6β1 리간드가 전혀 없어 상피 오가노이드에서 기저막 신호 보충이 필요,OMIT;SUBST;DOSE;VENDOR,PMC11795259[전문 확인]; PMC8889330[전문 확인]; PMC2289474[전문 확인]; Matrixome/REPROCELL NP892-011(2026-09-16 확인),PMC11795259(2D 코팅): 라미닌-511 또는 콜라겐 I+라미닌-511이 라미닌-111 및 콜라겐 I+Matrigel보다 장 상피 부착·증식에서 유의하게 우수(p<0.001). 무코팅에서는 부착 자체가 불가. PMC8889330: 피브린 기반 매트릭스에서 Matrigel 주성분(콜라겐 IV·헤파린·라미닌-111/엔탁틴)을 보충했을 때 라미닌이 결정적 성분. PMC2289474: 라미닌은 기저막에서 콜라겐과 독립된 자체 중합망을 형성,"원액 0.5 mg/mL(500 µg/mL); 2D 코팅 0.25~0.5 µg/cm2 수준, 콜라겐 I 30 µg/mL + 라미닌-511 10 µg/mL 병용 코팅 실증","Matrixome / Nippi (판매: REPROCELL, Takara Bio, AMSBIO)",NP892-011 / NP892-012,"이종 성분 배제(xeno-free), 순도 >95%, 인테그린 결합 Kd <10 nM",CHO-S 세포 발현 재조합 인간 단백질,Corning 라미닌-111 354232; Matrigel GFR 10% v/v 보충; BioLamina LN511,3D 겔 내부 최적 농도는 이 자료에서 2D 코팅 데이터만 확인됨(3D 용량 근거 부족),상,"제품 규격은 판매사에서 확인, 기능 근거는 전문 3편에서 확인. 단 정량은 2D 근거임을 명시"
CL-L1-015,L1,라미닌-111(전장),"Laminin, mouse, natural (laminin-111)",기저막 신호 보충의 대체 경로,선택,장 상피에서 라미닌-511보다 유의하게 열등한 직접 비교 결과가 있어 1차 선택 아님,SUBST;VENDOR,PMC11795259[전문 확인]; PMC2115245[전문 확인],PMC11795259: 라미닌-111은 6일차 최대 피복률 10.3 ± 6.2%로 라미닌-511 조건에 크게 미달. PMC2115245: 콜라겐 I 1.84 mg/mL 겔 위에 정제 라미닌 1.7 mg/mL를 올렸을 때 내피세포의 모세관 유사 구조 분화를 유도,코팅 1~10 µg/cm2; 겔 내 혼합 시 참조 농도 1.7 mg/mL(PMC2115245 상층 도포 조건),Corning Life Sciences,"354232 (Laminin, mouse)",연구용,EHS 마우스 육종(이종·종양 유래),iMatrix-511 NP892-011; Sigma L2020,EHS 종양 유래로 로트 편차·성장인자 혼입; 이식용 부적합,중,"기능 비교는 전문 확인, 품번은 일반 카탈로그 지식 수준이며 제조사 페이지 원문 미확보"
CL-L1-016,L1,기저막추출물(성장인자 저감형) 부분 보충,Matrigel GFR basement membrane matrix (partial supplement),콜라겐 겔에 10~20% v/v로 섞어 기저막 신호를 최소 보충,조건부,"정의된 라미닌-511로 대체 가능하나, 조직에 따라 BME 소량 보충이 오가노이드 형성 효율을 결정적으로 올린 근거가 있음",DOSE;SUBST;VENDOR,PMC8889330[전문 확인]; PMC13302221[전문 확인]; Corning ecatalog 354230/356231(2026-09-16 확인),PMC8889330: 10% (v/v) Matrigel을 보충한 4종 지지체 중 피브린이 순수 Matrigel과 유사한 소장 오가노이드 형성 효율. PMC13302221: 콜라겐 3 mg/mL 겔에 20% (v/v) Matrigel을 양성대조로 사용,"10~20% (v/v) 보충; 로트별 단백질 농도는 Lowry, 엔도톡신은 LAL로 로트별 측정치 제공",Corning Life Sciences,"354230 (LDEV-free 10 mL) / 356231 (페놀레드-free, LDEV-free 10 mL)","LDEV-free, 성장인자 저감(GFR), 로트별 신경돌기 신장 생물활성 시험",EHS 마우스 육종,iMatrix-511; 콜라겐 IV + 라미닌 + 엔탁틴 개별 보충(특허 US20070154552A1),이종·종양 유래로 정의성 상실 — 콜라겐 골격을 택한 이유 자체를 훼손함; 로트 편차,상,제조사 카탈로그와 전문 2편 확인. 단 로트별 농도·엔도톡신 수치는 CoA 의존
CL-L1-017,L1,피브로넥틴,"Fibronectin, human plasma",콜라겐 섬유에 결합해 RGD 부착점과 세포-매트릭스 장력을 부여,조건부,콜라겐 겔의 수축·정렬을 조절하려는 경우에만 필요. 부착 자체는 GFOGER로 충족됨,DOSE;OMIT,PMC13302221[전문 확인]; PMC2184308[전문 확인],"PMC13302221: 콜라겐 I 3 mg/mL 겔에 0/1/10/100 µg/mL 피브로넥틴 또는 라미닌을 넣어 근모세포 융합지수를 스크리닝, 최적치는 피브로넥틴 10 µg/mL·라미닌 100 µg/mL. 3D 구조체에서 피브로넥틴이 초기 수축력과 장력 방향 정렬(0~20°)을 유의하게 증가. PMC2184308: 피브로넥틴은 I·II·III형 콜라겐 모두에 친화성을 가짐","3D 겔 내 10 µg/mL(피브로넥틴 최적), 라미닌 병용 시 100 µg/mL",Corning Life Sciences,356008,연구용,인간 혈장,Sigma F2006; 재조합 피브로넥틴 단편,인간 혈장 유래 감염원 위험; 과량 시 과도한 겔 수축,상,농도-반응이 전문에서 정량적으로 확인됨
CL-L1-018,L1,IV형 콜라겐,Collagen Type IV,기저막 그물망 성분. 라미닌과 함께 상피 기저면 신호 보완,선택,라미닌-511이 있으면 대개 생략 가능. 특허 조성물에는 포함되나 콜라겐 I/III 겔 단독 실증에서 필수 근거 없음,CLAIM;SUBST,"특허 US20070154552A1 독립항(collagen I, collagen IV, laminin, entactin, tenascin); PMC8889330[전문 확인]","US20070154552A1 청구항 27: '콜라겐 I, 콜라겐 IV, 라미닌을 포함하는 바이오매트릭스 조성물'. PMC8889330은 피브린에 콜라겐 IV·헤파린·라미닌-111/엔탁틴을 보충했으나 라미닌이 결정 성분이었다고 보고",정량 근거 없음,Merck/Sigma-Aldrich,"C7521 (Bornstein and Traub Type IV, powder)",연구용,인간 태반 등,Corning 354233; Matrigel 내 내재,추가 비용 대비 효과 근거 약함,중,"특허 청구항은 원문 확인, 제품 규격은 검색 수준"
CL-L1-019,L1,콜라겐 결합 도메인 융합 라미닌 E8,Modified laminin E8 fused with collagen-binding molecule,라미닌 E8을 콜라겐 섬유에 공유·친화 고정해 겔에서 확산·유실되지 않게 함,선택,"라미닌 단순 혼합으로도 기능하나, 장기 배양에서 라미닌 유실을 막으려면 유용한 설계",CLAIM,특허 US10000554(Osaka University) 독립항 1,"독립항 1: '헤테로삼량체 라미닌 E8 단편의 α·β·γ 사슬 N말단 중 최소 하나에 콜라겐 결합 분자를 융합한 변형 라미닌으로, E8 단편은 인테그린 결합 활성을 가짐'",정량 근거 없음,확보 실패: 상용 판매 제품 미확인(특허 단계),US10000554 (특허번호),해당 없음(특허),재조합 단백질 설계,iMatrix-511 단순 혼합; EDC/NHS로 라미닌 직접 결합,상용품이 없어 자체 발현이 필요; 특허 실시권 문제,중,청구항 원문은 확인했으나 구매 가능한 제품은 확인되지 않음
CL-L2-001,L2,히알루론산 나트륨,Sodium hyaluronate,콜라겐 섬유 사이 공간을 채우는 점탄성 성분. 겔의 점도·섬유 직경·확산 특성 조절,조건부,콜라겐 겔의 점탄성이나 섬유 직경을 조절해야 할 때만 필요. 골격 자체는 콜라겐이 담당,REVIEW;DOSE;VENDOR,PMC5123637[전문 확인]; PMC3184152[전문 확인]; Lifecore Biomedical 연구용 NaHy 페이지(2026-09-16 확인),"PMC5123637: 콜라겐-히알루론산 혼합에서 GAG의 황산화 정도가 최종 겔의 등전점을 바꾸고 황산화가 높을수록 섬유 크기가 감소. PMC3184152: 콜라겐-HA 현탁액(7.5, 15 wt-% HA)을 -30 °C 동결·0 °C 승화로 다공성 지지체 제작",콜라겐 대비 7.5~15 wt-% (동결건조 지지체 기준); 분자량 5 kDa~1.8 MDa 범위에서 선택,Lifecore Biomedical,연구용 sodium hyaluronate (Fisher NC1279133 등 유통 품번). 확보 실패: HA700K 등 분자량별 제조사 직접 품번 미확인,연구용(GMP 로트에서 분취),박테리아 발효(Streptococcus 계) 유래,Sigma H5542; Corgel BioHydrogel(티라민화 HA),고분자량 HA는 점도가 높아 혼합 시 기포·불균일 유발,중,"기능 근거는 전문 확인, 제조사 등급 정책은 확인했으나 품번 단위 규격 미확보"
CL-L2-002,L2,메타크릴화 히알루론산,Methacrylated sodium hyaluronate,콜라겐-HA IPN에서 광가교 가능한 2차 망 형성,선택,광가교 IPN이 필요할 때만. 콜라겐 열겔화만으로도 골격은 성립,VENDOR,Lifecore Biomedical Methacrylated Sodium Hyaluronate 제품 페이지(2026-09-16 확인),3D 바이오프린팅용 광가교성 HA 유도체로 상용 판매됨,정량 근거 없음,Lifecore Biomedical,확보 실패: 공개 페이지에 품번·치환도 미기재,연구용,박테리아 발효,Sigma 909548(HAMA); ABM PhotoHA #5215,광개시제 잔류 독성; 콜라겐 섬유형성 방해 가능,중,제품 존재만 확인
CL-L2-003,L2,티라민화 히알루론산,Tyramine-modified hyaluronic acid (THA),HRP/과산화수소 또는 Ru/SPS 광가교로 콜라겐·dECM과 IPN 형성,선택,효소 가교 IPN 설계에서만 필요,DOSE,PMC13501466[전문 확인],"3 w/v% THA를 PBS에 4 °C 24시간 용해 후 HRP/에오신(H2O2 0.15 mM, HRP 0.1 U/mL) 또는 SPS/Ru(Ru 0.1 mM, SPS 4~8 mM)로 가교. dECM 함유 겔은 두 방식 모두 G' 약 10 kPa, HRP/Eo군 G' 11,200 ± 440 Pa 대 SPS/Ru군 7,300 ± 350 Pa",3 w/v%; DMTMM 1.25 mmol + 티라민 1.25 mmol로 자가 합성(37 °C 24시간),확보 실패: 상용 THA 제품 미확인(논문은 자가 합성),해당 없음,연구용 자가합성,박테리아 발효 HA + 티라민,Corgel BioHydrogel(Lifecore),합성 재현성·치환도 편차,상,합성·가교 조건과 G' 수치를 전문에서 확인
CL-L2-004,L2,"알지네이트(초순도, 고구론산)","Sodium alginate, ultrapure, high-G (PRONOVA UP LVG)",Ca2+ 이온가교로 콜라겐 겔에 즉시 형태유지성을 부여(프린팅·대형 구조물),조건부,3D 프린팅·대형 구조물에서만 필요. 순수 콜라겐 겔에는 불필요,DOSE;VENDOR,PMC13556172[전문 확인]; PMC4835808[전문 확인]; PMC10070462[전문 확인]; NOVAMATRIX 제품 사양(2026-09-16 검색 확인),"PMC13556172: 알지네이트-젤라틴-콜라겐 바이오잉크에서 CaCl2 0.5% w/v 부분가교가 압출에 최적, 1.5% w/v 완전가교가 15일 형태 유지, 0.2~0.4% w/v는 구조 불안정. PMC4835808: 최종 1% w/v 알지네이트 + 10% w/v 젤라틴에 콜라겐 0.513~1.025 mg/mL를 섞을 때 0.82 mg/mL 미만에서 균질",1% (w/v) 알지네이트; 구론산 ≥60%; 점도 20~200 mPa·s; 엔도톡신 <100 EU/g,NOVAMATRIX / DuPont,PRONOVA UP LVG,"초순도(ultrapure), 엔도톡신 <100 EU/g",갈조류(해조) 유래,FUJIFILM Wako Sodium Alginate 80-120; PRONOVA UP MVG,세포 접착 리간드가 없어 단독 사용 시 오가노이드 부착 불가; Ca2+ 킬레이션으로 겔 붕괴,상,"기능·용량은 전문 3편, 규격은 제조사 사양으로 확인"
CL-L2-005,L2,염화칼슘(알지네이트 가교용),Calcium chloride,알지네이트 G-블록을 이온가교해 콜라겐-알지네이트 IPN을 즉시 고정,조건부,알지네이트를 쓸 때만 동반 필수,DOSE,PMC13556172[전문 확인]; PMC6814728[전문 확인],"PMC13556172: CaCl2 0.5% w/v 2분 처리로 압출 최적, 1.5% w/v 이상에서 2주간 구조 유지. PMC6814728: 콜라겐 겔에서 세포 회수 시 3 mM CaCl2 Hank's 완충액 사용","0.5~1.5% (w/v), 2분 침지; 세포 회수용 3 mM",Merck/Sigma-Aldrich,C1016 (무수) / C5670 (세포배양용),세포배양급,무기 시약,FUJIFILM Wako CaCl2,고농도 Ca2+는 삼투 스트레스·세포 독성,상,용량-반응이 전문에서 확인됨
CL-L2-006,L2,RGD 결합 셀룰로스 나노섬유,RGD-functionalized cellulose nanofibers,콜라겐 프리겔과 물리 혼합해 부착점·점도를 동시에 보강,선택,콜라겐이 이미 GFOGER를 갖고 있어 부착점 보강 목적만으로는 불필요,REVIEW,PMC8889330[전문 확인],EDC/NHS로 RGD를 셀룰로스 섬유에 그래프트한 뒤 pH 조정된 콜라겐 프리겔과 물리 혼합·물리 가교. 장 오가노이드가 뚜렷한 상피 버딩을 형성했고 생존율·대사활성이 Matrigel과 동등,정량 근거 없음,확보 실패: 상용 제품 미확인,해당 없음,연구용,식물성 셀룰로스,GrowDex(UPM) 나노피브릴 셀룰로스,비분해성 섬유가 장기 배양 중 잔류,중,리뷰 본문에서 확인했으나 원 실험 논문의 농도 수치는 미확보
